gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000244734,30.13327948303714,18.15294117647058,11.98033830656656,0.0888529886914378,0.0655462184873946,0.0233067702040432,2639020.0,0.0045126898189625,0.0045228393462426,11.98033830656656,False,ENSG00000244734,HBB,protein_coding,False,False,False
ENSG00000225972,9.990306946688207,6.279231692677056,3.7110752540111527,0.2205169628432963,0.2669867947178906,-0.0464698318745943,2477068.0,0.0062495523316259,0.006263122511175,3.7110752540111527,False,ENSG00000225972,MTND1P23,unprocessed_pseudogene,False,False,False
ENSG00000188171,6.958804523424879,4.859303721488594,2.0995008019362853,0.0072697899838449,0.0914765906362538,-0.0842068006524089,2360856.5,9.14586208955638e-24,1.1653714827779249e-23,2.0995008019362853,False,ENSG00000188171,ZNF626,protein_coding,False,False,False
ENSG00000112394,3.5557350565428107,1.879711884753901,1.6760231717889098,0.0145395799676898,0.0552220888355339,-0.0406825088678441,2473392.5,2.034618875676236e-09,2.044904318740395e-09,1.6760231717889098,False,ENSG00000112394,SLC16A10,protein_coding,False,False,False
ENSG00000250731,3.1970920840064623,1.5262905162064817,1.6708015677999808,0.0024232633279483,0.0708283313325326,-0.0684050680045843,2402072.5,2.556726155692928e-20,3.037654878185134e-20,1.6708015677999808,False,ENSG00000250731,TPM3P6,processed_pseudogene,False,False,False
ENSG00000213406,1.9466882067851368,0.2777911164465795,1.6688970903385578,0.0032310177705977,0.0883553421368541,-0.0851243243662563,2359148.5,3.932068345172591e-25,5.145212558188071e-25,1.6688970903385578,False,ENSG00000213406,ANXA2P1,processed_pseudogene,False,False,False
ENSG00000213343,1.806138933764136,0.195438175270109,1.6107007584940267,0.0040387722132471,0.0931572629051614,-0.0891184906919142,2348836.5,4.012992458125588e-26,5.361859133204815e-26,1.6107007584940267,False,ENSG00000213343,RPL21P18,processed_pseudogene,False,True,False
ENSG00000231312,5.099353796445881,3.504921968787515,1.5944318276583656,0.0129240710823909,0.0660264105642253,-0.0531023394818343,2441509.5,4.235548661854271e-13,4.3129773348942363e-13,1.5944318276583656,False,ENSG00000231312,MAP4K3-DT,lncRNA,False,False,False
ENSG00000226783,1.5113085621970923,0.3548619447779115,1.1564466174191808,0.0024232633279483,0.0720288115246094,-0.0696055481966611,2398899.0,1.067785096470932e-20,1.277092716491796e-20,1.1564466174191808,False,ENSG00000226783,TLK1P1,processed_pseudogene,False,False,False
ENSG00000186940,1.855411954765752,0.7973589435774261,1.0580530111883255,0.0072697899838449,0.2509003601440622,-0.2436305701602173,1950873.0,4.1890221749244913e-79,1.2901509429587509e-78,1.0580530111883255,False,ENSG00000186940,CHCHD2P9,processed_pseudogene,False,False,False
ENSG00000178878,2.991922455573506,2.0422569027611064,0.9496655528123994,0.0032310177705977,0.0607442977190873,-0.0575132799484896,2429807.0,7.04876362932586e-17,7.72089950684676e-17,0.9496655528123994,False,ENSG00000178878,APOLD1,protein_coding,False,False,False
