gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ENSG00000251562,321.4563812600964,13292.80048019209,-12971.344098931993,0.4814216478190571,0.9980792316926297,-0.5166575838735725,157444.5,0.0,0.0,12971.344098931993
ENSG00000166710,37.29725363489499,4224.631932773099,-4187.334679138204,0.19789983844911208,0.9851140456182008,-0.7872142071690887,133381.0,0.0,0.0,4187.334679138204
ENSG00000075624,12.84168012924068,3808.9620648259197,-3796.120384696679,0.1672051696284334,0.977671068427325,-0.8104658987988915,106110.5,0.0,0.0,3796.120384696679
ENSG00000100316,23.09854604200323,2845.775990396155,-2822.6774443541517,0.12197092084006483,0.9471788715485756,-0.8252079507085108,215755.0,0.0,0.0,2822.6774443541517
ENSG00000156508,12.40710823909532,2419.3627851140404,-2406.9556768749453,0.16801292407108284,0.987995198079185,-0.8199822740081022,89199.0,0.0,0.0,2406.9556768749453
ENSG00000108654,4.973344103392569,1954.6060024009598,-1949.6326582975673,0.10177705977382887,0.9551020408162821,-0.8533249810424532,160924.0,0.0,0.0,1949.6326582975673
ENSG00000184009,1.6890145395799685,1824.1815126050376,-1822.4924980654575,0.05573505654281092,0.799759903961551,-0.7440248474187401,558005.0,0.0,0.0,1822.4924980654575
ENSG00000198727,361.5218093699513,2121.7719087634964,-1760.250099393545,0.38772213247172543,0.9731092436974333,-0.5853871112257079,760555.0,0.0,0.0,1760.250099393545
ENSG00000198034,15.047657512116313,1695.260264105641,-1680.2126065935247,0.0880452342487884,0.9327731092436546,-0.8447278749948662,262985.5,0.0,0.0,1680.2126065935247
ENSG00000204628,11.466882067851365,1664.9819927971182,-1653.5151107292668,0.09531502423263336,0.9332533013204853,-0.837938277087852,243873.5,0.0,0.0,1653.5151107292668
ENSG00000132475,8.377221324717286,1610.4098439375698,-1602.0326226128525,0.10743134087237494,0.9334933973589007,-0.8260620564865258,244566.0,0.0,0.0,1602.0326226128525
ENSG00000109971,2.9765751211631652,1490.2739495798266,-1487.2973744586634,0.044426494345718874,0.8360144057622688,-0.7915879114165499,458186.5,0.0,0.0,1487.2973744586634
ENSG00000070756,12.851373182552505,1412.7200480192078,-1399.8686748366551,0.12358642972536371,0.9656662665065575,-0.8420798367811938,181798.5,0.0,0.0,1399.8686748366551
ENSG00000234745,15.316639741518568,1414.1716686674674,-1398.8550289259488,0.16397415185783565,0.9663865546218036,-0.8024124027639679,178338.0,0.0,0.0,1398.8550289259488
ENSG00000174444,10.899030694668816,1329.3075630252085,-1318.4085323305396,0.09935379644588055,0.9402160864345305,-0.84086228998865,229667.5,0.0,0.0,1318.4085323305396
