Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),54/367,2.5061639368045704e-13,8.332995089875197e-10,0,0,3.537402587404512,102.63721585204202,USP33;ARRB2;CCAR1;HERC4;PSMD6;UBXN7;ARIH1;ELOC;FBXO7;RC3H1;UBE4A;UBE4B;RAD23A;RC3H2;PJA2;DDB1;RNF168;PSMA6;TBL1XR1;RBCK1;PSMD12;WDR26;PSMD11;CUL3;UBR4;NEDD8;CBL;RNF4;RNF213;HECTD1;RNF216;PSMB2;PCBP2;PSMB1;SPOP;RBBP6;NAE1;MARCHF6;SMURF2;CSNK1A1;USP9X;UBE2G1;WWP2;CUL4A;ITCH;PSMC5;RNF149;PSMC1;PSMC2;TTC3;RLIM;MDM2;CTNNB1;UBA1
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),37/220,3.0062476645706827e-11,3.3993344826301104e-08,0,0,4.098066866443387,99.28691225051443,PSMD12;WDR26;PSMD11;CUL3;SEL1L;ARRB2;RNF4;PSMD6;HECTD1;RNF216;PSMB2;PCBP2;PSMB1;SPOP;UBXN7;FBXO7;MARCHF6;SMURF2;CSNK1A1;DNAJB12;UBE2G1;WWP2;UBE4B;RAD23A;PJA2;DDB1;CUL4A;PSMA6;ITCH;PSMC5;TBL1XR1;PSMC1;PSME4;PSMC2;MDM2;CTNNB1;RBCK1
GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),46/319,3.0670687061324306e-11,3.3993344826301104e-08,0,0,3.4321668197889696,83.08491186872882,RNF10;PSMD12;WDR26;PSMD11;ANAPC16;CUL5;CUL3;SEL1L;UBR1;ARRB2;RNF4;UBE2J1;PSMD6;HECTD1;RNF216;PSMB2;PCBP2;PSMB1;SPOP;UBQLN1;UBXN7;ASCC2;SEC61B;ASCC3;FBXO7;MARCHF6;SMURF2;CSNK1A1;UBE4A;UBE2G1;WWP2;UBE4B;RAD23A;PJA2;DDB1;CUL4A;PSMA6;ITCH;PSMC5;TBL1XR1;PSMC1;PSMC2;MDM2;CTNNB1;RBCK1;STT3B
GO_Biological_Process_2023,mRNA Processing (GO:0006397),36/214,5.518096271337271e-11,4.586917525549106e-08,0,0,4.095994400125514,96.74903882839897,TCERG1;DHX8;RNMT;CELF1;RBM4B;U2AF1;CASC3;PRPF8;EFTUD2;RBM4;SNRNP70;RALY;CMTR1;RBM5;SF3A1;CPSF7;RBM14;HNRNPA3;NCBP1;SCAF11;RBM19;CDC5L;RPRD2;CDC40;SRRM1;SMU1;KIN;SFPQ;PRPF6;SON;DDX39B;SYF2;SNRPG;SNRPA1;SNRPF;SNRNP200
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),154/1922,1.541060094985321e-10,1.0248049631652389e-07,0,0,1.849756223806582,41.79224596912624,ATF2;CCNK;CCNT2;KDM1A;TRRAP;ZNF292;EHMT1;JMJD1C;ARID4A;ARID4B;IKZF1;RBPJ;NR3C1;YY1;TIAL1;ZMIZ1;EPC1;EP300;KAT7;CCNL2;ARID2;CDK5RAP2;MED1;MEF2C;KDM2A;DYRK1A;PIAS1;HCFC1;PRKAR1A;TBL1XR1;KAT6A;PRKCQ;PHIP;ADNP;TOX;ATF4;KHDRBS1;KMT2D;ENY2;NOTCH1;SRCAP;MAX;CTBP1;TCF7;BAZ2A;PSEN1;SBNO1;MIER1;EP400;RREB1;SMAD2;JUN;JUND;CBX5;SMURF2;BCL11A;HMGA1;NFATC3;FOXN3;SMARCA4;HNRNPL;MLLT10;GON4L;CNOT2;MDM2;REL;MMS19;TCF3;RCOR3;BRWD1;KDM5A;RNF10;CALCOCO1;KDM5C;CHD8;MIDEAS;RSF1;YBX1;CHD1;MECP2;MED12;MED13;ZMYM2;YWHAQ;SPIN1;ZNF644;ELOC;USP47;PBRM1;KLF13;PRMT2;RHOG;ARNT;VEZF1;EDF1;BAZ1A;FOS;ASH1L;ARID1A;CBFA2T3;ARID1B;ETV6;MLF2;DNM2;MED23;TOX4;NCOR2;SFPQ;ZEB1;SLTM;WAC;LCOR;TERF2IP;VGLL4;NFAT5;USP16;ATF6B;SATB1;WBP2;ZNF518A;RNF4;PPM1F;PPP2CA;BCLAF1;BTAF1;POLR2A;CUX1;ZNF506;ASCC2;BRD4;ZNF460;KDM4C;CNBP;CDC5L;WWP2;HNRNPAB;CDK11B;YY1AP1;TARBP1;HIPK2;PER1;KLF7;PSMC5;REST;TNIP1;KANSL1;KANSL3;RLIM;TAF7;FOSB;CTNNB1;QRICH1;TAF2;LIMS1
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),102/1127,5.512845952924438e-10,2.935041115725701e-07,0,0,2.071694346538841,44.165975145848414,ATF2;TRRAP;JMJD1C;RBPJ;NR3C1;YY1;UXT;CPNE1;DIP2A;VPS35;KAT7;CCNL2;MED1;MEF2C;RC3H1;ADAM10;HCFC1;PRKAR1A;HGS;KAT6A;MYADM;PRKCQ;ADNP;EZR;ATF4;NOTCH2;KMT2D;DNMT1;ENY2;NOTCH1;SRCAP;TCF7;BAZ2A;PSEN1;MACROH2A1;SBNO1;MIER1;PCBP2;RREB1;LYN;HMGA1;BRAF;FOXN3;CLK3;PUM2;HNRNPL;SON;GON4L;MDM2;REL;TCF3;USP36;CALCOCO1;DDX3X;CELF1;RSF1;YBX1;AFF3;AFF4;VSIR;MECP2;RO60;SNRNP70;SPIN1;ANXA7;FLOT2;CD34;KDM6A;EDF1;BAZ1A;ASH1L;MLF2;DNM2;MED23;RNF168;SFPQ;TERF2IP;CD46;ROCK1;AIF1;PPM1F;TTN;PPP2CA;POLR2A;ZNF506;ASCC2;ZNF460;CNBP;WWP2;HNRNPAB;CDK11B;YY1AP1;WARS1;MTOR;PER1;REST;KANSL1;KANSL3;RLIM;KRAS;TARDBP;LIMS1
GO_Biological_Process_2023,post-Golgi Vesicle-Mediated Transport (GO:0006892),17/56,6.179033927843581e-10,2.935041115725701e-07,0,0,8.71519568151147,184.80301393998724,MON2;VPS13C;SEC16A;SNAP23;GBF1;SORL1;DNM2;SCAMP2;RAB10;GGA1;SCFD1;RABEP1;RAB14;EXOC4;VTI1A;EXOC6;EPS15
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),106/1243,6.59277778035912e-09,2.7401232649617597e-06,0,0,1.9377521178151849,36.50200065079135,ATF2;TCERG1;CCNK;CRTC2;CCNT2;KDM1A;TRRAP;CCNC;NUCKS1;RBPJ;NR3C1;YY1;ZMIZ1;NFATC2IP;EPC1;EP300;KAT7;CDK5RAP2;MED1;MEF2C;DYRK1A;MRTFA;HCFC1;PRPF6;DDX39B;TBL1XR1;KAT6A;PHIP;ATF4;KMT2D;ENY2;NOTCH1;MAX;KMT2C;PSEN1;EP400;RREB1;SMAD2;JUN;JUND;JUP;HMGA1;NFATC3;SUPT5H;SMARCA4;SETX;NFKBIA;MLLT10;MAVS;REL;MMS19;TCF3;CDK12;KDM5A;RNF10;CALCOCO1;DDX3X;CHD8;RSF1;YBX1;MED12;MED13;SPIN1;ACTR3;RBM14;ANXA2;PRMT2;RHOG;ARNT;VEZF1;EDF1;FOS;ARID1A;ARID1B;SREBF2;DNM2;SFPQ;WAC;NFAT5;TMF1;USP16;ATF6B;WBP2;DDX21;RNF4;ATAD2B;BCLAF1;MEF2D;BRD4;CNBP;CDC5L;HNRNPAB;MTOR;HIPK2;PER1;KLF7;PSMC5;REST;TNIP1;KANSL1;KANSL3;TCEA1;TAF7;CTNNB1;QRICH1;TAF2
GO_Biological_Process_2023,Protein Ubiquitination (GO:0016567),50/434,1.1880219902075386e-08,4.389081241600074e-06,0,0,2.648042757179208,48.322519651903896,RNF10;UBE3A;ARRB2;CCAR1;HERC4;HERC2;ELOC;ARIH1;FBXO7;WSB1;RC3H1;UBE4A;UBE4B;RC3H2;PJA2;DDB1;RNF168;NFX1;BIRC6;RBCK1;ANAPC16;CUL5;MGRN1;CUL3;RNF38;NEDD8;UBR1;CBL;RNF4;UBE2J1;RNF213;TNKS2;RNF138;SPOP;RBBP6;NAE1;MARCHF6;SMURF2;USP9X;HUWE1;WWP2;UBE2G1;KLHL24;CUL4A;ITCH;RLIM;MDM2;CTNNB1;UBA1;RNF220
GO_Biological_Process_2023,RNA Processing (GO:0006396),29/183,1.639091648520013e-08,5.449979731329043e-06,0,0,3.790124055049428,67.9438049003128,TCERG1;DHX8;CELF1;CELF2;U2AF1;PRPF8;RBM3;PPP2CA;RBM4;RBM5;SF3A1;NCBP1;SCAF11;SRRM1;HNRNPL;SETX;SMU1;KIN;SFPQ;PRPF6;SON;DDX39B;HNRNPUL1;SNRPG;SNRPA1;PPIG;SNRPF;CDK12;TARDBP
