Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	22/93	9.274957e-27	3.691433e-24	0	0	4.504577e+01	2.700155e+03	RPL4;RPL5;RPLP0P6;RPL3;RPL32;RPS7;RPLP0;RPL22;RPS6;RPS3A;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15A;RACK1;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	23/158	9.186031e-23	1.828020e-20	0	0	2.487029e+01	1.261963e+03	RPL4;RPL5;RPL3;EEF1A1P5;RPL32;RPS7;RPL22;RPS6;RPLP0;RPS3A;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;EEF1A1;RPS4X;RPS15A;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023	Translation (GO:0006412)	25/234	2.837722e-21	2.895375e-19	0	0	1.765748e+01	8.353981e+02	RPL4;RPL5;RPLP0P6;RPL3;EEF1A1P5;RPL32;RPLP0;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;RPS4X;RPS15A;RACK1;RPS3;RPL13;RPS7;RPL22;RPS6;RPS3A;EEF1A1;RPL29;RPS23
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	23/183	2.909925e-21	2.895375e-19	0	0	2.095769e+01	9.910084e+02	RPL4;RPL5;RPL3;EEF1A1P5;RPL32;RPS7;RPL22;RPS6;RPLP0;RPS3A;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;EEF1A1;RPS4X;RPS15A;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023	Gene Expression (GO:0010467)	23/296	1.554968e-16	1.237755e-14	0	0	1.221237e+01	4.445292e+02	RPL4;RPL5;RPL3;EEF1A1P5;RPL32;RPS7;RPL22;RPS6;RPLP0;RPS3A;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;EEF1A1;RPS4X;RPS15A;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	8/118	4.453290e-06	2.719049e-04	0	0	9.567030e+00	1.178837e+02	RPS4X;RPL5;RPS15A;RPS7;RPS6;RPS3A;RPL7;RPS23
GO_Biological_Process_2023	Alpha-Beta T Cell Activation (GO:0046631)	4/15	4.782246e-06	2.719049e-04	0	0	4.682645e+01	5.736521e+02	TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023	Ribosomal Large Subunit Assembly (GO:0000027)	4/22	2.454656e-05	1.221191e-03	0	0	2.860606e+01	3.036516e+02	RPL5;RPLP0P6;RPLP0;RPL6
GO_Biological_Process_2023	T Cell Activation (GO:0042110)	7/111	2.869800e-05	1.269089e-03	0	0	8.798141e+00	9.201696e+01	DPP4;CD2;CD84;TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	8/155	3.273072e-05	1.302682e-03	0	0	7.145578e+00	7.379379e+01	RPS4X;RPL5;RPS15A;RPS7;RPS6;RPS3A;RPL7;RPS23
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	6/84	5.404663e-05	1.955505e-03	0	0	1.000202e+01	9.827652e+01	RPS4X;RPS15A;RPS7;RPS6;RPS3A;RPS23
GO_Biological_Process_2023	Ribosomal Large Subunit Biogenesis (GO:0042273)	5/54	6.682767e-05	2.216451e-03	0	0	1.320061e+01	1.269027e+02	RPL5;RPLP0P6;RPLP0;RPL6;RPL7
GO_Biological_Process_2023	Ribosome Assembly (GO:0042255)	4/50	6.508161e-04	1.992498e-02	0	0	1.117787e+01	8.201517e+01	RPL5;RPLP0P6;RPLP0;RPL6
GO_Biological_Process_2023	Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667)	2/8	1.683070e-03	4.784727e-02	0	0	4.238462e+01	2.707163e+02	RPL5;RPS7
GO_Biological_Process_2023	Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632)	2/9	2.152738e-03	5.711931e-02	0	0	3.632784e+01	2.230898e+02	DPP4;CD3E
GO_Biological_Process_2023	Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	3/39	3.588915e-03	8.927427e-02	0	0	1.064839e+01	5.994941e+01	RPS7;RACK1;RPS3
GO_Biological_Process_2023	Gamma-Delta T Cell Activation (GO:0046629)	2/12	3.885745e-03	9.097215e-02	0	0	2.542564e+01	1.411235e+02	CD3G;CD3E
GO_Biological_Process_2023	Translational Elongation (GO:0006414)	3/42	4.431107e-03	9.797669e-02	0	0	9.827792e+00	5.325784e+01	EEF1A1;EEF1A1P5;RACK1
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	4/91	5.884991e-03	1.211230e-01	0	0	5.897895e+00	3.028776e+01	RPL5;RPS7;RPS6;RPL7
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229)	2/15	6.086585e-03	1.211230e-01	0	0	1.955523e+01	9.976428e+01	RPS3;TPT1
