Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),22/93,9.274957156543604e-27,3.691432948304354e-24,0,0,45.04577464788732,2700.155424365458,RPL4;RPL5;RPLP0P6;RPL3;RPL32;RPS7;RPLP0;RPL22;RPS6;RPS3A;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15A;RACK1;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),23/158,9.186031356095854e-23,1.8280202398630747e-20,0,0,24.87028806584362,1261.962514951041,RPL4;RPL5;RPL3;EEF1A1P5;RPL32;RPS7;RPL22;RPS6;RPLP0;RPS3A;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;EEF1A1;RPS4X;RPS15A;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),25/234,2.837722176834174e-21,2.8953754192644234e-19,0,0,17.657481023131993,835.3981218866903,RPL4;RPL5;RPLP0P6;RPL3;EEF1A1P5;RPL32;RPLP0;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;RPS4X;RPS15A;RACK1;RPS3;RPL13;RPS7;RPL22;RPS6;RPS3A;EEF1A1;RPL29;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),23/183,2.9099250444868573e-21,2.8953754192644234e-19,0,0,20.957685185185184,991.0084471405193,RPL4;RPL5;RPL3;EEF1A1P5;RPL32;RPS7;RPL22;RPS6;RPLP0;RPS3A;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;EEF1A1;RPS4X;RPS15A;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),23/296,1.5549680045887555e-16,1.2377545316526491e-14,0,0,12.212372812372813,444.5292287371501,RPL4;RPL5;RPL3;EEF1A1P5;RPL32;RPS7;RPL22;RPS6;RPLP0;RPS3A;RPL10A;RPL8;RPS4Y1;RPL9;RPL6;RPL7;EEF1A1;RPS4X;RPS15A;RPS3;RPL13;RPL29;RPS23
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),8/118,4.453289659181576e-06,0.0002719048687706911,0,0,9.567030303030304,117.88367962506064,RPS4X;RPL5;RPS15A;RPS7;RPS6;RPS3A;RPL7;RPS23
GO_Biological_Process_2023,Alpha-Beta T Cell Activation (GO:0046631),4/15,4.782246435665421e-06,0.0002719048687706911,0,0,46.82644628099174,573.6520701260712,TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),4/22,2.4546559842240175e-05,0.0012211913521514,0,0,28.60606060606061,303.6515838486941,RPL5;RPLP0P6;RPLP0;RPL6
GO_Biological_Process_2023,T Cell Activation (GO:0042110),7/111,2.8698003031973888e-05,0.0012690894674139,0,0,8.798140601120734,92.01696369832273,DPP4;CD2;CD84;TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),8/155,3.273071539299516e-05,0.0013026824726412,0,0,7.145578231292517,73.79379130299364,RPS4X;RPL5;RPS15A;RPS7;RPS6;RPS3A;RPL7;RPS23
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),6/84,5.404663223212756e-05,0.0019555054207624,0,0,10.002024291497976,98.27652324871988,RPS4X;RPS15A;RPS7;RPS6;RPS3A;RPS23
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),5/54,6.682766669831636e-05,0.0022164509454941,0,0,13.20061357876484,126.90269133572842,RPL5;RPLP0P6;RPLP0;RPL6;RPL7
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),4/50,0.0006508160707344692,0.0199249843194091,0,0,11.17786561264822,82.01516880317187,RPL5;RPLP0P6;RPLP0;RPL6
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),2/8,0.0016830696407496,0.0478472655013115,0,0,42.38461538461539,270.7163021628483,RPL5;RPS7
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632),2/9,0.0021527378072179,0.0571193098181839,0,0,36.327838827838825,223.0897976455384,DPP4;CD3E
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),3/39,0.0035889152731361,0.0892742674192627,0,0,10.648387096774194,59.94941068071576,RPS7;RACK1;RPS3
GO_Biological_Process_2023,Gamma-Delta T Cell Activation (GO:0046629),2/12,0.0038857451214415,0.0909721504902205,0,0,25.425641025641024,141.12350817285684,CD3G;CD3E
GO_Biological_Process_2023,Translational Elongation (GO:0006414),3/42,0.0044311067402378,0.097976693478592,0,0,9.827791563275436,53.25784322123321,EEF1A1;EEF1A1P5;RACK1
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),4/91,0.0058849909546635,0.1211230486899102,0,0,5.897895208240036,30.28775660166809,RPL5;RPS7;RPS6;RPL7
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),2/15,0.006086585361302,0.1211230486899102,0,0,19.555226824457595,99.76427591098042,RPS3;TPT1
GO_Biological_Process_2023,T Cell Receptor Signaling Pathway (GO:0050852),4/95,0.0068422500134342,0.1296769288260388,0,0,5.6375053517910665,28.10092707799873,TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),2/17,0.0078024856073765,0.134726836518259,0,0,16.946153846153845,82.24498754883699,RPL5;RPS7
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),2/17,0.0078024856073765,0.134726836518259,0,0,16.946153846153845,82.24498754883699,RPL5;RPS7
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),4/100,0.0081768195013075,0.134726836518259,0,0,5.342532467532467,25.67862595978233,RPL5;RPS7;RPS6;RPL7
GO_Biological_Process_2023,rRNA Processing (GO:0006364),4/101,0.0084627409873278,0.134726836518259,0,0,5.287187039764359,25.230890970533423,RPL5;RPS7;RPS6;RPL7
GO_Biological_Process_2023,Modulation By Host Of Viral Genome Replication (GO:0044827),2/21,0.0118018350491819,0.1806588595990154,0,0,13.375843454790823,59.38206032082638,EEF1A1;IFI27
GO_Biological_Process_2023,Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),2/25,0.0165162091658715,0.2434611573339589,0,0,11.047380156075809,45.33196342129251,RPL5;RPS7
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),4/134,0.0218255157996252,0.3102341174375307,0,0,3.9384615384615382,15.0633375275521,TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),4/150,0.0312985998089606,0.3968205694278248,0,0,3.5040028464686,12.138503297764217,RPL5;RPLP0P6;RPLP0;RPL6
GO_Biological_Process_2023,Type I Interferon-Mediated Signaling Pathway (GO:0060337),2/37,0.0344808373642949,0.3968205694278248,0,0,7.255311355311355,24.431183923342044,IFITM1;IFI27
GO_Biological_Process_2023,Cellular Response To Type I Interferon (GO:0071357),2/38,0.0362113333297527,0.3968205694278248,0,0,7.053418803418803,23.405945992474862,IFITM1;IFI27
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),2/39,0.0379747105557805,0.3968205694278248,0,0,6.862439362439362,22.44590583981357,RPL5;RPS7
GO_Biological_Process_2023,Retina Homeostasis (GO:0001895),2/39,0.0379747105557805,0.3968205694278248,0,0,6.862439362439362,22.44590583981357,ACTG1;JCHAIN
