gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc
ENSG00000210082,99325.90334346505,27896.00634920636,71429.89699425868,1.0000000000000187,0.9999999999999966,2.2093438190040615e-14,3446039.5,5.784087292215687e-287,D2_1,D2_2,2.0178577258070634e-284,71429.89699425868,False
ENSG00000251562,19618.562310030415,9163.483730158729,10455.078579871686,1.0000000000000187,0.9968253968253934,0.0031746031746252568,3047208.0,1.5852957493695155e-145,D2_1,D2_2,2.2081932625065393e-144,10455.078579871686,False
ENSG00000075624,7369.246200607915,1484.887698412697,5884.358502195218,0.9987841945288941,0.9638888888888856,0.034895305640008534,3504302.0,0.0,D2_1,D2_2,0.0,5884.358502195218,False
ENSG00000198804,6012.469908814595,1776.69365079365,4235.7762580209455,1.0000000000000187,0.9896825396825363,0.010317460317482374,3390950.5,1.4216892466571526e-264,D2_1,D2_2,2.2497865913595146e-262,4235.7762580209455,False
ENSG00000156508,4528.144072948326,1042.7972222222227,3485.346850726103,1.0000000000000187,0.9801587301587268,0.019841269841291864,3521237.5,0.0,D2_1,D2_2,0.0,3485.346850726103,False
ENSG00000100316,4915.1525835866305,1494.9329365079382,3420.219647078692,0.9920972644377085,0.9178571428571397,0.07424012158056881,3299086.5,2.6418819461908634e-229,D2_1,D2_2,1.8517300399100345e-227,3420.219647078692,False
ENSG00000166710,6269.761094224927,2889.6170634920563,3380.1440307328703,0.9987841945288941,0.9761904761904728,0.022593718338421276,2959603.5,7.001193289643881e-121,D2_1,D2_2,6.466204392059782e-120,3380.1440307328703,False
ENSG00000184009,3773.737386018237,551.5547619047609,3222.182624113476,0.855319148936185,0.7634920634920609,0.0918270854441241,3211872.0,1.0697262608963282e-199,D2_1,D2_2,3.9283009819996745e-198,3222.182624113476,False
ENSG00000108654,3780.031610942252,763.0087301587292,3017.022880783523,0.9981762917933318,0.9269841269841238,0.07119216480920798,3489141.0,3.783646448553193e-305,D2_1,D2_2,2.1510730735293153e-302,3017.022880783523,False
ENSG00000109971,2940.5823708206663,543.5448412698412,2397.037529550825,0.9574468085106559,0.7567460317460292,0.20070077676462672,3421823.5,3.155884800294234e-278,D2_1,D2_2,7.339822982502498e-276,2397.037529550825,False
