gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc
ENSG00000211899,131.18784194528868,269.34484126984097,-138.1569993245523,0.16231003039513653,0.09960317460317432,0.06270685579196221,2202450.5,2.4275511836074143e-09,D2_1,D2_2,2.7294836411056117e-09,138.1569993245523,False
ENSG00000156738,19.435258358662605,68.60476190476196,-49.16950354609935,0.024924012158054697,0.06230158730158715,-0.03737757514353245,1994521.5,2.280894300428019e-08,D2_1,D2_2,2.522277034188466e-08,49.16950354609935,False
ENSG00000160856,7.327051671732525,36.390079365079394,-29.063027693346868,0.02066869300911853,0.1095238095238092,-0.08885511651469068,1888605.0,1.5012013933288883e-26,D2_1,D2_2,2.50990539021876e-26,29.063027693346868,False
ENSG00000172673,15.370820668693007,35.05833333333337,-19.687512664640366,0.06504559270516731,0.22936507936507863,-0.1643194866599113,1734288.0,1.952268500713159e-43,D2_1,D2_2,4.6432168400909504e-43,19.687512664640366,False
ENSG00000186265,5.49726443768997,15.051587301587313,-9.554322863897344,0.026139817629179316,0.05039682539682529,-0.02425700776764597,2022480.0,0.00011265177155285583,D2_1,D2_2,0.00011797807827907055,9.554322863897344,False
ENSG00000111796,33.972644376899694,43.498412698412736,-9.525768321513041,0.08449848024316133,0.15634920634920588,-0.07185072610604455,1919969.5,4.021709657428705e-12,D2_1,D2_2,4.7992881319700395e-12,9.525768321513041,False
ENSG00000197061,42.50455927051657,51.72896825396848,-9.224408983451909,0.44437689969605215,0.269841269841269,0.17453562985478316,2500240.5,9.428049918486233e-41,D2_1,D2_2,2.119516201651489e-40,9.224408983451909,False
ENSG00000197540,13.392705167173249,22.24087301587308,-8.848167848699832,0.048632218844984865,0.16746031746031695,-0.11882809861533208,1830536.5,1.4907197779396475e-29,D2_1,D2_2,2.660142826246639e-29,8.848167848699832,False
ENSG00000225783,13.162310030395133,21.287698412698465,-8.125388382303331,0.06200607902735575,0.17579365079365025,-0.1137875717662945,1839811.0,1.1187255527181989e-25,D2_1,D2_2,1.83446610770477e-25,8.125388382303331,False
ENSG00000256039,10.039513677811552,18.03333333333336,-7.993819655521808,0.019452887537993912,0.07896825396825376,-0.05951536643025984,1950682.5,5.106559147609997e-16,D2_1,D2_2,6.671121950281997e-16,7.993819655521808,False
ENSG00000184613,18.561702127659583,26.397619047619116,-7.8359169199595335,0.03768996960486323,0.11428571428571395,-0.07659574468085072,1914858.0,5.268920386457142e-18,D2_1,D2_2,7.253625823508263e-18,7.8359169199595335,False
ENSG00000137502,12.654711246200606,19.85039682539688,-7.195685579196276,0.08693009118541058,0.10317460317460288,-0.0162445119891923,2042406.0,0.11951012498781312,D2_1,D2_2,0.12104786661583183,7.195685579196276,False
ENSG00000247982,6.206686930091191,13.175793650793665,-6.969106720702474,0.06747720364741656,0.05873015873015859,0.008747044917257973,2089379.0,0.2935428705115041,D2_1,D2_2,0.2959334731611446,6.969106720702474,False
ENSG00000150907,20.251063829787228,27.02460317460323,-6.773539344816001,0.06990881458966582,0.15277777777777732,-0.0828689631881115,1905457.0,5.723461740049771e-15,D2_1,D2_2,7.289068091741805e-15,6.773539344816001,False
ENSG00000162894,30.85531914893614,37.44722222222239,-6.591903073286254,0.1866261398176285,0.2964285714285705,-0.109802431610942,1862672.5,4.190207669942589e-13,D2_1,D2_2,5.102712235907874e-13,6.591903073286254,False
ENSG00000175899,21.688145896656522,27.382539682539768,-5.694393785883246,0.09908814589665683,0.21230158730158663,-0.1132134414049298,1841564.0,7.560465954849335e-21,D2_1,D2_2,1.112366073103971e-20,5.694393785883246,False
ENSG00000023445,56.945896656534956,62.585714285714424,-5.639817629179468,0.22066869300911723,0.25515873015872936,-0.03449003714961213,2013796.0,0.038629609825625376,D2_1,D2_2,0.03934473563952953,5.639817629179468,False
ENSG00000141293,35.13556231003038,39.335317460317576,-4.199755150287196,0.11246200607902772,0.34365079365079254,-0.2311887875717648,1613574.0,1.135086661464024e-56,D2_1,D2_2,3.4826264748096684e-56,4.199755150287196,False
ENSG00000116717,11.413981762917933,15.519841269841287,-4.105859506923354,0.15987841945288733,0.06150793650793636,0.09837048294495097,2279409.5,1.4621881475967073e-25,D2_1,D2_2,2.390519551135313e-25,4.105859506923354,False
ENSG00000078589,12.59088145896656,16.465873015873047,-3.874991556906487,0.04316109422492405,0.09761904761904734,-0.05445795339412329,1962071.5,2.2593133949896397e-10,D2_1,D2_2,2.5933194207052244e-10,3.874991556906487,False
ENSG00000172005,14.581762917933132,18.43293650793655,-3.851173590003418,0.06079027355623112,0.11746031746031711,-0.05667004390408599,1959424.0,4.423132304145694e-09,D2_1,D2_2,4.95042514536175e-09,3.851173590003418,False
ENSG00000260711,3.730091185410335,7.210317460317468,-3.4802262749071327,0.02127659574468084,0.07658730158730138,-0.055310705842620544,1958453.5,2.180965952867868e-14,D2_1,D2_2,2.740490125779451e-14,3.4802262749071327,False
ENSG00000109943,7.578115501519758,11.025000000000011,-3.4468844984802534,0.03890577507598786,0.06587301587301571,-0.02696724079702785,2017373.5,0.00022927877017393667,D2_1,D2_2,0.00023928672301944028,3.4468844984802534,False
ENSG00000235576,2.545288753799392,5.982142857142883,-3.4368541033434914,0.025531914893617006,0.08253968253968232,-0.05700776764606531,1955503.5,6.180986863717462e-14,D2_1,D2_2,7.685552722402839e-14,3.4368541033434914,False
ENSG00000157833,0.8650455927051687,4.011111111111112,-3.146065518405943,0.14528875379939216,0.10515873015872985,0.0401300236406623,2154335.5,0.00014338238665186607,D2_1,D2_2,0.00014996726867716982,3.146065518405943,False
ENSG00000197948,5.86808510638298,8.965873015873033,-3.0977879094900524,0.048632218844984865,0.11944444444444409,-0.07081222559945922,1927705.5,2.126169343950865e-14,D2_1,D2_2,2.672072984251333e-14,3.0977879094900524,False
ENSG00000091490,19.458966565349538,22.174206349206393,-2.7152397838568554,0.0930091185410337,0.16825396825396774,-0.07524484971293403,1919622.0,1.8316914151433674e-11,D2_1,D2_2,2.1553440569145796e-11,2.7152397838568554,False
ENSG00000145349,14.880851063829777,17.563888888888954,-2.683037825059177,0.09665653495440758,0.19523809523809463,-0.09858156028368704,1873361.5,9.242507248607878e-17,D2_1,D2_2,1.2291845976965078e-16,2.683037825059177,False
ENSG00000204681,11.537993920972644,14.077380952380976,-2.5393870314083316,0.12218844984802472,0.10476190476190446,0.017426545086120265,2114294.0,0.044925235731589346,D2_1,D2_2,0.045717473381059165,2.5393870314083316,False
ENSG00000235300,5.607294832826751,8.123015873015893,-2.515721040189142,0.034042553191489355,0.12341269841269804,-0.08937014522120869,1890288.5,1.375533633995085e-22,D2_1,D2_2,2.1072296688447655e-22,2.515721040189142,False
ENSG00000196312,3.5075987841945357,6.005952380952416,-2.4983535967578803,0.19331306990881378,0.05992063492063478,0.133392434988179,2351249.0,8.003042289429171e-41,D2_1,D2_2,1.8025927973989401e-40,2.4983535967578803,False
ENSG00000163545,4.944072948328268,7.425396825396835,-2.4813238770685677,0.04133738601823711,0.056746031746031614,-0.015408645727794504,2040266.5,0.024464646663512415,D2_1,D2_2,0.024980531250243833,2.4813238770685677,False
ENSG00000185101,4.181155015197571,6.648412698412716,-2.467257683215145,0.04924012158054718,0.11428571428571395,-0.06504559270516677,1939873.0,1.213984130548088e-12,D2_1,D2_2,1.4649887109994615e-12,2.467257683215145,False
ENSG00000152969,3.2048632218845006,5.64246031746032,-2.4375970955758195,0.031610942249240104,0.09761904761904734,-0.06600810536980724,1936400.0,8.920337311915353e-16,D2_1,D2_2,1.1582403801209665e-15,2.4375970955758195,False
ENSG00000161405,28.19452887537993,30.60238095238107,-2.407852077001138,0.10334346504559302,0.26349206349206267,-0.16014859844646964,1750529.5,5.651714653496212e-34,D2_1,D2_2,1.1092420397796555e-33,2.407852077001138,False
ENSG00000177034,3.4303951367781167,5.778571428571439,-2.3481762917933224,0.04133738601823711,0.08809523809523785,-0.04675785207700074,1975439.0,6.221200220520025e-09,D2_1,D2_2,6.940578776435961e-09,2.3481762917933224,False
ENSG00000106003,7.222492401215809,9.545634920634955,-2.3231425194191457,0.08085106382978745,0.07698412698412678,0.003866936845660668,2082566.5,0.5771059040929805,D2_1,D2_2,0.5798256072671324,2.3231425194191457,False
ENSG00000162892,4.671124620060791,6.753571428571457,-2.0824468085106664,0.06079027355623112,0.12460317460317423,-0.06381290104694311,1942908.0,4.398590110309474e-11,D2_1,D2_2,5.1305743307941054e-11,2.0824468085106664,False
ENSG00000126838,9.213981762917928,11.206349206349248,-1.9923674434313199,0.05592705167173262,0.13253968253968215,-0.07661263086794953,1916620.0,5.120456393252871e-15,D2_1,D2_2,6.5286988650578606e-15,1.9923674434313199,False
ENSG00000089012,8.420060790273556,10.249206349206364,-1.829145558932808,0.03525835866261398,0.10238095238095209,-0.0671225937183381,1935696.5,3.655823925556271e-15,D2_1,D2_2,4.6783574203658826e-15,1.829145558932808,False
ENSG00000056558,13.406079027355618,15.198809523809565,-1.792730496453947,0.0832826747720367,0.18611111111111053,-0.10282843633907383,1864591.5,3.7013756263169583e-19,D2_1,D2_2,5.241822664818277e-19,1.792730496453947,False
ENSG00000124203,2.838905775075989,4.526984126984132,-1.688078351908143,0.035866261398176294,0.11111111111111079,-0.07524484971293449,1918050.0,8.166414333959242e-18,D2_1,D2_2,1.1180383520003065e-17,1.688078351908143,False
ENSG00000069702,16.513069908814586,18.18809523809532,-1.6750253292807322,0.0832826747720367,0.21825396825396756,-0.13497129348193088,1798966.5,6.079355799471164e-29,D2_1,D2_2,1.071759636176437e-28,1.6750253292807322,False
ENSG00000141985,5.36899696048633,6.958730158730196,-1.5897331982438665,0.1829787234042547,0.06904761904761887,0.11393110435663582,2309850.5,9.636010712222016e-30,D2_1,D2_2,1.7269441264752826e-29,1.5897331982438665,False
