title,D1,D2
NormalDonor1_untreated_PBMC_001,0,1
OTHER,1237,4146
Patient4_treated_1d_ETP-ALL_200,0,1
Patient4_treated_1d_ETP-ALL_244,0,1
Patient4_treated_1d_ETP-ALL_245,0,1
Patient4_treated_1d_ETP-ALL_246,0,1
Patient4_treated_1d_ETP-ALL_247,0,1
Patient4_treated_1d_ETP-ALL_248,0,1
Patient4_treated_1d_ETP-ALL_249,0,1
Patient4_treated_1d_PBMC_001,0,1
Patient4_treated_1d_PBMC_002,0,1
Patient4_treated_1d_PBMC_003,0,1
Patient4_treated_1d_PBMC_004,0,1
Patient4_treated_1d_PBMC_005,0,1
Patient4_treated_1d_PBMC_006,0,1
Patient4_treated_1d_PBMC_007,1,0
Patient4_treated_1d_PBMC_008,0,1
Patient4_treated_1d_PBMC_009,0,1
Patient4_treated_1d_PBMC_010,0,1
Patient4_treated_1d_PBMC_011,0,1
Patient4_treated_1d_PBMC_012,0,1
