cell_id,H,S,M,R,phi,state_domain,patient_or_donor_id,source_class,treatment_state,d2_subdomain,comparison_group
GSM4918377_P3_treated_10d_PBMC_092418_092418_plate1_D8_S252_rep1_NA,0.98849152731792,-0.8012350426421598,0.7969358,-0.063301384,1.502733119244749,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918402_P3_treated_10d_PBMC_092418_092818_plate1_B9_S258_rep1_NA,1.0574191309764345,-0.4395985166298096,0.84342086,0.079431266,1.4244473129883006,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918404_P3_treated_10d_PBMC_092418_092818_plate1_C11_S274_rep1_NA,1.8023478922685665,-1.1927099865082915,0.95415485,-0.0945019,2.364393605887921,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918406_P3_treated_10d_PBMC_092418_092818_plate1_C1_S195_rep1_NA,0.9906672300892114,-0.8670035081434739,0.87413585,0.45092896,1.6433402128371428,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918407_P3_treated_10d_PBMC_092418_092818_plate1_C2_S203_rep1_NA,1.7691099131529175,-0.6840486922880424,0.84105253,0.21705867,2.0861822362100764,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918408_P3_treated_10d_PBMC_092418_092818_plate1_C3_S211_rep1_NA,0.7214513397277148,-0.649189929902852,0.7339123,0.27623504,1.2477470344974881,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918409_P3_treated_10d_PBMC_092418_092818_plate1_C4_S219_rep1_NA,0.8527816866350535,-0.6178749705558709,0.6473748,0.6237777,1.3846294937606505,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918413_P3_treated_10d_PBMC_092418_092818_plate1_C8_S251_rep1_NA,0.8248215139560614,-0.5387626063523583,0.6536945,-0.1290734,1.1893578594376737,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918416_P3_treated_10d_TALL_011118_plate1_A11_rep_1_NA,1.875848381232077,0.3050637565137417,0.903363,-0.10315712,2.1067930952243445,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918421_P3_treated_10d_TALL_011118_plate1_A4_rep_1_NA,0.3446993234003473,-0.1994866577528381,0.909066,-0.45774668,1.0929526822242022,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918422_P3_treated_10d_TALL_011118_plate1_A5_rep_1_NA,2.141065764212799,-0.1085231238142162,0.9993694,-0.4365957,2.4052639934114057,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918423_P3_treated_10d_TALL_011118_plate1_A6_rep_1_NA,2.5826435433047505,0.5337754838579117,1.1213001,-0.46988425,2.903974700578422,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918424_P3_treated_10d_TALL_011118_plate1_A7_rep_1_NA,2.771996872234378,-0.4649999493850173,1.2150763,-0.7218467,3.1460554168240304,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918425_P3_treated_10d_TALL_011118_plate1_A8_rep_1_NA,1.8706095705389716,0.2405444699185312,0.85859305,-0.17260002,2.0794265074324425,D2,Patient3,patient,treated,D2_1,D2_1 treated
GSM4918426_P3_treated_10d_TALL_011118_plate1_A9_rep_1_NA,2.3874290640158318,-0.188577490972021,1.0419177,-0.45542666,2.6511101338912457,D2,Patient3,patient,treated,D2_1,D2_1 treated
