cell_id,comparison_group,metric,value
GSM4918377_P3_treated_10d_PBMC_092418_092418_plate1_D8_S252_rep1_NA,D2_1 treated,H,0.98849152731792
GSM4918402_P3_treated_10d_PBMC_092418_092818_plate1_B9_S258_rep1_NA,D2_1 treated,H,1.0574191309764345
GSM4918404_P3_treated_10d_PBMC_092418_092818_plate1_C11_S274_rep1_NA,D2_1 treated,H,1.8023478922685665
GSM4918406_P3_treated_10d_PBMC_092418_092818_plate1_C1_S195_rep1_NA,D2_1 treated,H,0.9906672300892114
GSM4918407_P3_treated_10d_PBMC_092418_092818_plate1_C2_S203_rep1_NA,D2_1 treated,H,1.7691099131529175
GSM4918408_P3_treated_10d_PBMC_092418_092818_plate1_C3_S211_rep1_NA,D2_1 treated,H,0.7214513397277148
GSM4918409_P3_treated_10d_PBMC_092418_092818_plate1_C4_S219_rep1_NA,D2_1 treated,H,0.8527816866350535
GSM4918413_P3_treated_10d_PBMC_092418_092818_plate1_C8_S251_rep1_NA,D2_1 treated,H,0.8248215139560614
GSM4918416_P3_treated_10d_TALL_011118_plate1_A11_rep_1_NA,D2_1 treated,H,1.875848381232077
GSM4918421_P3_treated_10d_TALL_011118_plate1_A4_rep_1_NA,D2_1 treated,H,0.3446993234003473
GSM4918422_P3_treated_10d_TALL_011118_plate1_A5_rep_1_NA,D2_1 treated,H,2.141065764212799
GSM4918423_P3_treated_10d_TALL_011118_plate1_A6_rep_1_NA,D2_1 treated,H,2.5826435433047505
GSM4918424_P3_treated_10d_TALL_011118_plate1_A7_rep_1_NA,D2_1 treated,H,2.771996872234378
GSM4918425_P3_treated_10d_TALL_011118_plate1_A8_rep_1_NA,D2_1 treated,H,1.8706095705389716
GSM4918426_P3_treated_10d_TALL_011118_plate1_A9_rep_1_NA,D2_1 treated,H,2.3874290640158318
GSM4918427_P3_treated_10d_TALL_011118_plate1_B10_rep_1_NA,D2_1 treated,H,2.259294962405582
GSM4918429_P3_treated_10d_TALL_011118_plate1_B12_rep_1_NA,D2_1 treated,H,1.9267997985845933
GSM4918430_P3_treated_10d_TALL_011118_plate1_B1_rep_1_NA,D2_1 treated,H,2.6893521129249844
GSM4918431_P3_treated_10d_TALL_011118_plate1_B2_rep_1_NA,D2_1 treated,H,1.8611389769526845
GSM4918433_P3_treated_10d_TALL_011118_plate1_B4_rep_1_NA,D2_1 treated,H,2.1665623912905847
GSM4918434_P3_treated_10d_TALL_011118_plate1_B5_rep_1_NA,D2_1 treated,H,2.753262952882043
GSM4918435_P3_treated_10d_TALL_011118_plate1_B6_rep_1_NA,D2_1 treated,H,2.406621440882972
GSM4918436_P3_treated_10d_TALL_011118_plate1_B7_rep_1_NA,D2_1 treated,H,2.1043804076164
GSM4918437_P3_treated_10d_TALL_011118_plate1_B8_rep_1_NA,D2_1 treated,H,2.120893983280596
GSM4918438_P3_treated_10d_TALL_011118_plate1_B9_rep_1_NA,D2_1 treated,H,2.1428846500502816
GSM4918440_P3_treated_10d_TALL_011118_plate1_C11_rep_1_NA,D2_1 treated,H,2.285411800365136
GSM4918441_P3_treated_10d_TALL_011118_plate1_C12_rep_1_NA,D2_1 treated,H,2.63295984501026
GSM4918442_P3_treated_10d_TALL_011118_plate1_C1_rep_1_NA,D2_1 treated,H,1.6417595577100494
GSM4918443_P3_treated_10d_TALL_011118_plate1_C2_rep_1_NA,D2_1 treated,H,2.091540934224261
GSM4918444_P3_treated_10d_TALL_011118_plate1_C3_rep_1_NA,D2_1 treated,H,1.9486117972158328
GSM4918445_P3_treated_10d_TALL_011118_plate1_C4_rep_1_NA,D2_1 treated,H,2.496790490448289
GSM4918446_P3_treated_10d_TALL_011118_plate1_C5_rep_1_NA,D2_1 treated,H,1.740664663566182
GSM4918447_P3_treated_10d_TALL_011118_plate1_C6_rep_1_NA,D2_1 treated,H,2.223507015047586
GSM4918448_P3_treated_10d_TALL_011118_plate1_C7_rep_1_NA,D2_1 treated,H,2.328193266756062
