cell_id,total_counts,mito_counts,mito_fraction,state_domain
GSM4916501_ND1_untreated_070218_plate1_A10_S71_rep1_NA,129479.0,8454.0,0.06529244124529847,D2
GSM4916502_ND1_untreated_070218_plate1_A11_S79_rep1_NA,996867.0,115814.0,0.11617798562897558,D2
GSM4916503_ND1_untreated_070218_plate1_A12_S87_rep1_NA,1363567.0,160845.0,0.11795900018114255,D2
GSM4916504_ND1_untreated_070218_plate1_A1_S1_rep1_NA,565427.0,94038.0,0.16631324644914375,D2
GSM4916505_ND1_untreated_070218_plate1_A2_S9_rep1_NA,667540.0,78042.0,0.11690984809899033,D2
GSM4916506_ND1_untreated_070218_plate1_A3_S16_rep1_NA,722777.0,56760.0,0.07853044576681328,D2
GSM4916507_ND1_untreated_070218_plate1_A4_S23_rep1_NA,2517334.0,274551.0,0.10906419251477953,D2
GSM4916508_ND1_untreated_070218_plate1_A5_S31_rep1_NA,74.0,12.0,0.16216216216216217,D1
GSM4916509_ND1_untreated_070218_plate1_A6_S39_rep1_NA,2385608.0,401102.0,0.1681340773505119,D2
GSM4916510_ND1_untreated_070218_plate1_A7_S47_rep1_NA,2273268.0,313207.0,0.1377782997869147,D2
GSM4916511_ND1_untreated_070218_plate1_A8_S55_rep1_NA,1404.0,4.0,0.002849002849002849,D1
GSM4916512_ND1_untreated_070218_plate1_A9_S63_rep1_NA,1201401.0,83733.0,0.06969612976849528,D2
GSM4916513_ND1_untreated_070218_plate1_B10_S72_rep1_NA,1095327.0,121973.0,0.11135761284073158,D2
GSM4916514_ND1_untreated_070218_plate1_B11_S80_rep1_NA,1393602.0,47318.0,0.03395374002046495,D2
GSM4916515_ND1_untreated_070218_plate1_B12_S88_rep1_NA,1413563.0,226126.0,0.15996881638809166,D2
GSM4916516_ND1_untreated_070218_plate1_B1_S2_rep1_NA,1553414.0,186626.0,0.12013925457089997,D2
GSM4916517_ND1_untreated_070218_plate1_B2_S10_rep1_NA,1958213.0,217873.0,0.11126113451396759,D2
GSM4916518_ND1_untreated_070218_plate1_B3_S17_rep1_NA,467065.0,56901.0,0.12182672647276076,D2
