cell_id,treatment_state,total_counts,mito_counts,non_mito_counts,mito_fraction,antigen_presentation_score,ribosomal_translation_score,housekeeping_output_score,mitochondrial_encoded_score,immune_leaning_score
GSM4918377_P3_treated_10d_PBMC_092418_092418_plate1_D8_S252_rep1_NA,treated,196894.0,14711.0,182183.0,0.07471532906030656,0.33140149178756223,-1.3826474781973142,-1.1214880602905253,-1.522816231994019,4.405416795118253
GSM4918402_P3_treated_10d_PBMC_092418_092818_plate1_B9_S258_rep1_NA,treated,244680.0,19238.0,225442.0,0.0786251430439758,0.1582004226469786,-1.1269606864043955,-0.6970359027026364,-1.1916663169542532,4.9233158084022195
GSM4918404_P3_treated_10d_PBMC_092418_092818_plate1_C11_S274_rep1_NA,treated,433804.0,16354.0,417450.0,0.037699053028556674,0.3975957000327271,-0.7894476592639145,-0.6745,-1.3923604588981429,5.382604145117612
GSM4918406_P3_treated_10d_PBMC_092418_092818_plate1_C1_S195_rep1_NA,treated,238162.0,14812.0,223350.0,0.06219296109370932,0.4615438549103172,-0.8843878407350313,-1.5433599901278416,-1.5143711083443665,5.524036664964572
GSM4918407_P3_treated_10d_PBMC_092418_092818_plate1_C2_S203_rep1_NA,treated,769787.0,76686.0,693101.0,0.09961976494796612,1.5068540354159918,-0.0022690625504934274,-0.16667301373464896,0.5152017136786349,6.332943580524567
GSM4918408_P3_treated_10d_PBMC_092418_092818_plate1_C3_S211_rep1_NA,treated,228729.0,15939.0,212790.0,0.06968508584394632,0.8569249350302084,-1.0766418744628539,-0.908644991189667,-1.4238595984146925,5.1135197925083835
GSM4918409_P3_treated_10d_PBMC_092418_092818_plate1_C4_S219_rep1_NA,treated,288715.0,29980.0,258735.0,0.10383942642398213,0.9428760563984383,-0.8066097890738034,-0.7878506434798703,-0.6440728479913752,3.7871217898557084
GSM4918413_P3_treated_10d_PBMC_092418_092818_plate1_C8_S251_rep1_NA,treated,214661.0,8971.0,205690.0,0.04179147586194046,-0.26579039276507094,-2.1757545944302796,-1.1873327272774679,-2.1332764098323778,4.5287586016658
GSM4918416_P3_treated_10d_TALL_011118_plate1_A11_rep_1_NA,treated,1090916.0,38700.0,1052216.0,0.03547477532642293,-0.506615269147282,0.5486233299849895,0.6793984057532539,-0.3289380381092567,-0.6745
GSM4918421_P3_treated_10d_TALL_011118_plate1_A4_rep_1_NA,treated,100259.0,2773.0,97486.0,0.02765836483507715,-2.52816151943818,-1.689021409688816,-1.7919413973718539,-3.582194148806759,0.6745
GSM4918422_P3_treated_10d_TALL_011118_plate1_A5_rep_1_NA,treated,1209931.0,39887.0,1170044.0,0.0329663427087991,0.32693578565920345,0.5099402240373493,0.5825882953738821,-0.2916478275546168,2.5680608949278536
GSM4918423_P3_treated_10d_TALL_011118_plate1_A6_rep_1_NA,treated,1273995.0,36958.0,1237037.0,0.02900953300444664,0.10461970549492079,0.6308175832277191,0.7345846761578851,-0.38578816303305763,4.426232515137114
GSM4918424_P3_treated_10d_TALL_011118_plate1_A7_rep_1_NA,treated,1532737.0,41551.0,1491186.0,0.027109021312854063,0.5267420044045038,0.6892687644107144,0.7770378884354697,-0.24119925819843094,3.7465701804565668
GSM4918425_P3_treated_10d_TALL_011118_plate1_A8_rep_1_NA,treated,978646.0,15883.0,962763.0,0.016229566155688574,0.4412798997020615,0.1004216032420079,0.20546127769536743,-1.4282037658990627,3.526838206739471
GSM4918426_P3_treated_10d_TALL_011118_plate1_A9_rep_1_NA,treated,1213577.0,24656.0,1188921.0,0.020316799016461256,0.13061242740830292,0.4276412448807953,0.6319347889355413,-0.8853945100931905,-0.6745
GSM4918427_P3_treated_10d_TALL_011118_plate1_B10_rep_1_NA,treated,1861809.0,67545.0,1794264.0,0.03627923165050765,1.2742429576140626,0.8098127546791762,1.062350815141335,0.3585322345125738,-0.6745
GSM4918429_P3_treated_10d_TALL_011118_plate1_B12_rep_1_NA,treated,902419.0,13067.0,889352.0,0.014479969947441267,-0.9863396976469724,0.18720425142069513,0.2434538806907647,-1.6690845230527938,2.5326716202092596
GSM4918430_P3_treated_10d_TALL_011118_plate1_B1_rep_1_NA,treated,1749369.0,55196.0,1694173.0,0.03155194815959354,0.2082085273718191,0.7655704482042266,0.8348004084794514,0.10931406736385149,-0.6745
GSM4918431_P3_treated_10d_TALL_011118_plate1_B2_rep_1_NA,treated,1340193.0,45787.0,1294406.0,0.03416448227979105,0.015331045690722297,0.5380619370146403,0.6738986576078123,-0.12166833734546742,-0.6745
GSM4918433_P3_treated_10d_TALL_011118_plate1_B4_rep_1_NA,treated,1163439.0,24776.0,1138663.0,0.021295486914225843,-0.15162396829930344,0.44113033872633495,0.5947130341941458,-0.8794017181940494,-0.6745
GSM4918434_P3_treated_10d_TALL_011118_plate1_B5_rep_1_NA,treated,1901743.0,88045.0,1813698.0,0.046297002276332815,0.06382418130907047,1.0663231920827076,1.1908540822454707,0.6857008063499385,-0.6745
