cell_id,total_counts,detected_genes,mito_counts,mito_fraction,ribo_counts,ribo_fraction,log10_total_counts,log10_detected_genes,state_domain
GSM4916501_ND1_untreated_070218_plate1_A10_S71_rep1_NA,129479.0,1907.0,8454.0,0.06529244124529847,27004.0,0.20855891688999761,5.112199336574226,3.280350693046006,D2
GSM4916502_ND1_untreated_070218_plate1_A11_S79_rep1_NA,996867.0,2692.0,115814.0,0.11617798562897558,177620.0,0.17817823240211583,5.998637219476038,3.430075055551939,D2
GSM4916503_ND1_untreated_070218_plate1_A12_S87_rep1_NA,1363567.0,2158.0,160845.0,0.11795900018114255,261149.0,0.19151900860023746,6.1346764822229405,3.334051440346892,D2
GSM4916504_ND1_untreated_070218_plate1_A1_S1_rep1_NA,565427.0,805.0,94038.0,0.16631324644914375,252753.0,0.44701261170761214,5.752376542871295,2.9057958803678687,D2
GSM4916505_ND1_untreated_070218_plate1_A2_S9_rep1_NA,667540.0,2764.0,78042.0,0.11690984809899033,143070.0,0.21432423525182012,5.824477294394357,3.441538038702161,D2
GSM4916506_ND1_untreated_070218_plate1_A3_S16_rep1_NA,722777.0,2782.0,56760.0,0.07853044576681328,68310.0,0.09451047833564157,5.859004324115773,3.4443571256560275,D2
GSM4916507_ND1_untreated_070218_plate1_A4_S23_rep1_NA,2517334.0,2843.0,274551.0,0.10906419251477953,675467.0,0.2683263325406958,6.400940841584763,3.4537768596904423,D2
GSM4916508_ND1_untreated_070218_plate1_A5_S31_rep1_NA,74.0,62.0,12.0,0.16216216216216217,15.0,0.20270270270270271,1.8692317197309762,1.792391689498254,D1
GSM4916509_ND1_untreated_070218_plate1_A6_S39_rep1_NA,2385608.0,2599.0,401102.0,0.1681340773505119,323563.0,0.13563125207494273,6.37759908249307,3.4148062795010126,D2
GSM4916510_ND1_untreated_070218_plate1_A7_S47_rep1_NA,2273268.0,2749.0,313207.0,0.1377782997869147,402049.0,0.1768594815921396,6.356650638567076,3.4391747398434687,D2
GSM4916511_ND1_untreated_070218_plate1_A8_S55_rep1_NA,1404.0,117.0,4.0,0.002849002849002849,294.0,0.2094017094017094,3.1473671077937864,2.0681858617461617,D1
GSM4916512_ND1_untreated_070218_plate1_A9_S63_rep1_NA,1201401.0,1305.0,83733.0,0.06969612976849528,322994.0,0.26884778687548955,6.079687989101515,3.1156105116742996,D2
GSM4916513_ND1_untreated_070218_plate1_B10_S72_rep1_NA,1095327.0,2193.0,121973.0,0.11135761284073158,132356.0,0.12083697379869208,6.039543793235433,3.341038631677523,D2
GSM4916514_ND1_untreated_070218_plate1_B11_S80_rep1_NA,1393602.0,1881.0,47318.0,0.03395374002046495,431723.0,0.30978930856873055,6.144138760933063,3.274388795550379,D2
