url,score_hint,contains_gpl23976,contains_annotation_hint,contains_downloadish_hint
ftp://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL23nnn/GPL23976/miniml/,6,True,True,True
ftp://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL23nnn/GPL23976/soft/,6,True,True,True
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL23976,4,True,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL23976&targ=self&view=brief&form=text,4,True,False,False
https://www.ncbi.nlm.nih.gov/gds/?term=GPL23976[Accession],3,True,False,False
https://www.ncbi.nlm.nih.gov/geo/browse/?view=samples&platform=23976,3,False,True,False
"javascript:RPopUpWindow_Set(geoaxema_famminiml,260,120,",2,False,False,True
"javascript:RPopUpWindow_Set(geoaxema_famsoft,260,120,",2,False,False,True
https://www.ncbi.nlm.nih.gov/geo,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/info/GEOHandoutFinal.pdf,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/info/MIAME.html,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/info/faq.html,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21145,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103397,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104723,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104724,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106902,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107917,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107946,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110697,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110699,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110995,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110996,1,False,False,False
