file,suffix,size_bytes,mode,read_ok,source_name,n_rows_preview,n_cols_preview,annotation_col_score,candidate_probe_cols,candidate_gene_cols,candidate_feature_cols,candidate_island_cols,candidate_chr_cols,columns_preview,notes
data/raw/annotations/gpl23976_candidate_payloads/00_miniml,,7562,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/01_soft,,598,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/02_acc.cgi,.cgi,164299,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/03_acc.cgi,.cgi,915537,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/04_gds,,120111,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/05_browse,,65604,html_table,True,html_table_0,21.0,10.0,1.0,[],[],[],[],[],"['Accession', 'Title', 'Sample type', 'Organism(s)', 'Ch', 'Platform', 'Series', 'Supplementary', 'Contact', 'Release date']",
data/raw/annotations/gpl23976_candidate_payloads/08_geo,,63272,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/09_geo,,63272,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/100_acc.cgi,.cgi,28320,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/101_acc.cgi,.cgi,48091,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/102_acc.cgi,.cgi,26580,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/103_acc.cgi,.cgi,26514,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/104_acc.cgi,.cgi,84958,html_table,True,html_table_0,3.0,4.0,2.0,['Grant ID'],['Name'],[],[],[],"['Grant ID', 'Grant title', 'Affiliation', 'Name']",
data/raw/annotations/gpl23976_candidate_payloads/105_acc.cgi,.cgi,46435,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/106_acc.cgi,.cgi,24904,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/107_acc.cgi,.cgi,167111,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/108_acc.cgi,.cgi,26342,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/109_acc.cgi,.cgi,34627,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/10_GEOHandoutFinal.pdf,.pdf,277930,,False,,,,,[],[],[],[],[],[],binary_or_non_text
data/raw/annotations/gpl23976_candidate_payloads/110_acc.cgi,.cgi,35256,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/111_acc.cgi,.cgi,149131,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/112_acc.cgi,.cgi,61843,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/113_acc.cgi,.cgi,29477,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/114_acc.cgi,.cgi,98459,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/115_acc.cgi,.cgi,27649,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/116_acc.cgi,.cgi,36554,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/117_acc.cgi,.cgi,52573,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/118_acc.cgi,.cgi,59654,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/119_acc.cgi,.cgi,32136,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/11_MIAME.html,.html,7122,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/120_acc.cgi,.cgi,27536,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/121_acc.cgi,.cgi,40563,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/122_acc.cgi,.cgi,65875,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/123_acc.cgi,.cgi,37853,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/124_acc.cgi,.cgi,39018,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/125_acc.cgi,.cgi,34196,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/126_acc.cgi,.cgi,39616,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/127_acc.cgi,.cgi,28020,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/128_acc.cgi,.cgi,40081,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/129_acc.cgi,.cgi,37629,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/12_disclaimer.html,.html,6230,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/130_acc.cgi,.cgi,34931,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/131_acc.cgi,.cgi,51113,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/132_acc.cgi,.cgi,26951,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/133_acc.cgi,.cgi,32406,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/134_acc.cgi,.cgi,39503,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/135_acc.cgi,.cgi,33017,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/136_acc.cgi,.cgi,43888,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/137_acc.cgi,.cgi,26355,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/138_acc.cgi,.cgi,26102,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/139_acc.cgi,.cgi,35286,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/13_faq.html,.html,44071,html_unparsed,False,,,,,[],[],[],[],[],[],html_detected_but_no_table_parsed
data/raw/annotations/gpl23976_candidate_payloads/140_acc.cgi,.cgi,33253,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/141_acc.cgi,.cgi,22653,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/142_acc.cgi,.cgi,42326,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/143_acc.cgi,.cgi,33523,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/144_acc.cgi,.cgi,50213,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/145_acc.cgi,.cgi,27245,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/146_acc.cgi,.cgi,64392,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/147_acc.cgi,.cgi,26472,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
data/raw/annotations/gpl23976_candidate_payloads/148_acc.cgi,.cgi,25868,html_table,True,html_table_0,1.0,1.0,0.0,[],[],[],[],[],['0'],
