regulatory_feature_name,n,fraction
1:156551641-156552343,2,0.14285714285714285
17:43034671-43034793,1,0.07142857142857142
20:61715683-61715992,1,0.07142857142857142
13:113636766-113636979,1,0.07142857142857142
7:156795856-156796093,1,0.07142857142857142
14:24045445-24045742,1,0.07142857142857142
8:79429493-79429836,1,0.07142857142857142
7:156798906-156799194,1,0.07142857142857142
1:204226882-204228330,1,0.07142857142857142
2:177025621-177025878,1,0.07142857142857142
6:138484632-138484956,1,0.07142857142857142
6:30593987-30595136,1,0.07142857142857142
3:189524416-189524493,1,0.07142857142857142
