ucsc_refgene_name,n,fraction
COL23A1,2,0.017094017094017096
APOD;APOD,2,0.017094017094017096
NR3C1;NR3C1;NR3C1,2,0.017094017094017096
TTC24,2,0.017094017094017096
SYT16,2,0.017094017094017096
CDC42BPG,2,0.017094017094017096
HOXD3,2,0.017094017094017096
JAKMIP3,2,0.017094017094017096
SASH1,2,0.017094017094017096
SLC25A13;SLC25A13;SLC25A13,1,0.008547008547008548
UBE2E2,1,0.008547008547008548
TRPV6,1,0.008547008547008548
MECOM,1,0.008547008547008548
CARD11,1,0.008547008547008548
C9orf130,1,0.008547008547008548
PKIA;PKIA,1,0.008547008547008548
AMH,1,0.008547008547008548
IQCE;IQCE,1,0.008547008547008548
PEBP4,1,0.008547008547008548
IGFL2;IGFL2,1,0.008547008547008548
SDK1;SDK1,1,0.008547008547008548
SIM2;SIM2,1,0.008547008547008548
JPH4;JPH4,1,0.008547008547008548
ZW10,1,0.008547008547008548
TP73,1,0.008547008547008548
ZPLD1,1,0.008547008547008548
COL4A1,1,0.008547008547008548
RNF220,1,0.008547008547008548
ALCAM,1,0.008547008547008548
STMN1;STMN1;STMN1;STMN1,1,0.008547008547008548
KIAA0513,1,0.008547008547008548
CCDC64B,1,0.008547008547008548
RBKS,1,0.008547008547008548
ARHGEF10,1,0.008547008547008548
FAM163A,1,0.008547008547008548
TAAR6,1,0.008547008547008548
ZC3H7A,1,0.008547008547008548
MYADML2,1,0.008547008547008548
KCNIP3,1,0.008547008547008548
TP73;TP73;TP73;TP73,1,0.008547008547008548
SPINK5;SPINK5;SPINK5,1,0.008547008547008548
TP63;TP63;TP63;TP63;TP63;TP63,1,0.008547008547008548
C6orf134,1,0.008547008547008548
KIAA1244,1,0.008547008547008548
SSH1;SSH1;SSH1,1,0.008547008547008548
OR51B6,1,0.008547008547008548
CIT,1,0.008547008547008548
MIR96,1,0.008547008547008548
CREB3L2,1,0.008547008547008548
PLEKHA6,1,0.008547008547008548
IGF1R,1,0.008547008547008548
PROX1,1,0.008547008547008548
SH3PXD2B,1,0.008547008547008548
BRI3BP,1,0.008547008547008548
MNX1;MNX1,1,0.008547008547008548
NOTCH4,1,0.008547008547008548
CLN8,1,0.008547008547008548
COL14A1,1,0.008547008547008548
PAX6;PAX6;PAX6,1,0.008547008547008548
NTM,1,0.008547008547008548
P2RX7,1,0.008547008547008548
ASB5,1,0.008547008547008548
ODZ2,1,0.008547008547008548
GNAT3,1,0.008547008547008548
DPYSL3,1,0.008547008547008548
HTR4;HTR4;HTR4;HTR4;HTR4;HTR4;HTR4,1,0.008547008547008548
TAF8,1,0.008547008547008548
BRUNOL5,1,0.008547008547008548
ZRANB3,1,0.008547008547008548
CPVL;CPVL,1,0.008547008547008548
POLR3B;POLR3B,1,0.008547008547008548
C7orf58;C7orf58,1,0.008547008547008548
TSGA13,1,0.008547008547008548
IL12RB2,1,0.008547008547008548
C10orf47,1,0.008547008547008548
PHACTR2;PHACTR2;PHACTR2;PHACTR2,1,0.008547008547008548
LOC728606,1,0.008547008547008548
TIGD6,1,0.008547008547008548
FHIT;FHIT,1,0.008547008547008548
C6orf191;C6orf191,1,0.008547008547008548
LIPE;LIPE,1,0.008547008547008548
THSD4,1,0.008547008547008548
LOC146336,1,0.008547008547008548
BOLL;BOLL,1,0.008547008547008548
MUC13,1,0.008547008547008548
WWTR1,1,0.008547008547008548
CRMP1;CRMP1,1,0.008547008547008548
PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,1,0.008547008547008548
DIP2C,1,0.008547008547008548
PPP4R4,1,0.008547008547008548
CRISPLD2,1,0.008547008547008548
DTL,1,0.008547008547008548
FOXP1;FOXP1,1,0.008547008547008548
ZACN,1,0.008547008547008548
TOM1L1,1,0.008547008547008548
CAMK4,1,0.008547008547008548
CACNA1D;CACNA1D;CACNA1D,1,0.008547008547008548
C6orf191,1,0.008547008547008548
RIMKLA,1,0.008547008547008548
RASSF8;RASSF8;RASSF8,1,0.008547008547008548
NEK7,1,0.008547008547008548
C4orf52,1,0.008547008547008548
SYNPO2;SYNPO2;SYNPO2,1,0.008547008547008548
RNF144A,1,0.008547008547008548
MCF2L;MCF2L,1,0.008547008547008548
LOC402644,1,0.008547008547008548
OR51B4,1,0.008547008547008548
TRIO,1,0.008547008547008548
