gene_token,n_probes
SIM2,18
PTCH1,7
PRKAR1B,6
HGF,5
TP73,5
APOD,4
PHACTR2,4
STMN1,4
TBX5,4
TPO,4
C6ORF191,3
MAD1L1,3
PAX6,3
PTPRN2,3
RASSF8,3
BOLL,2
C7ORF58,2
COL4A1,2
CPVL,2
CRMP1,2
FHIT,2
ISL2,2
JPH4,2
KIF25,2
KIRREL3,2
LIPE,2
MCC,2
MCF2L,2
MNX1,2
PKIA,2
PNMAL1,2
POLR3B,2
PPBPL2,2
SSPN,2
SYT16,2
TTC24,2
WWP2,2
ADCY9,1
AMH,1
ASB5,1
BTNL3,1
C6ORF134,1
C7ORF10,1
C9ORF130,1
CDC42BPG,1
CHD5,1
CIT,1
CRISPLD2,1
DIP2C,1
DPYSL3,1
DTL,1
GABRA4,1
HEATR7B2,1
HOXD3,1
IL12RB2,1
INSL5,1
KIAA0513,1
LOC146336,1
LOC152225,1
LOC154822,1
LOC402644,1
LOC728606,1
MECOM,1
MEGF6,1
MGC26647,1
MYADML2,1
MYOM2,1
NEK7,1
NOTCH4,1
NTM,1
NXN,1
OBP2A,1
ODZ2,1
OR51B4,1
OR51B6,1
P2RX7,1
PLAC1L,1
PLD5,1
PLEKHA6,1
SASH1,1
SH3BP4,1
SH3PXD2B,1
SLC1A6,1
SNTG2,1
SPRED2,1
SPRR2C,1
SULT1E1,1
TAF8,1
TBC1D16,1
THSD4,1
TIGD6,1
TOM1L1,1
TRIO,1
TSGA13,1
UBE2E2,1
UNC5D,1
WSCD2,1
ZACN,1
ZNF804B,1
ZPLD1,1
ZRANB3,1
ZW10,1
