refgene_group,n,fraction
Body,44,0.37606837606837606
Body;Body,19,0.1623931623931624
TSS1500,13,0.1111111111111111
3'UTR,8,0.06837606837606838
TSS200,5,0.042735042735042736
5'UTR,4,0.03418803418803419
Body;Body;Body;Body,4,0.03418803418803419
Body;Body;Body,3,0.02564102564102564
1stExon;5'UTR,3,0.02564102564102564
3'UTR;3'UTR,3,0.02564102564102564
5'UTR;5'UTR,2,0.017094017094017096
3'UTR;3'UTR;3'UTR;3'UTR,1,0.008547008547008548
5'UTR;1stExon,1,0.008547008547008548
Body;Body;Body;Body;Body;Body,1,0.008547008547008548
1stExon,1,0.008547008547008548
3'UTR;Body;Body;Body;Body,1,0.008547008547008548
Body;Body;Body;Body;Body;Body;Body,1,0.008547008547008548
TSS1500;TSS1500,1,0.008547008547008548
Body;TSS200,1,0.008547008547008548
5'UTR;5'UTR;5'UTR,1,0.008547008547008548
