gene_token,n_probes
SIM2,20
NR3C1,7
BTNL8,6
MAPT,6
HGF,5
ANXA2,4
ISL2,4
PHACTR2,4
SLC8A3,4
TPO,4
GRIN2A,3
IRF6,3
MAD1L1,3
PAX6,3
POM121L12,3
PPARG,3
PTPRN2,3
AGAP3,2
ANXA7,2
CPVL,2
CSN1S1,2
CYP4B1,2
DIP2C,2
FHIT,2
JPH4,2
KCND2,2
KIF25,2
KIRREL3,2
LIPE,2
MCC,2
MIDN,2
NELL1,2
PNMAL1,2
PPBPL2,2
SBNO2,2
SLC1A6,2
SLC22A18,2
SMOC2,2
WWP2,2
ADARB2,1
ANKH,1
ARPM1,1
ARPP-21,1
BTNL3,1
C7ORF10,1
C9ORF130,1
CDC42BPG,1
CHD5,1
COL4A1,1
COX7B2,1
CSN2,1
CYP2C9,1
DPYSL3,1
FPR3,1
FRK,1
GABRA4,1
HAND2,1
HEATR7B2,1
HLA-A,1
HLA-DRB1,1
HOXA9,1
HRNBP3,1
IKZF1,1
LOC100128977,1
LOC100130148,1
LOC100130872,1
LOC100130872-SPON2,1
LOC154822,1
LOC646999,1
MEGF6,1
MIXL1,1
MYADML2,1
MYO3A,1
MYOM2,1
NBLA00301,1
NEU2,1
NPR3,1
NTM,1
OBP2A,1
OR10K2,1
OR2W1,1
OR51B6,1
OR52E4,1
PITX1,1
PLAC1L,1
PLD6,1
PLEKHA6,1
PROX1,1
S100A14,1
SH3BP4,1
SH3PXD2B,1
SLC22A18AS,1
SLC6A18,1
SPRED2,1
SPRR2C,1
SULT1E1,1
SYT16,1
TSGA13,1
TXNRD1,1
WDR69,1
WIT1,1
WSCD2,1
ZACN,1
ZC3H12D,1
ZPLD1,1
ZW10,1
