refgene_group,n,fraction
Body,33,0.2773109243697479
Body;Body,18,0.15126050420168066
TSS1500,13,0.1092436974789916
TSS200,11,0.09243697478991597
3'UTR,10,0.08403361344537816
5'UTR,5,0.04201680672268908
Body;Body;Body,4,0.03361344537815126
5'UTR;5'UTR,3,0.025210084033613446
3'UTR;3'UTR,2,0.01680672268907563
1stExon,2,0.01680672268907563
1stExon;5'UTR,2,0.01680672268907563
Body;Body;Body;Body;Body;Body;Body,1,0.008403361344537815
Body;Body;TSS1500,1,0.008403361344537815
3'UTR;3'UTR;3'UTR;3'UTR,1,0.008403361344537815
5'UTR;5'UTR;TSS1500;Body;5'UTR;5'UTR;5'UTR;5'UTR,1,0.008403361344537815
TSS1500;TSS200;TSS200,1,0.008403361344537815
TSS200;Body,1,0.008403361344537815
5'UTR;1stExon,1,0.008403361344537815
TSS1500;TSS1500,1,0.008403361344537815
5'UTR;5'UTR;5'UTR;5'UTR,1,0.008403361344537815
5'UTR;5'UTR;Body;5'UTR,1,0.008403361344537815
Body;TSS1500,1,0.008403361344537815
3'UTR;1stExon,1,0.008403361344537815
3'UTR;Body;Body;Body;Body,1,0.008403361344537815
3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,1,0.008403361344537815
Body;Body;Body;Body,1,0.008403361344537815
Body;TSS200,1,0.008403361344537815
