ucsc_refgene_accession,n,fraction
NM_009586;NM_005069,10,0.08403361344537816
NM_145805,4,0.03361344537815126
NM_005071,2,0.01680672268907563
NR_026769,2,0.01680672268907563
NM_177401,2,0.01680672268907563
NM_014974,2,0.01680672268907563
NM_054027,1,0.008403361344537815
NM_181784,1,0.008403361344537815
NM_001136015;NM_004039;NM_001002858;NM_001002857,1,0.008403361344537815
NM_001048209,1,0.008403361344537815
NM_031944,1,0.008403361344537815
NM_003550;NM_001013837;NM_001013836,1,0.008403361344537815
NM_002847;NM_130842;NM_130843,1,0.008403361344537815
NM_001387,1,0.008403361344537815
NM_001005165,1,0.008403361344537815
NM_182595,1,0.008403361344537815
NM_006157;NM_201551,1,0.008403361344537815
NR_003679;NM_021973,1,0.008403361344537815
NM_002763,1,0.008403361344537815
NM_000908,1,0.008403361344537815
NM_030903,1,0.008403361344537815
NM_182595;NM_182595,1,0.008403361344537815
NM_152739,1,0.008403361344537815
NM_015557,1,0.008403361344537815
NM_006147,1,0.008403361344537815
NM_018702,1,0.008403361344537815
NM_016300,1,0.008403361344537815
NM_001004476,1,0.008403361344537815
NM_012281;NM_012281,1,0.008403361344537815
NM_052933,1,0.008403361344537815
NM_032487,1,0.008403361344537815
NM_014935,1,0.008403361344537815
NM_031914,1,0.008403361344537815
NM_138711;NM_005037;NM_138712,1,0.008403361344537815
NM_001018076;NM_000176;NM_001024094;NM_001020825;NM_001018075;NM_001018077;NM_001018074,1,0.008403361344537815
NM_001166243;NM_002012,1,0.008403361344537815
NM_002124,1,0.008403361344537815
NM_001093771,1,0.008403361344537815
NM_183233;NM_002555;NM_007105,1,0.008403361344537815
NM_031311;NM_019029,1,0.008403361344537815
NM_207360,1,0.008403361344537815
NM_001123067;NM_016835;NR_024559;NR_024560;NM_016834;NM_016841;NM_005910;NM_001123066,1,0.008403361344537815
NM_001845,1,0.008403361344537815
NR_024390,1,0.008403361344537815
NM_000779;NM_001099772,1,0.008403361344537815
NM_002030,1,0.008403361344537815
NR_033182;NR_024569,1,0.008403361344537815
NM_006147;NM_006147,1,0.008403361344537815
NM_001145113,1,0.008403361344537815
NM_175056,1,0.008403361344537815
NM_005383,1,0.008403361344537815
NM_014721;NM_001100166;NM_001100164;NM_001100165,1,0.008403361344537815
NM_182932;NM_058240;NM_183002;NM_033262,1,0.008403361344537815
NM_001017995,1,0.008403361344537815
NM_005355;NM_030615,1,0.008403361344537815
NM_178821,1,0.008403361344537815
NM_024728,1,0.008403361344537815
NM_001082575,1,0.008403361344537815
NM_180990,1,0.008403361344537815
NM_197975,1,0.008403361344537815
NM_000809,1,0.008403361344537815
NM_005420,1,0.008403361344537815
NM_004034;NM_001156,1,0.008403361344537815
NM_199424;NM_007014,1,0.008403361344537815
NM_173801,1,0.008403361344537815
NM_130902,1,0.008403361344537815
NM_173489,1,0.008403361344537815
NM_000771,1,0.008403361344537815
NM_020672,1,0.008403361344537815
NM_014521,1,0.008403361344537815
NM_004724,1,0.008403361344537815
NM_001134407;NM_000833;NM_001134408,1,0.008403361344537815
NM_175719;NM_000547;NM_175721;NM_175722,1,0.008403361344537815
NM_001890;NM_001025104,1,0.008403361344537815
NM_006060,1,0.008403361344537815
NM_002653,1,0.008403361344537815
NM_001409,1,0.008403361344537815
NM_014653,1,0.008403361344537815
NM_017433,1,0.008403361344537815
NM_022138;NM_001166412,1,0.008403361344537815
NM_017525,1,0.008403361344537815
NR_024394,1,0.008403361344537815
NR_003062,1,0.008403361344537815
NM_002031,1,0.008403361344537815
NR_023920,1,0.008403361344537815
NM_001004750,1,0.008403361344537815
NM_001010934;NM_001010933;NM_000601;NM_001010931;NM_001010932,1,0.008403361344537815
NM_001891,1,0.008403361344537815
NM_018215;NM_001103149,1,0.008403361344537815
NM_001604;NM_001127612;NM_000280,1,0.008403361344537815
NM_002387;NM_001085377,1,0.008403361344537815
NM_001159707;NM_001159710;NM_024850;NM_001040462;NM_001159708;NM_001159709,1,0.008403361344537815
NM_182632,1,0.008403361344537815
NM_001161707;NM_032531,1,0.008403361344537815
NM_005357;NM_005357,1,0.008403361344537815
NM_001042535;NM_031946,1,0.008403361344537815
NM_002116,1,0.008403361344537815
NM_003970,1,0.008403361344537815
NR_023390,1,0.008403361344537815
NM_178836,1,0.008403361344537815
NM_014582,1,0.008403361344537815
NM_001146028;NM_032452,1,0.008403361344537815
NM_014963;NM_001100122,1,0.008403361344537815
