refgene_group,n,fraction
Body,26,0.41935483870967744
Body;Body,10,0.16129032258064516
5'UTR,5,0.08064516129032258
3'UTR,4,0.06451612903225806
TSS1500,4,0.06451612903225806
1stExon,3,0.04838709677419355
5'UTR;5'UTR,2,0.03225806451612903
TSS1500;TSS1500;TSS1500,2,0.03225806451612903
Body;Body;Body;Body;Body;Body;Body,1,0.016129032258064516
TSS200,1,0.016129032258064516
1stExon;5'UTR,1,0.016129032258064516
Body;Body;Body,1,0.016129032258064516
Body;Body;Body;Body,1,0.016129032258064516
3'UTR;3'UTR,1,0.016129032258064516
