ucsc_refgene_accession,n,fraction
NM_022114;NM_199454,3,0.04838709677419355
NM_000834,2,0.03225806451612903
NM_031914,2,0.03225806451612903
NM_032415,2,0.03225806451612903
NM_017525,2,0.03225806451612903
NM_001018074;NM_001018075;NM_001018077,2,0.03225806451612903
NM_001647;NM_001647,1,0.016129032258064516
NM_183377;NM_001094,1,0.016129032258064516
NM_001103175,1,0.016129032258064516
NM_024909,1,0.016129032258064516
NM_001105533;NM_024913,1,0.016129032258064516
NM_031311;NM_019029,1,0.016129032258064516
NM_001112732;NM_024979,1,0.016129032258064516
NM_001082575,1,0.016129032258064516
NM_002847;NM_130842;NM_130843,1,0.016129032258064516
NM_194071,1,0.016129032258064516
NM_032682;NM_001012505,1,0.016129032258064516
NM_009586;NM_005069,1,0.016129032258064516
NM_001102386,1,0.016129032258064516
NM_001017995,1,0.016129032258064516
NM_001126240;NM_005427;NM_001126242;NM_001126241,1,0.016129032258064516
NM_000060,1,0.016129032258064516
NM_001105669,1,0.016129032258064516
NM_153214;NM_001128165,1,0.016129032258064516
NM_018150,1,0.016129032258064516
NM_006037,1,0.016129032258064516
NM_015278,1,0.016129032258064516
NR_026769,1,0.016129032258064516
NM_001025100;NM_001025101,1,0.016129032258064516
NM_005427,1,0.016129032258064516
NR_024259,1,0.016129032258064516
NM_001116,1,0.016129032258064516
NM_022773,1,0.016129032258064516
NM_001166243;NM_002012,1,0.016129032258064516
NM_000815,1,0.016129032258064516
NM_001559,1,0.016129032258064516
NM_080874,1,0.016129032258064516
NM_006504,1,0.016129032258064516
NM_052933,1,0.016129032258064516
NM_175067,1,0.016129032258064516
NM_031476,1,0.016129032258064516
NM_001083606;NM_000264;NM_001083605;NM_001083602;NM_001083607;NM_001083603;NM_001083604,1,0.016129032258064516
NM_173628,1,0.016129032258064516
NM_003592,1,0.016129032258064516
NM_032826,1,0.016129032258064516
NM_080626,1,0.016129032258064516
NM_005071,1,0.016129032258064516
NM_006651,1,0.016129032258064516
NM_004535,1,0.016129032258064516
NM_001168278,1,0.016129032258064516
NM_000875,1,0.016129032258064516
NM_001048209,1,0.016129032258064516
NM_014629,1,0.016129032258064516
NM_152653,1,0.016129032258064516
NM_005086;NM_001135823,1,0.016129032258064516
