candidate_gene,n_probes,directions,best_abs_delta_median,min_q_value_bh,status
PAX6,1,lower_in_a,0.2470137970417755,0.2510057321425517,detected_in_directional_table
ASCL1,0,,,,not_detected_in_directional_table
BMP4,0,,,,not_detected_in_directional_table
GLI1,0,,,,not_detected_in_directional_table
GLI2,0,,,,not_detected_in_directional_table
GLI3,0,,,,not_detected_in_directional_table
MYCN,0,,,,not_detected_in_directional_table
OLIG2,0,,,,not_detected_in_directional_table
PTCH1,0,,,,not_detected_in_directional_table
SHH,0,,,,not_detected_in_directional_table
SOX2,0,,,,not_detected_in_directional_table
