direction,chromosome_arm,n
higher_in_a,10p,6
higher_in_a,10q,6
higher_in_a,11p,6
higher_in_a,11q,6
higher_in_a,12p,1
higher_in_a,12q,6
higher_in_a,13q,2
higher_in_a,14q,3
higher_in_a,15q,2
higher_in_a,16p,2
higher_in_a,16q,2
higher_in_a,17p,2
higher_in_a,17q,5
higher_in_a,18q,1
higher_in_a,19p,4
higher_in_a,19q,3
higher_in_a,1p,3
higher_in_a,1q,8
higher_in_a,20q,1
higher_in_a,2p,2
higher_in_a,2q,5
higher_in_a,3p,2
higher_in_a,3q,1
higher_in_a,4p,4
higher_in_a,4q,14
higher_in_a,5p,8
higher_in_a,5q,8
higher_in_a,6p,7
higher_in_a,6q,7
higher_in_a,7p,14
higher_in_a,7q,7
higher_in_a,8p,3
higher_in_a,8q,3
higher_in_a,9q,2
lower_in_a,11p,2
lower_in_a,12q,2
lower_in_a,14q,1
lower_in_a,15q,5
lower_in_a,16q,1
lower_in_a,17q,1
lower_in_a,19p,1
lower_in_a,1p,1
lower_in_a,1q,3
lower_in_a,21q,11
lower_in_a,2q,3
lower_in_a,3p,1
lower_in_a,3q,4
lower_in_a,4p,1
lower_in_a,4q,3
lower_in_a,5q,2
lower_in_a,7p,2
