direction,chromosome_arm,flag_n,background_n,in_arm_and_flag,in_arm_and_background,outside_arm_and_flag,outside_arm_and_background,frac_flag_in_arm,frac_background_in_arm,fisher_odds_ratio,fisher_p_value,rank_by_p_value
higher_in_a,7p,156,4844,14,155,142,4689,0.08974358974358974,0.03199834847233691,2.9825533848250796,0.0007172952101899559,1
higher_in_a,4q,156,4844,14,179,142,4665,0.08974358974358974,0.03695293146160198,2.5694389802502164,0.002582568132485494,2
higher_in_a,1p,156,4844,3,267,153,4577,0.019230769230769232,0.055119735755573905,0.3361239626936917,0.047257357000604856,3
higher_in_a,11q,156,4844,6,85,150,4759,0.038461538461538464,0.01754748142031379,2.239529411764706,0.06373220658602223,4
higher_in_a,5p,156,4844,8,129,148,4715,0.05128205128205128,0.026630883567299753,1.9756966268594176,0.07560966225855414,5
higher_in_a,3q,156,4844,1,146,155,4698,0.00641025641025641,0.03014037985136251,0.2076005302695537,0.09122243408169473,6
higher_in_a,10p,156,4844,6,94,150,4750,0.038461538461538464,0.019405450041288193,2.021276595744681,0.13183916338262563,7
higher_in_a,11p,156,4844,6,98,150,4746,0.038461538461538464,0.02023121387283237,1.937142857142857,0.14086478308658074,8
higher_in_a,2q,156,4844,5,290,151,4554,0.03205128205128205,0.05986787778695293,0.5199817309888102,0.1683776251248964,9
higher_in_a,1q,156,4844,8,157,148,4687,0.05128205128205128,0.032411230388109,1.6137028748493716,0.17433000589301328,10
higher_in_a,6q,156,4844,7,138,149,4706,0.04487179487179487,0.028488852188274155,1.60208150958078,0.22086086720027837,11
higher_in_a,2p,156,4844,2,151,154,4693,0.01282051282051282,0.031172584640792735,0.4036294830996818,0.24094732561186216,12
higher_in_a,15q,156,4844,2,159,154,4685,0.01282051282051282,0.03282411230388109,0.3826676468185902,0.24376165372475184,13
higher_in_a,4p,156,4844,4,72,152,4772,0.02564102564102564,0.01486374896779521,1.7441520467836258,0.3003633913458372,14
higher_in_a,19p,156,4844,4,73,152,4771,0.02564102564102564,0.015070189925681255,1.7198990627253063,0.30418172596820225,15
higher_in_a,20p,156,4844,0,46,156,4798,0.0,0.009496284062758051,0.0,0.4032796872498145,16
higher_in_a,21q,156,4844,0,48,156,4796,0.0,0.00990916597853014,0.0,0.40465800654167416,17
higher_in_a,22q,156,4844,0,56,156,4788,0.0,0.011560693641618497,0.0,0.42154227019270774,18
higher_in_a,13q,156,4844,2,135,154,4709,0.01282051282051282,0.02786952931461602,0.453006253006253,0.44743085251189496,19
higher_in_a,14q,156,4844,3,154,153,4690,0.019230769230769232,0.031791907514450865,0.5971479500891266,0.4887409809952222,20
higher_in_a,7q,156,4844,7,171,149,4673,0.04487179487179487,0.035301403798513625,1.2838415950390518,0.5060347443544535,21
higher_in_a,8p,156,4844,3,72,153,4772,0.019230769230769232,0.01486374896779521,1.2995642701525054,0.5077184689525903,22
higher_in_a,10q,156,4844,6,255,150,4589,0.038461538461538464,0.05264244426094137,0.719843137254902,0.5818931227451143,23
higher_in_a,9q,156,4844,2,55,154,4789,0.01282051282051282,0.011354252683732453,1.130814639905549,0.6982190562313428,24
higher_in_a,18q,156,4844,1,69,155,4775,0.00641025641025641,0.014244426094137078,0.44647031323048153,0.7259024558889741,25
higher_in_a,16q,156,4844,2,99,154,4745,0.01282051282051282,0.020437654830718414,0.622458349731077,0.771229886739855,26
higher_in_a,3p,156,4844,2,100,154,4744,0.01282051282051282,0.02064409578860446,0.6161038961038962,0.7716586529340559,27
