direction,chromosome_arm,flag_n,background_n,in_arm_and_flag,in_arm_and_background,outside_arm_and_flag,outside_arm_and_background,frac_flag_in_arm,frac_background_in_arm,fisher_odds_ratio,fisher_p_value,rank_by_p_value
lower_in_a,21q,44,4956,11,37,33,4919,0.25,0.007465698143664245,44.31531531531532,1.1430409139090615e-13,1
lower_in_a,15q,44,4956,5,156,39,4800,0.11363636363636363,0.031476997578692496,3.9447731755424065,0.012814893668535875,2
lower_in_a,3q,44,4956,4,143,40,4813,0.09090909090909091,0.028853914447134785,3.365734265734266,0.03920991796408621,3
lower_in_a,6p,44,4956,0,259,44,4697,0.0,0.052259887005649715,0.0,0.17045081442444115,4
lower_in_a,10q,44,4956,0,261,44,4695,0.0,0.0526634382566586,0.0,0.17066469735853115,5
lower_in_a,1q,44,4956,3,162,41,4794,0.06818181818181818,0.03268765133171913,2.165311653116531,0.17624436711544436,6
lower_in_a,11p,44,4956,2,102,42,4854,0.045454545454545456,0.020581113801452784,2.2661064425770308,0.23256527345604078,7
lower_in_a,4q,44,4956,3,190,41,4766,0.06818181818181818,0.03833736884584342,1.8354300385109115,0.24032655791481702,8
lower_in_a,7q,44,4956,0,178,44,4778,0.0,0.035916061339790153,0.0,0.40688487130809503,9
lower_in_a,4p,44,4956,1,75,43,4881,0.022727272727272728,0.01513317191283293,1.5134883720930232,0.4917960265326733,10
lower_in_a,19p,44,4956,1,76,43,4880,0.022727272727272728,0.01533494753833737,1.4932680538555692,0.4963372480665,11
lower_in_a,16q,44,4956,1,100,43,4856,0.022727272727272728,0.020177562550443905,1.1293023255813954,0.5941709518044761,12
lower_in_a,3p,44,4956,1,101,43,4855,0.022727272727272728,0.020379338175948346,1.1178908588533272,0.5978158748746132,13
lower_in_a,19q,44,4956,0,111,44,4845,0.0,0.022397094430992737,0.0,0.626305141945152,14
lower_in_a,8q,44,4956,0,118,44,4838,0.0,0.023809523809523808,0.0,0.6265751708646425,15
lower_in_a,13q,44,4956,0,137,44,4819,0.0,0.027643260694108152,0.0,0.6336422985093861,16
lower_in_a,5p,44,4956,0,137,44,4819,0.0,0.027643260694108152,0.0,0.6336422985093861,17
lower_in_a,6q,44,4956,0,145,44,4811,0.0,0.029257465698143664,0.0,0.6388625068465357,18
lower_in_a,2p,44,4956,0,153,44,4803,0.0,0.030871670702179176,0.0,0.6451337656839362,19
lower_in_a,7p,44,4956,2,167,42,4789,0.045454545454545456,0.03369652945924132,1.3655546050755631,0.6601845122457686,20
lower_in_a,1p,44,4956,1,269,43,4687,0.022727272727272728,0.054277643260694106,0.4052044609665427,0.7310843512151419,21
lower_in_a,2q,44,4956,3,292,41,4664,0.06818181818181818,0.058918482647296204,1.1687270297360508,0.7432069311743916,22
lower_in_a,10p,44,4956,0,100,44,4856,0.0,0.020177562550443905,0.0,1.0,23
lower_in_a,11q,44,4956,0,91,44,4865,0.0,0.018361581920903956,0.0,1.0,24
lower_in_a,12p,44,4956,0,46,44,4910,0.0,0.009281678773204197,0.0,1.0,25
lower_in_a,12q,44,4956,2,226,42,4730,0.045454545454545456,0.045601291364003226,0.9966287399915719,1.0,26
lower_in_a,14q,44,4956,1,156,43,4800,0.022727272727272728,0.031476997578692496,0.7155635062611807,1.0,27
lower_in_a,16p,44,4956,0,63,44,4893,0.0,0.012711864406779662,0.0,1.0,28
lower_in_a,17p,44,4956,0,66,44,4890,0.0,0.013317191283292978,0.0,1.0,29
lower_in_a,17q,44,4956,1,191,43,4765,0.022727272727272728,0.03853914447134786,0.5801777669548277,1.0,30
lower_in_a,18p,44,4956,0,25,44,4931,0.0,0.005044390637610976,0.0,1.0,31
lower_in_a,18q,44,4956,0,70,44,4886,0.0,0.014124293785310734,0.0,1.0,32
lower_in_a,20p,44,4956,0,46,44,4910,0.0,0.009281678773204197,0.0,1.0,33
lower_in_a,20q,44,4956,0,52,44,4904,0.0,0.010492332526230832,0.0,1.0,34
lower_in_a,22q,44,4956,0,56,44,4900,0.0,0.011299435028248588,0.0,1.0,35
lower_in_a,5q,44,4956,2,256,42,4700,0.045454545454545456,0.0516545601291364,0.8742559523809523,1.0,36
lower_in_a,8p,44,4956,0,75,44,4881,0.0,0.01513317191283293,0.0,1.0,37
lower_in_a,9p,44,4956,0,11,44,4945,0.0,0.00221953188054883,0.0,1.0,38
lower_in_a,9q,44,4956,0,57,44,4899,0.0,0.011501210653753027,0.0,1.0,39
