chromosome,flag_n,background_n,in_chr_and_flag,in_chr_and_background,outside_chr_and_flag,outside_chr_and_background,frac_flag_in_chr,frac_background_in_chr,fisher_odds_ratio,fisher_p_value,rank_by_p_value
21,156,44,0,11,156,33,0.0,0.25,0.0,1.9777038242415904e-08,1.0
15,156,44,2,5,154,39,0.01282051282051282,0.11363636363636363,0.1012987012987013,0.006247818665656454,2.0
3,156,44,3,5,153,39,0.019230769230769232,0.11363636363636363,0.15294117647058825,0.013893129058336931,3.0
6,156,44,14,0,142,44,0.08974358974358974,0.0,inf,0.04280652686060541,4.0
10,156,44,12,0,144,44,0.07692307692307693,0.0,inf,0.07229441185588706,5.0
7,156,44,21,2,135,42,0.1346153846153846,0.045454545454545456,3.2666666666666666,0.11602987793411035,6.0
8,156,44,6,0,150,44,0.038461538461538464,0.0,inf,0.3421837978871879,7.0
5,156,44,16,2,140,42,0.10256410256410256,0.045454545454545456,2.4,0.37233399126249045,8.0
2,156,44,7,3,149,41,0.04487179487179487,0.06818181818181818,0.6420581655480985,0.4609722929996836,9.0
17,156,44,7,1,149,43,0.04487179487179487,0.022727272727272728,2.0201342281879193,0.6881800219242886,10.0
19,156,44,7,1,149,43,0.04487179487179487,0.022727272727272728,2.0201342281879193,0.6881800219242886,10.0
11,156,44,12,2,144,42,0.07692307692307693,0.045454545454545456,1.75,0.7389302484343576,12.0
1,156,44,11,4,145,40,0.07051282051282051,0.09090909090909091,0.7586206896551724,0.7455973523049853,13.0
4,156,44,18,4,138,40,0.11538461538461539,0.09090909090909091,1.3043478260869565,0.7891911729959233,14.0
12,156,44,7,2,149,42,0.04487179487179487,0.045454545454545456,0.9865771812080537,1.0,15.0
13,156,44,2,0,154,44,0.01282051282051282,0.0,inf,1.0,15.0
14,156,44,3,1,153,43,0.019230769230769232,0.022727272727272728,0.8431372549019608,1.0,15.0
16,156,44,4,1,152,43,0.02564102564102564,0.022727272727272728,1.131578947368421,1.0,15.0
18,156,44,1,0,155,44,0.00641025641025641,0.0,inf,1.0,15.0
20,156,44,1,0,155,44,0.00641025641025641,0.0,inf,1.0,15.0
9,156,44,2,0,154,44,0.01282051282051282,0.0,inf,1.0,15.0
