chromosome,flag_n,background_n,in_chr_and_flag,in_chr_and_background,outside_chr_and_flag,outside_chr_and_background,frac_flag_in_chr,frac_background_in_chr,fisher_odds_ratio,fisher_p_value,rank_by_p_value
21,44,156,11,0,33,156,0.25,0.0,inf,1.9777038242415904e-08,1.0
15,44,156,5,2,39,154,0.11363636363636363,0.01282051282051282,9.871794871794872,0.006247818665656454,2.0
3,44,156,5,3,39,153,0.11363636363636363,0.019230769230769232,6.538461538461538,0.013893129058336931,3.0
6,44,156,0,14,44,142,0.0,0.08974358974358974,0.0,0.04280652686060541,4.0
10,44,156,0,12,44,144,0.0,0.07692307692307693,0.0,0.07229441185588706,5.0
7,44,156,2,21,42,135,0.045454545454545456,0.1346153846153846,0.30612244897959184,0.11602987793411035,6.0
8,44,156,0,6,44,150,0.0,0.038461538461538464,0.0,0.3421837978871879,7.0
5,44,156,2,16,42,140,0.045454545454545456,0.10256410256410256,0.4166666666666667,0.37233399126249045,8.0
2,44,156,3,7,41,149,0.06818181818181818,0.04487179487179487,1.5574912891986064,0.4609722929996836,9.0
17,44,156,1,7,43,149,0.022727272727272728,0.04487179487179487,0.4950166112956811,0.6881800219242886,10.0
19,44,156,1,7,43,149,0.022727272727272728,0.04487179487179487,0.4950166112956811,0.6881800219242886,10.0
11,44,156,2,12,42,144,0.045454545454545456,0.07692307692307693,0.5714285714285714,0.7389302484343576,12.0
1,44,156,4,11,40,145,0.09090909090909091,0.07051282051282051,1.3181818181818181,0.7455973523049853,13.0
4,44,156,4,18,40,138,0.09090909090909091,0.11538461538461539,0.7666666666666667,0.7891911729959233,14.0
12,44,156,2,7,42,149,0.045454545454545456,0.04487179487179487,1.0136054421768708,1.0,15.0
13,44,156,0,2,44,154,0.0,0.01282051282051282,0.0,1.0,15.0
14,44,156,1,3,43,153,0.022727272727272728,0.019230769230769232,1.186046511627907,1.0,15.0
16,44,156,1,4,43,152,0.022727272727272728,0.02564102564102564,0.8837209302325582,1.0,15.0
18,44,156,0,1,44,155,0.0,0.00641025641025641,0.0,1.0,15.0
20,44,156,0,1,44,155,0.0,0.00641025641025641,0.0,1.0,15.0
9,44,156,0,2,44,154,0.0,0.01282051282051282,0.0,1.0,15.0
