direction,chromosome,flag_n,background_n,in_chr_and_flag,in_chr_and_background,outside_chr_and_flag,outside_chr_and_background,frac_flag_in_chr,frac_background_in_chr,fisher_odds_ratio,fisher_p_value,rank_by_p_value
lower_in_a,21,44,4956,11,37,33,4919,0.25,0.007465698143664245,44.31531531531532,1.1430409139090615e-13,1
lower_in_a,15,44,4956,5,156,39,4800,0.11363636363636363,0.031476997578692496,3.9447731755424065,0.012814893668535875,2
lower_in_a,6,44,4956,0,404,44,4552,0.0,0.08151735270379339,0.0,0.04683683284032507,3
lower_in_a,3,44,4956,5,244,39,4712,0.11363636363636363,0.04923325262308313,2.4758301807482135,0.06571035154588964,4
lower_in_a,10,44,4956,0,361,44,4595,0.0,0.0728410008071025,0.0,0.07277321219120354,5
lower_in_a,4,44,4956,4,265,40,4691,0.09090909090909091,0.053470540758676355,1.770188679245283,0.29687495082428583,6
lower_in_a,8,44,4956,0,193,44,4763,0.0,0.038942695722356736,0.0,0.41590148044487973,7
lower_in_a,5,44,4956,2,393,42,4563,0.045454545454545456,0.07929782082324455,0.5528898582333697,0.5780269884248392,8
lower_in_a,13,44,4956,0,137,44,4819,0.0,0.027643260694108152,0.0,0.6336422985093861,9
lower_in_a,11,44,4956,2,193,42,4763,0.045454545454545456,0.038942695722356736,1.1751788798420923,0.6894207290046779,10
lower_in_a,17,44,4956,1,257,43,4699,0.022727272727272728,0.05185633575464084,0.4252103882001629,0.7268059323798818,11
lower_in_a,7,44,4956,2,345,42,4611,0.045454545454545456,0.06961259079903148,0.6364389233954452,0.7670473067548269,12
lower_in_a,1,44,4956,4,431,40,4525,0.09090909090909091,0.08696529459241324,1.0498839907192576,0.7905681345382505,13
lower_in_a,2,44,4956,3,445,41,4511,0.06818181818181818,0.08979015334947538,0.7417374623184434,0.7943127973356169,14
lower_in_a,12,44,4956,2,272,42,4684,0.045454545454545456,0.05488297013720742,0.8200280112044818,1.0,15
lower_in_a,14,44,4956,1,156,43,4800,0.022727272727272728,0.031476997578692496,0.7155635062611807,1.0,16
lower_in_a,16,44,4956,1,163,43,4793,0.022727272727272728,0.03288942695722357,0.6838350691967471,1.0,17
lower_in_a,18,44,4956,0,95,44,4861,0.0,0.01916868442292171,0.0,1.0,18
lower_in_a,19,44,4956,1,187,43,4769,0.022727272727272728,0.0377320419693301,0.5930854371346848,1.0,19
lower_in_a,20,44,4956,0,98,44,4858,0.0,0.01977401129943503,0.0,1.0,20
lower_in_a,22,44,4956,0,56,44,4900,0.0,0.011299435028248588,0.0,1.0,21
lower_in_a,9,44,4956,0,68,44,4888,0.0,0.013720742534301856,0.0,1.0,22
