sample_id,state_domain,placeholder_condition_cur,tumor_status,candidate_stable_shell,mean_beta,std_beta,iqr_beta,mad_beta,mean_neighbor_distance,H,S,M,R,phi,min_hrsm_distance_to_shell,min_probe_distance_to_shell
SAMPLE 24,D3,mgmt_methylated,methylated,True,0.551457142461978,0.23196030624730726,0.32188045606064797,0.16122357795615294,,0.74083817,5.46074209834028,1.3410197,-0.6078398,5.704064226558708,1.527012351662887,0.23410543118183136
SAMPLE 341,D3,,,True,0.545668604975134,0.23451996148829407,0.315331512875501,0.15560016446060798,,0.79190624,4.368883998525338,1.2883768,-0.47420532,4.647477639921947,1.527012351662887,0.23410543118183136
SAMPLE 337,D3,,,False,0.5205298158737359,0.2609651368269632,0.425625590092098,0.204879185301026,,1.2397952,5.02423149680884,0.5876891,-0.23606455,5.213549587658959,1.1772119874600468,0.28200651492406714
SAMPLE 122,D3,mgmt_non_methylated,non_methylated,False,0.5268550043222325,0.2531832163200859,0.393039965339607,0.18999072917751703,,1.3214539,6.201099769230171,0.63911617,-0.40130743,6.385091695919556,1.3727223703565326,0.2784005978992157
SAMPLE 137,D3,,,False,0.3757372262163669,0.2179623014487457,0.316564300486493,0.152814573430822,,-0.926879,5.2619532075353135,0.19944839,0.5026616,5.37026112305013,2.338508180304125,0.2825454118098728
SAMPLE 286,D3,,,False,0.42485568798160767,0.239987596748088,0.3867800623985409,0.1892069925591875,,0.11217963,4.672263288637852,-1.1366838,0.36122963,4.823397710803521,2.676543591781032,0.31619775070830003
SAMPLE 193,D3,mgmt_methylated,methylated,False,0.4214532977540414,0.3232483188633286,0.6610480125994445,0.30495189430962016,,0.11334803,4.845989741714389,-1.4024079,-0.050502725,5.046361338380517,2.8752435601531556,0.3925573938551115
SAMPLE 143,D3,mgmt_non_methylated,non_methylated,False,0.352938458479567,0.2756368411557235,0.475838373913922,0.1940975686562028,,-1.8085306,6.118182153169472,0.5959656,-1.6477013,6.616118964612247,3.0659044256891135,0.30672700855611124
SAMPLE 142,D3,mgmt_non_methylated,non_methylated,False,0.5008579303473997,0.2568175246846536,0.425464153820465,0.20008662075925804,,0.77924377,7.785624113189372,0.51167166,0.81486666,7.883462387357603,3.587232855440432,0.2801315763590767
SAMPLE 132,D3,mgmt_non_methylated,non_methylated,False,0.3354827545356879,0.2835350690410127,0.463105193380522,0.1747191428638986,,-1.8736929,7.3130142130638625,0.5627682,-1.9169241,7.809110572821153,4.12520083446243,0.33061669845749625
SAMPLE 238,D3,mgmt_methylated,methylated,False,0.4943030785160125,0.21301530860748413,0.28514159399356753,0.14078841944171103,,0.6977851,8.204906883858817,0.5024999,0.91678816,8.300626944294425,4.159571823572388,0.24556904535975502
SAMPLE 127,D3,mgmt_non_methylated,non_methylated,False,0.34477912679045375,0.2660195750737998,0.42623267974086765,0.17572812446407224,,-1.8062819,9.00413869016293,0.6067605,-1.6865653,9.35680653940653,5.838560759223196,0.3063476796338938
SAMPLE 353,D3,,,False,0.4147341356385584,0.20996034301085778,0.2923936874856753,0.14465998298168697,,-0.50385255,9.604497560148127,0.11971867,1.052437,9.675856391434916,6.224402989458976,0.2527581126570505
SAMPLE 292,D3,,,False,0.4118643078996822,0.19346357032681696,0.24526085386033702,0.12056252489851699,,-0.44641113,10.51605339395222,-0.038045544,1.167501,10.590144848603734,7.476173683400452,0.25461096511874465
SAMPLE 296,D3,,,False,0.40872515182486435,0.2569051108667655,0.442907824769309,0.22231768615060304,,-0.5852289,15.821487765171838,0.33808666,0.8635768,15.859446254002169,14.67672409850741,0.29424129703169527
SAMPLE 128,D3,mgmt_non_methylated,non_methylated,False,0.4086840652549785,0.28929535340652096,0.5399016932905409,0.268971122574334,,-0.6461837,17.48234012435667,0.35426232,0.71068835,17.512291380719905,16.98790993326066,0.3180689236751208
