sample_id,state_domain,placeholder_condition_cur,tumor_status,candidate_stable_shell,mean_beta,std_beta,iqr_beta,mad_beta,mean_neighbor_distance,H,S,M,R,phi,min_hrsm_distance_to_shell,min_probe_distance_to_shell
SAMPLE 1,D1,mgmt_non_methylated,non_methylated,False,0.45506628663135107,0.20977938435737983,0.28601842231644803,0.13912000825000498,,0.10263444,-1.2858612312041438,0.35487196,1.0967782,1.7299795913739424,6.6560089090325,0.24667834965994043
SAMPLE 2,D1,mgmt_non_methylated,non_methylated,False,0.3842238335624189,0.2752304344366032,0.45979217027142016,0.22636379988773203,,-1.1885898,1.7407197841088442,0.3402741,-0.03501239,2.135383668463188,4.2698966010131745,0.3017311471407443
SAMPLE 3,D1,mgmt_non_methylated,non_methylated,False,0.3800626814234636,0.23872494150716528,0.3493313000189125,0.174825646509159,,-1.0074496,-0.7682854428105566,0.5304543,0.24962282,1.3960338841656652,6.426387126297799,0.2739329995125371
SAMPLE 4,D1,mgmt_non_methylated,non_methylated,False,0.40644192795572526,0.19319195377190576,0.2548965506955475,0.123557971454617,,-0.062054176,-0.4087704571059603,-0.9007549,0.99712026,1.4058991002123578,6.404698156894006,0.2883187158748761
SAMPLE 5,D1,mgmt_non_methylated,non_methylated,False,0.4962730139863188,0.24435253631662152,0.3848805458394765,0.18575616739706602,,1.0899402,-0.3688839819014509,0.3044538,0.04652461,1.1911765628455773,5.976667210326897,0.2796431519446814
SAMPLE 6,D1,mgmt_non_methylated,non_methylated,False,0.37555233377626307,0.2705735701021251,0.44555225439981816,0.22659011845224097,,-1.1977948,-0.4237058534590815,0.48469415,0.041815206,1.3604837377957404,6.216457159484036,0.30304579059008346
SAMPLE 7,D1,mgmt_non_methylated,non_methylated,False,0.5320326959075722,0.2548398900270399,0.40562606877279705,0.19249872405268398,,1.4650416,2.298391338696972,0.39468288,-0.63084656,2.825365770747593,2.9804979503071687,0.2837339829166422
SAMPLE 8,D1,mgmt_non_methylated,non_methylated,False,0.5219435771224961,0.24523337231020736,0.35881747940050324,0.17954251507486496,,0.52366644,-0.2831149649056288,1.3991826,-0.18966901,1.5323402952348772,5.613409521792695,0.24295588725669853
SAMPLE 9,D1,mgmt_non_methylated,non_methylated,False,0.4586728430448707,0.2631012167533703,0.414232660413286,0.20412855933909707,,-0.19260003,1.5425355235038478,0.085061565,0.47531083,1.6277796155986692,4.519471532150795,0.2839107957129988
SAMPLE 10,D1,mgmt_methylated,methylated,False,0.4677418851771655,0.25483731379446833,0.41432687213529995,0.20399689908488505,,0.30392963,-0.3593731122162891,0.9446474,0.5654255,1.1973249065660685,5.974702712519438,0.2660142983385982
SAMPLE 11,D1,mgmt_methylated,methylated,False,0.44159288549853254,0.23650836500860922,0.40160602599369455,0.19623857201134198,,0.6084672,1.0656922594372165,-0.64031,0.27306414,1.4108484281058131,5.069392332390598,0.3060748006400256
SAMPLE 12,D1,mgmt_methylated,methylated,False,0.44416551429267903,0.24947352905089196,0.4186569570477998,0.20139508275066154,,0.13005774,-0.4238304758959733,0.1297121,1.2017758,1.2874927288879665,6.232902267345315,0.2863989084963444
SAMPLE 13,D2,mgmt_methylated,methylated,False,0.5924627134413101,0.2288173071935334,0.2941112226685595,0.13960515675902452,,1.8772682,2.588420775030574,1.2669672,-2.1734753,4.068569581909395,1.6139084460258213,0.23171341654049682
SAMPLE 14,D1,mgmt_non_methylated,non_methylated,False,0.3913709716421136,0.22774481550027328,0.35350670301949855,0.17617681811236996,,-0.22178036,2.251629316489249,-0.12777106,0.76276034,2.3910562256640846,3.7599633396811956,0.29828968917424065
SAMPLE 15,D1,mgmt_non_methylated,non_methylated,False,0.41228963453497297,0.2226128102820267,0.33975394551685373,0.15563191686089198,,-0.15579997,-0.4349194110154072,-1.0855876,0.5202438,1.2894117622687462,6.47116038445832,0.30358699740862793
SAMPLE 16,D1,mgmt_methylated,methylated,False,0.3216665932800411,0.21139002831811457,0.355829845254168,0.17679673953531105,,-1.3214661,0.6157039963250361,-1.1595842,-0.5008243,1.9289438612136287,5.651225558229711,0.328036742328381
SAMPLE 17,D1,mgmt_methylated,methylated,False,0.5110479584534251,0.19506370761264638,0.24979096099402198,0.11795094698249303,,1.3682858,0.0622003115292065,-0.36369434,-0.09939712,1.4206435898960663,5.671156495974957,0.2526558745478913
SAMPLE 18,D1,,,False,0.33300045511686294,0.2271039315197264,0.37343367520163295,0.188477985133237,,-1.1385368,0.514012830123595,-0.7587066,0.06170629,1.4628460841615347,5.762488342885632,0.3262396288529434
SAMPLE 19,D1,mgmt_non_methylated,non_methylated,False,0.4682251761416509,0.268670378721315,0.45394322316373154,0.2261032847079135,,-0.15106748,2.284736283422813,0.7358856,0.8720098,2.558274814589056,3.42274469625631,0.2673606802996069
SAMPLE 20,D1,mgmt_non_methylated,non_methylated,False,0.45065929753929884,0.28726340687206225,0.5097939331318805,0.255921446450452,,-0.79341424,-0.9606297952036952,0.8665138,-0.63915986,1.6467201461169176,6.334562512874753,0.2600714146546005
SAMPLE 21,D1,mgmt_non_methylated,non_methylated,False,0.5342924053594064,0.2526560970903341,0.3706505298030482,0.18017943921169052,,0.50947124,-0.1772051709655732,0.9845659,-0.2790243,1.1568004327505546,5.749949593203447,0.25040370778975785
SAMPLE 22,D1,mgmt_non_methylated,non_methylated,False,0.38785587776348346,0.22735644016234502,0.3710212857765517,0.18136468589468152,,-0.34504506,-0.5641630038034919,-0.24454945,1.2096612,1.400150256779627,6.431019784153916,0.29737203126279643
SAMPLE 23,D1,mgmt_non_methylated,non_methylated,False,0.49142709442880267,0.24726512040052773,0.3833716555873467,0.183905786199205,,0.88816756,-0.2711098987899917,0.21636356,0.39119428,1.0306252226322328,6.043058817496447,0.2881595980270036
