direction,regulatory_feature_name,n,fraction_within_direction
higher_in_a,14:24045445-24045742,1,0.25
higher_in_a,2:177025621-177025878,1,0.25
higher_in_a,7:156795856-156796093,1,0.25
higher_in_a,7:156798906-156799194,1,0.25
lower_in_a,1:156551641-156552343,2,0.2
lower_in_a,13:113636766-113636979,1,0.1
lower_in_a,17:43034671-43034793,1,0.1
lower_in_a,1:204226882-204228330,1,0.1
lower_in_a,20:61715683-61715992,1,0.1
lower_in_a,3:189524416-189524493,1,0.1
lower_in_a,6:138484632-138484956,1,0.1
lower_in_a,6:30593987-30595136,1,0.1
lower_in_a,8:79429493-79429836,1,0.1
