direction,refgene_group,n,fraction_within_direction
higher_in_a,Body,42,0.42
higher_in_a,TSS1500,12,0.12
higher_in_a,Body;Body,8,0.08
higher_in_a,3'UTR,7,0.07
higher_in_a,TSS200,5,0.05
higher_in_a,5'UTR,4,0.04
higher_in_a,1stExon;5'UTR,3,0.03
higher_in_a,3'UTR;3'UTR,3,0.03
higher_in_a,Body;Body;Body;Body,3,0.03
higher_in_a,5'UTR;5'UTR,2,0.02
higher_in_a,Body;Body;Body,2,0.02
higher_in_a,1stExon,1,0.01
higher_in_a,3'UTR;3'UTR;3'UTR;3'UTR,1,0.01
higher_in_a,3'UTR;Body;Body;Body;Body,1,0.01
higher_in_a,5'UTR;1stExon,1,0.01
higher_in_a,5'UTR;5'UTR;5'UTR,1,0.01
higher_in_a,Body;Body;Body;Body;Body;Body,1,0.01
higher_in_a,Body;Body;Body;Body;Body;Body;Body,1,0.01
higher_in_a,Body;TSS200,1,0.01
higher_in_a,TSS1500;TSS1500,1,0.01
lower_in_a,Body;Body,11,0.6470588235294118
lower_in_a,Body,2,0.11764705882352941
lower_in_a,3'UTR,1,0.058823529411764705
lower_in_a,Body;Body;Body,1,0.058823529411764705
lower_in_a,Body;Body;Body;Body,1,0.058823529411764705
lower_in_a,TSS1500,1,0.058823529411764705
