direction,gene_token,n,weighted_sum
negative_loading,SIM2,2,0.0674433186650276
positive_loading,PTCH1,7,0.25344129279255845
positive_loading,NR3C1,6,0.21345749124884578
positive_loading,PRDM16,6,0.2072974890470502
positive_loading,TP73,5,0.16898352280259132
positive_loading,PTPRN2,3,0.10189385712146759
positive_loading,FHIT,2,0.077061578631401
positive_loading,CDC42BPG,2,0.0763654299080371
positive_loading,CARD11,2,0.0758208446204662
positive_loading,GRIN2B,2,0.0715566724538802
positive_loading,SYT16,2,0.0702044069766998
positive_loading,APOD,2,0.0686137229204176
positive_loading,ACCN1,2,0.0682331696152686
positive_loading,CPVL,2,0.0679944977164268
positive_loading,MCF2L,2,0.0679676383733748
positive_loading,FOXP1,2,0.0677946731448172
positive_loading,C7orf58,2,0.0676318556070326
positive_loading,FBLN7,2,0.0669279545545578
positive_loading,MBP,2,0.0662094727158546
positive_loading,SSPN,2,0.0661574900150298
positive_loading,UBE2E2,1,0.0387108922004699
positive_loading,GABRD,1,0.0383872352540493
positive_loading,IL12RB2,1,0.0383689515292644
positive_loading,ASB5,1,0.0380210243165493
positive_loading,PTPRE,1,0.0378516539931297
positive_loading,TSGA13,1,0.0373106636106967
positive_loading,TAAR6,1,0.0363998003304004
positive_loading,CRISPLD2,1,0.0362916328012943
positive_loading,DNAH17,1,0.0361947044730186
positive_loading,CUL1,1,0.0361872985959053
positive_loading,SLC35B4,1,0.0360834971070289
positive_loading,BRI3BP,1,0.0360789597034454
positive_loading,SLC1A6,1,0.0360581874847412
positive_loading,CPLX1,1,0.0360543951392173
positive_loading,MYT1,1,0.0360272191464901
positive_loading,WWTR1,1,0.0357178635895252
positive_loading,IGF1R,1,0.0357133038341999
positive_loading,NTM,1,0.0355426482856273
positive_loading,ARHGEF10,1,0.0354367680847644
positive_loading,LOC728606,1,0.0354047305881977
positive_loading,LMF1,1,0.0349796079099178
positive_loading,ADCY9,1,0.0349228642880916
positive_loading,GNAT3,1,0.0349177941679954
positive_loading,CCDC64B,1,0.0340754128992557
positive_loading,C6orf134,1,0.0340141914784908
positive_loading,HRNBP3,1,0.0339812599122524
positive_loading,CREB3L2,1,0.033942624926567
positive_loading,SH3PXD2B,1,0.033683493733406
positive_loading,BTD,1,0.0335987098515033
positive_loading,TTC24,1,0.0335798934102058
positive_loading,RNF220,1,0.0334172956645488
positive_loading,HDAC4,1,0.0334024876356124
positive_loading,SASH1,1,0.0333370454609394
positive_loading,PPBPL2,1,0.0332229845225811
