direction,refgene_group,n,fraction_within_direction
negative_loading,Body;Body,1,1.0
positive_loading,Body,26,0.4262295081967213
positive_loading,Body;Body,9,0.14754098360655737
positive_loading,5'UTR,5,0.08196721311475409
positive_loading,3'UTR,4,0.06557377049180328
positive_loading,TSS1500,4,0.06557377049180328
positive_loading,1stExon,3,0.04918032786885246
positive_loading,5'UTR;5'UTR,2,0.03278688524590164
positive_loading,TSS1500;TSS1500;TSS1500,2,0.03278688524590164
positive_loading,1stExon;5'UTR,1,0.01639344262295082
positive_loading,3'UTR;3'UTR,1,0.01639344262295082
positive_loading,Body;Body;Body,1,0.01639344262295082
positive_loading,Body;Body;Body;Body,1,0.01639344262295082
positive_loading,Body;Body;Body;Body;Body;Body;Body,1,0.01639344262295082
positive_loading,TSS200,1,0.01639344262295082
