domain_a,domain_b,axis,source_col,n_a,n_b,median_a,median_b,mean_a,mean_b,delta_median_a_minus_b,u_statistic,p_value,rank_biserial
D1,D2,H,H_dom,256,91,-0.138106645,0.43090698,-0.11840522758203126,0.6364162749956044,-0.569013625,6993.0,1.4889854896235183e-08,-0.39963942307692313
D1,D3,H,H_dom,256,16,-0.138106645,-0.16711575,-0.11840522758203126,-0.17503191499999998,0.029009105000000007,2057.0,0.9777857224322587,0.00439453125
D2,D3,H,H_dom,91,16,0.43090698,-0.16711575,0.6364162749956044,-0.17503191499999998,0.5980227300000001,1007.0,0.014978668990182244,0.3832417582417582
D1,D2,M,M_dom,256,91,0.16407383,-1.943247,0.09043522133710938,-1.5938147058131866,2.10732083,19931.0,6.998215540238143e-24,0.7111092032967032
D1,D3,M,M_dom,256,16,0.16407383,0.5070857799999999,0.09043522133710938,0.316890401625,-0.34301194999999995,1603.0,0.14535581345270587,-0.21728515625
D2,D3,M,M_dom,91,16,-1.943247,0.5070857799999999,-1.5938147058131866,0.316890401625,-2.45033278,173.0,1.2728328572769656e-06,-0.7623626373626373
D1,D2,R,R_dom,256,91,0.378936455,-1.6535225,0.28275552658593756,-1.7327207064370551,2.032458955,22277.0,3.0085793192066466e-38,0.9125171703296704
D1,D3,R,R_dom,256,16,0.378936455,0.1553634525,0.28275552658593756,-0.03946008281250001,0.2235730025,2330.0,0.3564435243731585,0.1376953125
D2,D3,R,R_dom,91,16,-1.6535225,0.1553634525,-1.7327207064370551,-0.03946008281250001,-1.8088859525,185.0,2.1464727171357113e-06,-0.7458791208791209
D1,D2,S,S_dom,256,91,-0.1083345244270017,-0.0396210785461308,0.3337147621191829,0.2998736954459288,-0.0687134458808709,12206.0,0.4975979567149649,0.04790521978021989
D1,D3,S,S_dom,256,16,-0.1083345244270017,6.757056991147017,0.3337147621191829,7.9803380311165935,-6.865391515574019,0.0,1.9814298474084926e-11,-1.0
D2,D3,S,S_dom,91,16,-0.0396210785461308,6.757056991147017,0.2998736954459288,7.9803380311165935,-6.796678069693148,14.0,4.5779975837220914e-10,-0.9807692307692307
D1,D2,phi,phi_dom,256,91,1.4934236730677983,2.838798306585341,1.6797118593838922,3.209598319230786,-1.3453746335175425,2294.0,5.2722977929670285e-30,-0.8030563186813187
D1,D3,phi,phi_dom,256,16,1.4934236730677983,7.2126147687166995,1.6797118593838922,8.174629225346626,-5.719191095648901,0.0,1.9814298474084926e-11,-1.0
D2,D3,phi,phi_dom,91,16,2.838798306585341,7.2126147687166995,3.209598319230786,8.174629225346626,-4.373816462131359,50.0,3.2500661472604884e-09,-0.9313186813186813
