tf_name,n_intervals_present,total_count_across_intervals,intervals_present,ptch1_count,olig2_count,sim2_count,pax6_count
RBBP5,4,4,OLIG2_tfbs_interval; PAX6_best_probe_window; PTCH1_tfbs_interval; SIM2_core_cluster,1,1,1,1
SUZ12,3,11,OLIG2_tfbs_interval; PAX6_best_probe_window; SIM2_core_cluster,0,5,4,2
RAD21,3,7,OLIG2_tfbs_interval; PTCH1_tfbs_interval; SIM2_core_cluster,3,2,2,0
CTCF,3,5,OLIG2_tfbs_interval; PTCH1_tfbs_interval; SIM2_core_cluster,2,1,2,0
MAX,3,5,OLIG2_tfbs_interval; PTCH1_tfbs_interval; SIM2_core_cluster,1,3,1,0
EZH2,3,3,OLIG2_tfbs_interval; PAX6_best_probe_window; SIM2_core_cluster,0,1,1,1
CTBP2,2,7,PAX6_best_probe_window; SIM2_core_cluster,0,0,3,4
CHD1,2,5,PAX6_best_probe_window; SIM2_core_cluster,0,0,2,3
USF1,2,4,OLIG2_tfbs_interval; SIM2_core_cluster,0,3,1,0
POLR2A,2,3,OLIG2_tfbs_interval; PTCH1_tfbs_interval,2,1,0,0
EGR1,2,2,OLIG2_tfbs_interval; PAX6_best_probe_window,0,1,0,1
MXI1,2,2,OLIG2_tfbs_interval; PTCH1_tfbs_interval,1,1,0,0
EP300,1,4,PTCH1_tfbs_interval,4,0,0,0
GATA2,1,3,PTCH1_tfbs_interval,3,0,0,0
REST,1,3,PTCH1_tfbs_interval,3,0,0,0
MYC,1,2,OLIG2_tfbs_interval,0,2,0,0
YY1,1,2,PTCH1_tfbs_interval,2,0,0,0
ATF3,1,1,OLIG2_tfbs_interval,0,1,0,0
CEBPB,1,1,PTCH1_tfbs_interval,1,0,0,0
EBF1,1,1,PAX6_best_probe_window,0,0,0,1
GATA1,1,1,PTCH1_tfbs_interval,1,0,0,0
HDAC8,1,1,PTCH1_tfbs_interval,1,0,0,0
IKZF1,1,1,PTCH1_tfbs_interval,1,0,0,0
JUND,1,1,OLIG2_tfbs_interval,0,1,0,0
NRF1,1,1,OLIG2_tfbs_interval,0,1,0,0
SIN3A,1,1,PTCH1_tfbs_interval,1,0,0,0
SP1,1,1,PAX6_best_probe_window,0,0,0,1
SPI1,1,1,PAX6_best_probe_window,0,0,0,1
STAT3,1,1,PTCH1_tfbs_interval,1,0,0,0
TBP,1,1,PTCH1_tfbs_interval,1,0,0,0
TCF12,1,1,SIM2_core_cluster,0,0,1,0
UBTF,1,1,PTCH1_tfbs_interval,1,0,0,0
WRNIP1,1,1,PTCH1_tfbs_interval,1,0,0,0
ZNF263,1,1,OLIG2_tfbs_interval,0,1,0,0
ZNF274,1,1,PTCH1_tfbs_interval,1,0,0,0
