direction,gene_token,n,weighted_sum
higher_in_a,NR3C1,7,2.0813186322995527
higher_in_a,TPO,4,0.939482121001168
higher_in_a,HGF,5,0.914705097940144
higher_in_a,BTNL8,6,0.7320194394569634
higher_in_a,SLC8A3,4,0.6828961534553696
higher_in_a,PHACTR2,4,0.682344016469006
higher_in_a,FHIT,2,0.632665938164502
higher_in_a,ANXA2,4,0.584239669156852
higher_in_a,GRIN2A,3,0.5758320930406167
higher_in_a,POM121L12,3,0.5392644109723941
higher_in_a,PTPRN2,3,0.5184464744863166
higher_in_a,CSN1S1,2,0.496324964202033
higher_in_a,MIDN,2,0.4867093415011794
higher_in_a,NELL1,2,0.475917618621465
higher_in_a,DIP2C,2,0.4721861886749712
higher_in_a,MAD1L1,3,0.462424228101186
higher_in_a,CYP4B1,2,0.45292035904571
higher_in_a,KIRREL3,2,0.449846511673862
higher_in_a,PNMAL1,2,0.4432725402654508
higher_in_a,AGAP3,2,0.4281234191471846
higher_in_a,WWP2,2,0.427969222732299
higher_in_a,HLA-DRB1,1,0.4248750520922145
higher_in_a,CPVL,2,0.4159720903050508
higher_in_a,ANXA7,2,0.410678886550384
higher_in_a,SMOC2,2,0.38212715858707
higher_in_a,SLC22A18,2,0.38157946116359
higher_in_a,LIPE,2,0.372523872686668
higher_in_a,MEGF6,1,0.3243495448126935
higher_in_a,CDC42BPG,1,0.310842485942932
higher_in_a,SLC1A6,2,0.2928009729158275
lower_in_a,SIM2,20,5.154868586918544
lower_in_a,MAPT,6,1.1028877126925754
lower_in_a,ISL2,4,0.831119040832178
lower_in_a,PPARG,3,0.7701496721629649
lower_in_a,PAX6,3,0.7410413911253265
lower_in_a,IRF6,3,0.6510864268673725
lower_in_a,SBNO2,2,0.4086164152737058
lower_in_a,WDR69,1,0.3152396619286329
lower_in_a,JPH4,2,0.311999077696686
lower_in_a,PITX1,1,0.2731747537046394
lower_in_a,HAND2,1,0.2604419109784785
lower_in_a,NBLA00301,1,0.2604419109784785
lower_in_a,HOXA9,1,0.211025312177551
lower_in_a,ARPM1,1,0.204482892580595
lower_in_a,MIXL1,1,0.1977356813971512
lower_in_a,TXNRD1,1,0.1938268158284739
lower_in_a,LOC100128977,1,0.1838146187820959
lower_in_a,LOC100130148,1,0.1838146187820959
lower_in_a,WIT1,1,0.1628547950425565
lower_in_a,LOC646999,1,0.154685883485674
