direction,refgene_group,n,fraction_within_direction
higher_in_a,Body,28,0.3146067415730337
higher_in_a,TSS1500,12,0.1348314606741573
higher_in_a,TSS200,8,0.0898876404494382
higher_in_a,3'UTR,7,0.07865168539325842
higher_in_a,Body;Body,7,0.07865168539325842
higher_in_a,5'UTR,5,0.056179775280898875
higher_in_a,5'UTR;5'UTR,3,0.033707865168539325
higher_in_a,Body;Body;Body,3,0.033707865168539325
higher_in_a,1stExon;5'UTR,2,0.02247191011235955
higher_in_a,3'UTR;3'UTR,2,0.02247191011235955
higher_in_a,1stExon,1,0.011235955056179775
higher_in_a,3'UTR;1stExon,1,0.011235955056179775
higher_in_a,3'UTR;3'UTR;3'UTR;3'UTR,1,0.011235955056179775
higher_in_a,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,1,0.011235955056179775
higher_in_a,3'UTR;Body;Body;Body;Body,1,0.011235955056179775
higher_in_a,5'UTR;5'UTR;5'UTR;5'UTR,1,0.011235955056179775
higher_in_a,5'UTR;5'UTR;Body;5'UTR,1,0.011235955056179775
higher_in_a,Body;Body;Body;Body,1,0.011235955056179775
higher_in_a,Body;Body;Body;Body;Body;Body;Body,1,0.011235955056179775
higher_in_a,Body;Body;TSS1500,1,0.011235955056179775
higher_in_a,TSS1500;TSS1500,1,0.011235955056179775
higher_in_a,TSS200;Body,1,0.011235955056179775
lower_in_a,Body;Body,11,0.36666666666666664
lower_in_a,Body,5,0.16666666666666666
lower_in_a,3'UTR,3,0.1
lower_in_a,TSS200,3,0.1
lower_in_a,1stExon,1,0.03333333333333333
lower_in_a,5'UTR;1stExon,1,0.03333333333333333
lower_in_a,5'UTR;5'UTR;TSS1500;Body;5'UTR;5'UTR;5'UTR;5'UTR,1,0.03333333333333333
lower_in_a,Body;Body;Body,1,0.03333333333333333
lower_in_a,Body;TSS1500,1,0.03333333333333333
lower_in_a,Body;TSS200,1,0.03333333333333333
lower_in_a,TSS1500,1,0.03333333333333333
lower_in_a,TSS1500;TSS200;TSS200,1,0.03333333333333333
