gene_token,n,weighted_sum
PTCH1,7,0.25344129279255845
NR3C1,6,0.21345749124884578
PRDM16,6,0.2072974890470502
TP73,5,0.16898352280259132
PTPRN2,3,0.10189385712146759
FHIT,2,0.077061578631401
CDC42BPG,2,0.0763654299080371
CARD11,2,0.0758208446204662
GRIN2B,2,0.0715566724538802
SYT16,2,0.0702044069766998
APOD,2,0.0686137229204176
ACCN1,2,0.0682331696152686
CPVL,2,0.0679944977164268
MCF2L,2,0.0679676383733748
FOXP1,2,0.0677946731448172
C7orf58,2,0.0676318556070326
FBLN7,2,0.0669279545545578
MBP,2,0.0662094727158546
SSPN,2,0.0661574900150298
UBE2E2,1,0.0387108922004699
GABRD,1,0.0383872352540493
IL12RB2,1,0.0383689515292644
ASB5,1,0.0380210243165493
PTPRE,1,0.0378516539931297
TSGA13,1,0.0373106636106967
TAAR6,1,0.0363998003304004
CRISPLD2,1,0.0362916328012943
DNAH17,1,0.0361947044730186
CUL1,1,0.0361872985959053
SLC35B4,1,0.0360834971070289
BRI3BP,1,0.0360789597034454
SLC1A6,1,0.0360581874847412
CPLX1,1,0.0360543951392173
MYT1,1,0.0360272191464901
WWTR1,1,0.0357178635895252
IGF1R,1,0.0357133038341999
NTM,1,0.0355426482856273
ARHGEF10,1,0.0354367680847644
LOC728606,1,0.0354047305881977
LMF1,1,0.0349796079099178
