headline_family,label,effect,p_value,note
D3_directional_arm_enrichment,lower_in_a:21q,44.31531531531532,1.1430409139090618e-13,selected-probe background
D3_directional_arm_enrichment,higher_in_a:7p,2.98255338482508,0.0007172952101899,selected-probe background
D3_directional_arm_enrichment,higher_in_a:4q,2.5694389802502164,0.0025825681324854,selected-probe background
D3_directional_arm_enrichment,lower_in_a:15q,3.9447731755424074,0.0128148936685358,selected-probe background
D3_directional_arm_enrichment,lower_in_a:3q,3.365734265734266,0.0392099179640862,selected-probe background
D3_directional_arm_enrichment,higher_in_a:1p,0.3361239626936917,0.0472573570006048,selected-probe background
D3_directional_arm_enrichment,higher_in_a:11q,2.239529411764706,0.0637322065860222,selected-probe background
D3_directional_arm_enrichment,higher_in_a:5p,1.9756966268594176,0.0756096622585541,selected-probe background
D3_directional_arm_enrichment,lower_in_a:6p,0.0,0.1704508144244411,selected-probe background
D3_directional_arm_enrichment,lower_in_a:10q,0.0,0.1706646973585311,selected-probe background
D3_near_vs_far,S,-4.161225772983452,0.0001554001554001,within D3 only
D3_near_vs_far,phi,-4.224426110066179,0.0001554001554001,within D3 only
D3_near_vs_far,R,-1.15790772,0.1048951048951048,within D3 only
D3_near_vs_far,H,0.971633825,0.1605283605283605,within D3 only
D3_near_vs_far,M,0.1634462399999999,0.4418026418026417,within D3 only
D3_near_vs_far,condition,,0.5238095238095238,within D3 only
MGMT_axis_shift,H,0.52021492,0.0001234523868678,mgmt_methylated minus mgmt_non_methylated
MGMT_axis_shift,R,-0.460156745,0.0018061901925435,mgmt_methylated minus mgmt_non_methylated
MGMT_axis_shift,phi,0.3450271517560166,0.075060445876062,mgmt_methylated minus mgmt_non_methylated
MGMT_axis_shift,S,-0.1930160353651001,0.5587086676086581,mgmt_methylated minus mgmt_non_methylated
MGMT_axis_shift,M,0.0613275674999999,0.6934757785081664,mgmt_methylated minus mgmt_non_methylated
Stable_shell_vs_rest,M,1.11842407,0.0083539016517941,curated subset
Stable_shell_vs_rest,S,4.671934663341988,0.010024681982153,curated subset
Stable_shell_vs_rest,phi,3.581514317179552,0.0118473514334535,curated subset
Stable_shell_vs_rest,H,1.3897386791,0.0903740269603189,curated subset
Stable_shell_vs_rest,R,-1.4668415425,0.1749762673248528,curated subset
