representative_type,state_domain,sample_id,phi,H,S,M,R
top_phi,D1,SAMPLE 100,4.12454505520502,-0.055337768,4.054544930664471,-0.07113334,0.75127566
top_phi,D1,SAMPLE 119,3.867579773925897,-1.0229919,3.697141295000709,0.19466922,0.45267105
top_phi,D1,SAMPLE 285,3.824701447596351,-1.9609038,1.9450556178320555,1.0261651,-2.438635
top_phi,D1,SAMPLE 251,3.6440899326283223,-1.5352155,3.228769490746717,0.27825272,-0.6481727
top_phi,D1,SAMPLE 106,3.62431604199684,-1.0838228,3.440216161710586,0.07671471,0.34644246
low_phi,D1,SAMPLE 78,0.3957144665614523,-0.0138539625,-0.1303399904437265,0.15471931,0.33981088
low_phi,D1,SAMPLE 47,0.6962662098985571,0.43025604,-0.3752215368120018,-0.004906792,0.3985613
low_phi,D1,SAMPLE 58,0.7149878048043913,-0.50437635,0.0748775319923433,-0.1508955,0.47794974
low_phi,D1,SAMPLE 245,0.7791387651375391,-0.15128101,-0.4514890002864132,0.25848094,0.5599255
low_phi,D1,SAMPLE 188,0.8577601201718391,-0.12996258,-0.1751037402393454,-0.50862545,0.65536326
top_phi,D2,SAMPLE 31,7.878938790450388,1.7329024,6.169402324005232,-2.1926153,-4.025623
top_phi,D2,SAMPLE 167,7.821795002590639,1.869828,5.922737655922932,-2.292292,-4.1654286
top_phi,D2,SAMPLE 110,5.7711144497374764,3.0237508,0.2312870671037228,0.66888434,-4.864339
top_phi,D2,SAMPLE 133,5.533525076964795,2.6578863,-1.063265033173961,0.8874483,-4.6516066
top_phi,D2,SAMPLE 170,5.394104560404463,2.3807025,-0.1340738395992713,-2.3177981,-4.2471704
low_phi,D2,SAMPLE 202,1.2958355611752927,0.76318944,-0.0324821798814698,-0.9712109,-0.3904177
low_phi,D2,SAMPLE 105,1.673235667091594,1.1708045,-0.0640830190393926,-1.0202504,-0.6196102
low_phi,D2,SAMPLE 359,1.8776777003128544,0.7660121,0.1912313761648023,-1.6533706,-0.41072518
low_phi,D2,SAMPLE 109,1.91019302575567,1.4287658,-0.6178691280050334,-0.43135464,-1.0196258
low_phi,D2,SAMPLE 268,1.9554175720376552,0.43090698,-0.7999575551658059,-1.7314863,-4.2159772e-05
top_phi,D3,SAMPLE 128,17.512291380719905,-0.6461837,17.48234012435667,0.35426232,0.71068835
top_phi,D3,SAMPLE 296,15.859446254002169,-0.5852289,15.821487765171838,0.33808666,0.8635768
top_phi,D3,SAMPLE 292,10.590144848603734,-0.44641113,10.51605339395222,-0.038045544,1.167501
top_phi,D3,SAMPLE 353,9.675856391434916,-0.50385255,9.604497560148127,0.11971867,1.052437
top_phi,D3,SAMPLE 127,9.35680653940653,-1.8062819,9.00413869016293,0.6067605,-1.6865653
low_phi,D3,SAMPLE 341,4.647477639921947,0.79190624,4.368883998525338,1.2883768,-0.47420532
low_phi,D3,SAMPLE 286,4.823397710803521,0.11217963,4.672263288637852,-1.1366838,0.36122963
low_phi,D3,SAMPLE 193,5.046361338380517,0.11334803,4.845989741714389,-1.4024079,-0.050502725
low_phi,D3,SAMPLE 337,5.213549587658959,1.2397952,5.02423149680884,0.5876891,-0.23606455
low_phi,D3,SAMPLE 137,5.37026112305013,-0.926879,5.2619532075353135,0.19944839,0.5026616
