sample_id,sample_number,in_normalized_matrix,in_non_normalized_matrix,placeholder_condition,placeholder_group,placeholder_batch,placeholder_note,state_available,H,R,S,M,phi,H_raw,R_raw,S_raw,M_raw,mean_neighbor_distance,pca_explained_variance_pc1,pca_explained_variance_pc2,state_domain,phi_q90_flag,phi_q95_flag,S_high_flag,M_high_flag,R_low_flag,candidate_stable_shell,candidate_irreversible_shell
SAMPLE 24,24,True,True,,,,,True,0.74083817,-0.6078398,5.46074209834028,1.3410197,5.704064226558708,4.235993,-12.880977,-2.6213449966590585,8.021494,4.115914794368366,0.13508506,0.11744216,D3,True,True,True,True,False,True,False
SAMPLE 35,35,True,True,,,,,True,2.0371885,-2.4113584,3.811023969916094,1.0750749,5.064037498816922,12.40137,-16.18549,-2.641627986569157,6.7385716,5.541610453166322,0.13508506,0.11744216,D2,True,False,True,True,True,True,False
SAMPLE 341,341,True,True,,,,,True,0.79190624,-0.47420532,4.368883998525338,1.2883768,4.647477639921947,4.5576577,-12.636124,-2.6347691970968388,7.767543,3.81441308483712,0.13508506,0.11744216,D3,True,False,True,True,False,True,False
SAMPLE 128,128,True,True,,,,,True,-0.6461837,0.71068835,17.48234012435667,0.35426232,17.512291380719905,-4.5005,-10.465092,-2.473541594814973,3.2613616,3.60059994671211,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 296,296,True,True,,,,,True,-0.5852289,0.8635768,15.821487765171838,0.33808666,15.859446254002169,-4.1165614,-10.18496,-2.493961478104785,3.18333,3.3768747797985728,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 292,292,True,True,,,,,True,-0.44641113,1.167501,10.51605339395222,-0.038045544,10.590144848603734,-3.2421842,-9.628093,-2.559190846665418,1.368863,3.667252438979234,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 353,353,True,True,,,,,True,-0.50385255,1.052437,9.604497560148127,0.11971867,9.675856391434916,-3.6039927,-9.83892,-2.5703982629270072,2.1299198,3.5141152444038024,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 127,127,True,True,,,,,True,-1.8062819,-1.6865653,9.00413869016293,0.6067605,9.35680653940653,-11.807659,-14.857481,-2.577779568067892,4.4794164,3.5218680567070506,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 238,238,True,True,,,,,True,0.6977851,0.91678816,8.204906883858817,0.5024999,8.300626944294425,3.9648128,-10.087463,-2.5876059804614933,3.976462,2.832621013114256,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 142,142,True,True,,,,,True,0.77924377,0.81486666,7.785624113189372,0.51167166,7.883462387357603,4.4779,-10.27421,-2.5927609872838344,4.0207067,2.785896681720473,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
