direction,chromosome_arm,flag_n,background_n,in_arm_and_flag,in_arm_and_background,outside_arm_and_flag,outside_arm_and_background,frac_flag_in_arm,frac_background_in_arm,fisher_odds_ratio,fisher_p_value,rank_by_p_value
higher_in_a,7p,156,4844,14,155,142,4689,0.0897435897435897,0.0319983484723369,2.98255338482508,0.0007172952101899,1
higher_in_a,4q,156,4844,14,179,142,4665,0.0897435897435897,0.0369529314616019,2.5694389802502164,0.0025825681324854,2
higher_in_a,1p,156,4844,3,267,153,4577,0.0192307692307692,0.0551197357555739,0.3361239626936917,0.0472573570006048,3
higher_in_a,11q,156,4844,6,85,150,4759,0.0384615384615384,0.0175474814203137,2.239529411764706,0.0637322065860222,4
higher_in_a,5p,156,4844,8,129,148,4715,0.0512820512820512,0.0266308835672997,1.9756966268594176,0.0756096622585541,5
higher_in_a,3q,156,4844,1,146,155,4698,0.0064102564102564,0.0301403798513625,0.2076005302695537,0.0912224340816947,6
higher_in_a,10p,156,4844,6,94,150,4750,0.0384615384615384,0.0194054500412881,2.021276595744681,0.1318391633826256,7
higher_in_a,11p,156,4844,6,98,150,4746,0.0384615384615384,0.0202312138728323,1.937142857142857,0.1408647830865807,8
higher_in_a,2q,156,4844,5,290,151,4554,0.032051282051282,0.0598678777869529,0.5199817309888102,0.1683776251248964,9
higher_in_a,1q,156,4844,8,157,148,4687,0.0512820512820512,0.032411230388109,1.6137028748493716,0.1743300058930132,10
higher_in_a,6q,156,4844,7,138,149,4706,0.0448717948717948,0.0284888521882741,1.60208150958078,0.2208608672002783,11
higher_in_a,2p,156,4844,2,151,154,4693,0.0128205128205128,0.0311725846407927,0.4036294830996818,0.2409473256118621,12
higher_in_a,15q,156,4844,2,159,154,4685,0.0128205128205128,0.032824112303881,0.3826676468185902,0.2437616537247518,13
higher_in_a,4p,156,4844,4,72,152,4772,0.0256410256410256,0.0148637489677952,1.7441520467836258,0.3003633913458372,14
higher_in_a,19p,156,4844,4,73,152,4771,0.0256410256410256,0.0150701899256812,1.7198990627253063,0.3041817259682022,15
higher_in_a,20p,156,4844,0,46,156,4798,0.0,0.009496284062758,0.0,0.4032796872498145,16
higher_in_a,21q,156,4844,0,48,156,4796,0.0,0.0099091659785301,0.0,0.4046580065416741,17
higher_in_a,22q,156,4844,0,56,156,4788,0.0,0.0115606936416184,0.0,0.4215422701927077,18
