sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
SAMPLE 1,UKE_BCN_KGU #1,GSM7707651,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 1,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707651/suppl/GSM7707651_202756030057_R01C01_Red.idat.gz,0
SAMPLE 2,UKE_BCN_KGU #2,GSM7707652,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 2,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707652/suppl/GSM7707652_204894630031_R08C01_Red.idat.gz,0
SAMPLE 3,UKE_BCN_KGU #3,GSM7707653,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 3,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707653/suppl/GSM7707653_205138650103_R02C01_Red.idat.gz,0
SAMPLE 4,UKE_BCN_KGU #4,GSM7707654,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 4,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707654/suppl/GSM7707654_205735140036_R03C01_Red.idat.gz,0
SAMPLE 5,UKE_BCN_KGU #5,GSM7707655,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 5,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707655/suppl/GSM7707655_203810690044_R03C01_Red.idat.gz,0
SAMPLE 6,UKE_BCN_KGU #6,GSM7707656,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 6,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707656/suppl/GSM7707656_203013220063_R05C01_Red.idat.gz,0
SAMPLE 7,UKE_BCN_KGU #7,GSM7707657,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 7,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707657/suppl/GSM7707657_205310760090_R02C01_Red.idat.gz,0
SAMPLE 8,UKE_BCN_KGU #8,GSM7707658,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 8,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707658/suppl/GSM7707658_205130650118_R03C01_Red.idat.gz,0
SAMPLE 9,UKE_BCN_KGU #9,GSM7707659,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 0",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 9,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707659/suppl/GSM7707659_206036790176_R08C01_Red.idat.gz,0
SAMPLE 10,UKE_BCN_KGU #10,GSM7707660,Public on Mar 20 2024,Aug 11 2023,Apr 09 2025,genomic,1,Glioblastoma,Homo sapiens,"mgmt promoter methylation status [0=non-methylated, 1=methylated]: 1",genomic DNA,"DNA was extracted with the Maxwell® 16FFPE Plus LEV DNA Kit (Promega, Fitchburg, USA) and a Maxwell DNA extractor",Cy3 and Cy5,Standard Illumina protocol,9606,"Bisulfite treatment, whole-genome DNA amplification, hybridization and single-base extension, fluorescence staining and scanning of the chips were performed following the manufacturer´s instructions (Illumina).",Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting,SAMPLE 10,non-normalized data matrix contains: Unmethylated and methylated signal intensities,GPL23976,"Richard,,Drexler",r.drexler@uke.de,Neurosurgery,Medical Center Hamburg-Eppendorf,Martinistraße 52,Hamburg,20246,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7707nnn/GSM7707660/suppl/GSM7707660_205437190093_R02C01_Red.idat.gz,0
