shell_sample_id,sample_id,distance_to_shell_sample,state_domain,placeholder_condition_cur,biological_condition,tumor_status,H_source,S_source,M_source,R_source,phi_source
SAMPLE 24,SAMPLE 337,1.070151135328409,D3,,,,1.2397952,5.02423149680884,0.5876891,-0.23606455,5.213549587658959
SAMPLE 24,SAMPLE 341,1.1024479611620224,D3,,,,0.79190624,4.368883998525338,1.2883768,-0.47420532,4.647477639921947
SAMPLE 24,SAMPLE 122,1.1918759549773692,D3,mgmt_non_methylated,mgmt_non_methylated,non_methylated,1.3214539,6.201099769230171,0.63911617,-0.40130743,6.385091695919556
SAMPLE 24,SAMPLE 137,2.314561729018553,D3,,,,-0.926879,5.2619532075353135,0.19944839,0.5026616,5.37026112305013
SAMPLE 24,SAMPLE 100,2.540208188440841,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,-0.055337768,4.054544930664471,-0.07113334,0.75127566,4.12454505520502
SAMPLE 24,SAMPLE 99,2.617585425459059,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,0.005115327,3.4741641255474414,0.28581512,0.5104252,3.523076314601947
SAMPLE 24,SAMPLE 321,2.7548738485658806,D2,,,,1.2024411,3.5674139690118047,-0.5944068,-0.3940981,3.831571444438893
SAMPLE 24,SAMPLE 35,2.779478378857354,D2,mgmt_methylated,mgmt_methylated,methylated,2.0371885,3.811023969916094,1.0750749,-2.4113584,5.064037498816922
SAMPLE 24,SAMPLE 286,2.8451749660323986,D3,,,,0.11217963,4.672263288637852,-1.1366838,0.36122963,4.823397710803521
SAMPLE 24,SAMPLE 142,2.849291704241198,D3,mgmt_non_methylated,mgmt_non_methylated,non_methylated,0.77924377,7.785624113189372,0.51167166,0.81486666,7.883462387357603
SAMPLE 24,SAMPLE 262,2.903513342148563,D1,,,,-1.118698,3.3511134948015204,0.7431254,-0.20224823,3.6158797734081487
SAMPLE 24,SAMPLE 143,2.92710199724133,D3,mgmt_non_methylated,mgmt_non_methylated,non_methylated,-1.8085306,6.118182153169472,0.5959656,-1.6477013,6.616118964612247
SAMPLE 24,SAMPLE 193,2.9340558868885953,D3,mgmt_methylated,mgmt_methylated,methylated,0.11334803,4.845989741714389,-1.4024079,-0.050502725,5.046361338380517
SAMPLE 24,SAMPLE 119,2.942819565542566,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,-1.0229919,3.697141295000709,0.19466922,0.45267105,3.867579773925897
SAMPLE 24,SAMPLE 56,2.9488383029042304,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,0.75834143,3.2205991286597944,0.2551643,0.9726723,3.458112292604244
SAMPLE 35,SAMPLE 13,1.2703322788000275,D2,mgmt_methylated,mgmt_methylated,methylated,1.8772682,2.588420775030574,1.2669672,-2.1734753,4.068569581909395
SAMPLE 35,SAMPLE 341,2.379074499566525,D3,,,,0.79190624,4.368883998525338,1.2883768,-0.47420532,4.647477639921947
SAMPLE 35,SAMPLE 7,2.4997130366240765,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,1.4650416,2.298391338696972,0.39468288,-0.63084656,2.825365770747593
SAMPLE 35,SAMPLE 46,2.58230382079461,D2,mgmt_non_methylated,mgmt_non_methylated,non_methylated,2.2907534,1.3325761350838914,0.5388491,-2.828199,3.913103331953476
SAMPLE 35,SAMPLE 337,2.6602926211384275,D3,,,,1.2397952,5.02423149680884,0.5876891,-0.23606455,5.213549587658959
SAMPLE 35,SAMPLE 321,2.759104441469791,D2,,,,1.2024411,3.5674139690118047,-0.5944068,-0.3940981,3.831571444438893
SAMPLE 35,SAMPLE 24,2.779478378857354,D3,mgmt_methylated,mgmt_methylated,methylated,0.74083817,5.46074209834028,1.3410197,-0.6078398,5.704064226558708
SAMPLE 35,SAMPLE 160,2.9287703959231153,D1,mgmt_methylated,mgmt_methylated,methylated,0.8487272,2.477574380882899,1.1698773,-0.09226796,2.8698151511448704
SAMPLE 35,SAMPLE 288,2.9532279543696527,D2,,,,2.078444,1.067204139158811,-0.014984667,-2.3558948,3.318029434968855
SAMPLE 35,SAMPLE 284,3.0886710938793542,D2,,,,2.2612002,0.9555140027357256,-0.04991101,-2.6762686,3.631933074510667
SAMPLE 35,SAMPLE 60,3.1141981157839957,D2,mgmt_methylated,mgmt_methylated,methylated,2.3318017,0.8827189811498486,0.17653541,-2.8899915,3.8209563080426494
SAMPLE 35,SAMPLE 242,3.232641740212992,D1,,,,1.0233704,2.503956040225866,-0.3600753,-0.03353107,2.729077020740411
SAMPLE 35,SAMPLE 122,3.2334352104789637,D3,mgmt_non_methylated,mgmt_non_methylated,non_methylated,1.3214539,6.201099769230171,0.63911617,-0.40130743,6.385091695919556
SAMPLE 35,SAMPLE 293,3.294249802353164,D1,,,,1.3984832,1.2759958893163883,0.41496712,-0.51873386,2.0062908936059816
SAMPLE 35,SAMPLE 327,3.337302463089672,D2,,,,1.3485974,3.99335285407363,-2.1791084,-2.2101688,5.234399815228981
SAMPLE 341,SAMPLE 337,1.0852461210544861,D3,,,,1.2397952,5.02423149680884,0.5876891,-0.23606455,5.213549587658959
SAMPLE 341,SAMPLE 24,1.1024479611620224,D3,mgmt_methylated,mgmt_methylated,methylated,0.74083817,5.46074209834028,1.3410197,-0.6078398,5.704064226558708
SAMPLE 341,SAMPLE 99,1.8423329707196934,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,0.005115327,3.4741641255474414,0.28581512,0.5104252,3.523076314601947
SAMPLE 341,SAMPLE 160,1.9339594023004025,D1,mgmt_methylated,mgmt_methylated,methylated,0.8487272,2.477574380882899,1.1698773,-0.09226796,2.8698151511448704
SAMPLE 341,SAMPLE 122,2.0160081405255856,D3,mgmt_non_methylated,mgmt_non_methylated,non_methylated,1.3214539,6.201099769230171,0.63911617,-0.40130743,6.385091695919556
SAMPLE 341,SAMPLE 100,2.0412503305033716,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,-0.055337768,4.054544930664471,-0.07113334,0.75127566,4.12454505520502
SAMPLE 341,SAMPLE 321,2.0885842886052584,D2,,,,1.2024411,3.5674139690118047,-0.5944068,-0.3940981,3.831571444438893
SAMPLE 341,SAMPLE 56,2.1167587619390122,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,0.75834143,3.2205991286597944,0.2551643,0.9726723,3.458112292604244
SAMPLE 341,SAMPLE 229,2.1480799319679393,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,-0.316299,3.170052708864211,0.7568809,0.81670296,3.3747817156255584
SAMPLE 341,SAMPLE 65,2.2063941465801062,D1,mgmt_methylated,mgmt_methylated,methylated,-0.10873508,2.9203092363434577,0.7810467,0.8301212,3.136744251837274
SAMPLE 341,SAMPLE 262,2.2488941967463565,D1,,,,-1.118698,3.3511134948015204,0.7431254,-0.20224823,3.6158797734081487
SAMPLE 341,SAMPLE 343,2.3139089954160394,D1,,,,0.6147769,2.3859206432161497,0.7222697,0.5602893,2.627958456326458
SAMPLE 341,SAMPLE 7,2.3586598669581793,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,1.4650416,2.298391338696972,0.39468288,-0.63084656,2.825365770747593
SAMPLE 341,SAMPLE 35,2.379074499566525,D2,mgmt_methylated,mgmt_methylated,methylated,2.0371885,3.811023969916094,1.0750749,-2.4113584,5.064037498816922
SAMPLE 341,SAMPLE 119,2.4083997994784565,D1,mgmt_non_methylated,mgmt_non_methylated,non_methylated,-1.0229919,3.697141295000709,0.19466922,0.45267105,3.867579773925897
