gene,log1p_mean_diff_PKH26_High_vs_G1
COL6A1,4.159789006808992
LGALS3BP,3.809639837320975
SLCO4A1,3.7861474516984206
GALNT10,3.6762949254155592
GSN,3.5939307892315404
ABR,3.533191278517732
FN1,3.515889876207579
LTBP1,3.276292145081566
MARCKSL1,3.1672674980397835
ETV1,2.9907461470713503
SYNJ2,2.9837380221957868
IGFBP3,2.9466157597702636
NHERF2,2.908676081727284
PYGB,2.8461497520249583
NDRG1,2.7839470504028547
TNFRSF21,2.77215881636232
CLU,2.688838513630044
DDX17,2.675270186333317
MAGI1,2.650481885703293
NET1,2.6488402571250558
S100A4,2.6483523415312127
CSF1,2.615061092800782
MORC4,2.5909281950394916
MLPH,2.57097897225586
ITGB5,2.5643123322154935
ABCC3,2.5540316570995394
ALDH3A2,2.4644374227401356
PHC2,2.4331152745372506
CAVIN3,2.4196411315285813
COL18A1,2.4076990471963025
TMEM131,2.389852856175993
SVIL,2.361690458971998
PLXNA1,2.3459360372049765
HMGA2-AS1,2.3232408259642487
DPYSL2,2.3161263886425183
PXDN,2.3032710484996053
ESYT2,2.2968789676877073
ARL4C,2.293056620797886
MIR3681HG,2.2833450905866868
RTL8B,2.275044930550141
MGAT4B,2.2745253420316365
GALNT1,2.247823559731893
TBCC,2.2417062558708736
H2BC12,2.232761517633303
SORL1,2.2174558043139503
TBC1D9B,2.2089835899180623
PHF20L1,2.208260178953973
TGFBR2,2.2059206060516985
TRIB2,2.2044544950265075
GALNT5,2.190877848127463
IGFBP4,2.1822229717715507
IL6ST,2.1665167045786875
EIF4EBP2,2.14846411489718
TSC22D1,2.148422290599065
S100A3,2.143539475005681
LAMC1,2.1093812152791016
SELENOM,2.109319765878944
DDX42,2.0997146056243823
HMGA2,2.0947067729589115
MRPL1,2.0839030173908957
SGSM2,2.066791251525572
JAG1,2.057776553392223
FAH,2.049181728730236
TM2D2,2.046006942097607
SEC63,2.0390850275735772
LPIN2,2.032081907064019
PHYHD1,2.0236623016820943
RHBDF1,2.0231857203116688
LRP12,2.022961414967917
TOR4A,1.9963512046494964
MFSD1,1.9816777251313566
STEAP3,1.978338072534993
BIN1,1.9709298680469294
FOXP1,1.9704601923142455
PNRC1,1.9696833765695125
PITPNA,1.9675177363078236
ANXA11,1.9611234960366237
DNTTIP1,1.9574616827347935
ECE1,1.9544730787805527
ANKH,1.9501669405076623
P4HTM,1.9393551980359973
ICMT,1.9039686993319842
SLK,1.9036855038026208
AHNAK2,1.899915920568015
ZFTRAF1,1.8963328027217576
DNAJC5,1.893204664824978
SNX21,1.8898610886866267
TMEM223,1.877309404909388
CST3,1.8599050958270058
DCBLD2,1.8592901341870145
CLSTN1,1.8586777947835957
SPRY1,1.8425757434722196
TRIM16L,1.8345771427727577
VANGL1,1.8328725389957266
DHX36,1.829090614390894
GNG11,1.8286510004875944
SMG7,1.8285777734049942
PABPC1L,1.81836127248964
BAG3,1.8181357873188453
SH3BGRL,1.8173357667249035
TFDP1,1.8160415589002654
RDH10,1.8063225566172327
BMP4,1.8041695817045487
CDC42EP3,1.7959749913662586
ITPA,1.7854025533498175
TGFBR1,1.7853801599722017
ANKRD28,1.7728136553945593
SYNE2,1.7727691138427901
ACADVL,1.7724404885048997
TSC2,1.7619331379571972
MRC2,1.7577710847099004
ROR1,1.7577026444459287
LAMB2,1.7571705170309242
STK24,1.7558012826898355
CMTM3,1.7546025289041558
CD47,1.7502447693384227
PTP4A2,1.748605336081818
ADIRF,1.7485455897037743
BCAR1,1.7431770390893637
RUNX1,1.7390785651065364
TIMP2,1.737255309299154
FGFR1,1.7356893805417957
CAPNS1,1.729006589894584
EPHX1,1.7282268243853403
SLC25A11,1.7260455579163712
NIBAN2,1.7223960839188712
ZNF292,1.7201718566006703
PKD2,1.7143248206833244
NFE2L3,1.7093847148441934
TIPARP,1.70888801558617
NFE2L1,1.7065592622061039
H2AC6,1.7057338374270263
TTC3,1.703409949514938
PODXL,1.7009218907149566
NQO1,1.7002166252047806
SASH1,1.6861769925367018
GSTA4,1.6818454707739185
