figure_number,dataset_id,png_file,png_filename,figure_key,latex_label,caption_draft,result_section,logbook_entry
1,gse124989,results/figures/gse124989/boxplot_H_by_population.png,boxplot_H_by_population.png,boxplot_H_by_population,fig:gse124989_boxplot_H_by_population,Reserve by population.,refined_state_geometry,Entry 5
2,gse124989,results/figures/gse124989/boxplot_M_by_population.png,boxplot_M_by_population.png,boxplot_M_by_population,fig:gse124989_boxplot_M_by_population,Commitment by population.,refined_state_geometry,Entry 5
3,gse124989,results/figures/gse124989/boxplot_R_by_population.png,boxplot_R_by_population.png,boxplot_R_by_population,fig:gse124989_boxplot_R_by_population,Recoverability by population.,refined_state_geometry,Entry 5
4,gse124989,results/figures/gse124989/boxplot_S_by_population.png,boxplot_S_by_population.png,boxplot_S_by_population,fig:gse124989_boxplot_S_by_population,Structural stability by population.,refined_state_geometry,Entry 5
5,gse124989,results/figures/gse124989/candidate_core_heatmap_by_population.png,candidate_core_heatmap_by_population.png,candidate_core_heatmap_by_population,fig:gse124989_candidate_core_heatmap_by_population,Candidate core gene heatmap across populations.,candidate_core_results,Entry 9
6,gse124989,results/figures/gse124989/candidate_core_heatmap_by_population_rowz.png,candidate_core_heatmap_by_population_rowz.png,candidate_core_heatmap_by_population_rowz,fig:gse124989_candidate_core_heatmap_by_population_rowz,Row-standardized candidate core gene heatmap across populations.,candidate_core_results,Entry 9
7,gse124989,results/figures/gse124989/candidate_core_heatmap_by_sector.png,candidate_core_heatmap_by_sector.png,candidate_core_heatmap_by_sector,fig:gse124989_candidate_core_heatmap_by_sector,Candidate core gene heatmap across branch sectors.,candidate_core_results,Entry 9
8,gse124989,results/figures/gse124989/candidate_core_heatmap_by_sector_rowz.png,candidate_core_heatmap_by_sector_rowz.png,candidate_core_heatmap_by_sector_rowz,fig:gse124989_candidate_core_heatmap_by_sector_rowz,Row-standardized candidate core gene heatmap across branch sectors.,candidate_core_results,Entry 9
9,gse124989,results/figures/gse124989/candidate_core_score_boxplot_by_population.png,candidate_core_score_boxplot_by_population.png,candidate_core_score_boxplot_by_population,fig:gse124989_candidate_core_score_boxplot_by_population,Candidate core score distribution by population.,candidate_core_results,Entry 9
10,gse124989,results/figures/gse124989/candidate_core_score_boxplot_by_sector.png,candidate_core_score_boxplot_by_sector.png,candidate_core_score_boxplot_by_sector,fig:gse124989_candidate_core_score_boxplot_by_sector,Candidate core score distribution by branch sector.,candidate_core_results,Entry 9
11,gse124989,results/figures/gse124989/candidate_core_score_vs_H_by_population.png,candidate_core_score_vs_H_by_population.png,candidate_core_score_vs_H_by_population,fig:gse124989_candidate_core_score_vs_H_by_population,"Candidate core score versus reserve, colored by population.",candidate_core_results,Entry 9
12,gse124989,results/figures/gse124989/candidate_core_score_vs_H_by_sector.png,candidate_core_score_vs_H_by_sector.png,candidate_core_score_vs_H_by_sector,fig:gse124989_candidate_core_score_vs_H_by_sector,"Candidate core score versus reserve, colored by branch sector.",candidate_core_results,Entry 9
13,gse124989,results/figures/gse124989/candidate_core_score_vs_M_by_population.png,candidate_core_score_vs_M_by_population.png,candidate_core_score_vs_M_by_population,fig:gse124989_candidate_core_score_vs_M_by_population,"Candidate core score versus malignant commitment, colored by population.",candidate_core_results,Entry 9
14,gse124989,results/figures/gse124989/candidate_core_score_vs_M_by_sector.png,candidate_core_score_vs_M_by_sector.png,candidate_core_score_vs_M_by_sector,fig:gse124989_candidate_core_score_vs_M_by_sector,"Candidate core score versus malignant commitment, colored by branch sector.",candidate_core_results,Entry 9
15,gse124989,results/figures/gse124989/candidate_core_score_vs_R_by_population.png,candidate_core_score_vs_R_by_population.png,candidate_core_score_vs_R_by_population,fig:gse124989_candidate_core_score_vs_R_by_population,"Candidate core score versus refined recoverability, colored by population.",candidate_core_results,Entry 9
16,gse124989,results/figures/gse124989/candidate_core_score_vs_R_by_sector.png,candidate_core_score_vs_R_by_sector.png,candidate_core_score_vs_R_by_sector,fig:gse124989_candidate_core_score_vs_R_by_sector,"Candidate core score versus refined recoverability, colored by branch sector.",candidate_core_results,Entry 9
17,gse124989,results/figures/gse124989/candidate_core_score_vs_S_by_population.png,candidate_core_score_vs_S_by_population.png,candidate_core_score_vs_S_by_population,fig:gse124989_candidate_core_score_vs_S_by_population,"Candidate core score versus refined structural stability, colored by population.",candidate_core_results,Entry 9
18,gse124989,results/figures/gse124989/candidate_core_score_vs_S_by_sector.png,candidate_core_score_vs_S_by_sector.png,candidate_core_score_vs_S_by_sector,fig:gse124989_candidate_core_score_vs_S_by_sector,"Candidate core score versus refined structural stability, colored by branch sector.",candidate_core_results,Entry 9
19,gse124989,results/figures/gse124989/hrsm_H_vs_R_refined.png,hrsm_H_vs_R_refined.png,hrsm_H_vs_R_refined,fig:gse124989_hrsm_H_vs_R_refined,"Refined HRSM geometry, reserve versus recoverability.",refined_state_geometry,Entry 5
20,gse124989,results/figures/gse124989/hrsm_M_vs_R_refined.png,hrsm_M_vs_R_refined.png,hrsm_M_vs_R_refined,fig:gse124989_hrsm_M_vs_R_refined,"Refined HRSM geometry, commitment versus recoverability.",refined_state_geometry,Entry 5
21,gse124989,results/figures/gse124989/hrsm_S_vs_R_refined.png,hrsm_S_vs_R_refined.png,hrsm_S_vs_R_refined,fig:gse124989_hrsm_S_vs_R_refined,"Refined HRSM geometry, structural stability versus recoverability.",refined_state_geometry,Entry 5
22,gse124989,results/figures/gse124989/pca_pc1_vs_pc2_by_population.png,pca_pc1_vs_pc2_by_population.png,pca_pc1_vs_pc2_by_population,fig:gse124989_pca_pc1_vs_pc2_by_population,PCA geometry colored by population.,refined_state_geometry,Entry 5
