cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,S_base,R_base,S_refined,R_adjusted,threshold_scheme,branch_sector
G1-2015-05-07-A-B1_S96_L000,G1,0,1297470,5635,0.9058290718272668,-1.3100244894363653,-11.076359998634263,-27.846523581971663,10.069212595490573,-3.229790225281852,-1.036341447738032,-0.1872690438921296,-0.6744907594765952,1.7709873161994156,0.0056614780881348,1.47140719715079,-0.1872690438921296,1.7709873161994156,median_like_0.0,recoverable_reference
G1-2015-05-07-A-B2_S97_L000,G1,0,848066,5250,0.9122631103980748,-14.99915126865976,-23.921401413054912,-11.696362565803028,6.607170564606283,-0.530517885537932,-1.6743228024989365,0.9700999118992096,-0.6744907594765952,1.7209198028641115,-0.4889083935551479,1.1725074178752648,0.9700999118992096,1.7209198028641115,median_like_0.0,stable_recoverable
G1-2015-05-07-A-B3_S98_L000,G1,0,1142762,4287,0.9283565627193422,-29.78665039959149,-19.542363788370565,-17.496308345475896,10.903976317362355,20.604280024277728,-1.764411666258031,-0.3134138149559856,-0.6744907594765952,0.8648905566727,-1.7266256390530346,0.2576104764438779,-0.3134138149559856,0.8648905566727,median_like_0.0,recoverable_reference
G1-2015-05-07-A-B4_S99_L000,G1,0,1885261,5893,0.9015174303954008,34.783275767501856,-31.608198663967578,1.658623250925946,-7.507152657033408,8.449489370617206,-0.5128419006605266,1.927058336541994,-0.6744907594765952,0.8454345638214155,-0.4106554170677267,1.4568327664828644,1.927058336541994,0.8454345638214155,median_like_0.0,stable_recoverable
G1-2015-05-07-A-C1_S108_L000,G1,0,1035852,5214,0.9128647347839166,0.9398469610965412,-32.63408333655274,2.7835021850686403,-5.206898740549244,1.3270709559997709,-1.4598149031956953,1.8811898336441093,-0.6744907594765952,1.970941825573408,0.6778701136821926,2.1217820376681344,1.8811898336441093,1.970941825573408,median_like_0.0,stable_recoverable
G1-2015-05-07-A-C2_S109_L000,G1,0,1521557,7192,0.8798088171396102,46.65851979806447,-35.872653687543504,1.1812260414721478,16.014459791360945,-1.95699489269268,-0.3339107140083087,2.1048258291122988,-0.6744907594765952,0.1831965988473766,-1.4266724688995491,0.7202607727162293,2.1048258291122988,0.1831965988473766,median_like_0.0,stable_recoverable
G1-2015-05-07-A-C3_S110_L000,G1,0,1542431,6640,0.8890337243891842,37.58058211950039,-32.19197580833326,-5.23394923129135,16.48073625182698,2.8216577596704404,-0.4884745903739257,2.1869327731200854,-0.6744907594765952,0.9203028810864792,-0.6423434894706176,1.287626095192988,2.1869327731200854,0.9203028810864792,median_like_0.0,stable_recoverable
G1-2015-05-07-A-C4_S111_L000,G1,0,1078047,6090,0.8982252080617668,16.29742758796493,-37.23230970792617,0.2180944594176599,5.834380484402342,-2.751887760213497,-1.0831362104783706,2.2997530420013965,-0.6744907594765952,2.2543798150791,0.6200262900789516,2.27766563404726,2.2997530420013965,2.2543798150791,median_like_0.0,stable_recoverable
G1-2015-05-07-A-D1_S120_L000,G1,0,1071734,4911,0.9179284066980848,-2.560811299625964,-37.65946788375686,11.90381040036667,-1.1133372964513857,12.751159468801209,-1.5483736654085023,1.207009038216459,-0.6744907594765952,1.78306899071573,0.2079147426314219,1.8100223100555723,1.207009038216459,1.78306899071573,median_like_0.0,stable_recoverable
G1-2015-05-07-A-D2_S121_L000,G1,0,1049816,3834,0.9359270029078512,-40.06973540493164,-15.971691771802757,-18.19481202591397,5.716526574332504,17.72999209406322,-2.099569106144136,-1.3268632408404264,-0.6744907594765952,-0.6744907594765952,-2.60038781622181,-0.3870423237169432,-1.3268632408404264,-0.6744907594765952,median_like_0.0,mixed_sector
