population_label,branch_sector,n_cells,threshold_scheme
G1,stable_recoverable,19,median_like_0.0
G1,recoverable_reference,8,median_like_0.0
G1,mixed_sector,3,median_like_0.0
PKH26_High,unstable_committed_malignant,17,median_like_0.0
PKH26_High,malignant_reservoir,15,median_like_0.0
PKH26_High,mixed_sector,14,median_like_0.0
PKH26_Low,mixed_sector,34,median_like_0.0
PKH26_Low,malignant_reservoir,8,median_like_0.0
PKH26_Low,unstable_committed_malignant,3,median_like_0.0
G1,stable_recoverable,15,moderate_0.5
G1,recoverable_reference,8,moderate_0.5
G1,mixed_sector,7,moderate_0.5
PKH26_High,mixed_sector,30,moderate_0.5
PKH26_High,malignant_reservoir,10,moderate_0.5
PKH26_High,unstable_committed_malignant,6,moderate_0.5
PKH26_Low,mixed_sector,29,moderate_0.5
PKH26_Low,transitional_intermediate,16,moderate_0.5
G1,mixed_sector,25,strict_0.75
G1,transitional_intermediate,5,strict_0.75
PKH26_High,mixed_sector,30,strict_0.75
PKH26_High,transitional_intermediate,16,strict_0.75
PKH26_Low,transitional_intermediate,23,strict_0.75
PKH26_Low,mixed_sector,22,strict_0.75
