rank,term_name,p_value,z_score,combined_score,overlapping_genes,adjusted_p_value,old_p_value,old_adjusted_p_value
1,Endodermal Cell Differentiation (GO:0035987),0.000275254319786104,98.30049261083744,805.8492615260942,COL6A1;FN1,0.022385378823964436,0,0
2,Endoderm Formation (GO:0001706),0.0003515511542246668,86.36796536796537,686.8978437689108,COL6A1;FN1,0.022385378823964436,0,0
3,O-glycan Processing (GO:0016266),0.0004831376724596641,73.05860805860806,557.8177351120347,GALNT5;GALNT10,0.022385378823964436,0,0
4,Protein O-linked Glycosylation (GO:0006493),0.002460222606431759,31.229199372056517,187.60952274078338,GALNT5;GALNT10,0.05099664404711803,0,0
5,Regulation Of Establishment Of T Cell Polarity (GO:1903903),0.003993945448655638,333.0,1839.1509089009865,GSN,0.05099664404711803,0,0
6,Nervous System Development (GO:0007399),0.004575132147296528,10.494096601073345,56.53295449154546,MARCKSL1;GSN;FN1,0.05099664404711803,0,0
7,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Signaling Pathway (GO:2001269),0.004790942275014269,266.38666666666666,1422.7786907214238,GSN,0.05099664404711803,0,0
8,Leukotriene Transport (GO:0071716),0.004790942275014269,266.38666666666666,1422.7786907214238,ABCC3,0.05099664404711803,0,0
9,Actin Filament Organization (GO:0007015),0.005782163288852711,19.961770623742456,102.86255278616657,MARCKSL1;GSN,0.05099664404711803,0,0
10,Protein Glycosylation (GO:0006486),0.00601804977395303,19.545812807881774,99.93758510583235,GALNT5;GALNT10,0.05099664404711803,0,0
11,Integrin Activation (GO:0033622),0.006383144070851652,190.25714285714287,961.5775796687342,FN1,0.05099664404711803,0,0
12,Regulation Of Skeletal Muscle Cell Differentiation (GO:2001014),0.006383144070851652,190.25714285714287,961.5775796687342,DDX17,0.05099664404711803,0,0
13,Regulation Of Podosome Assembly (GO:0071801),0.006383144070851652,190.25714285714287,961.5775796687342,GSN,0.05099664404711803,0,0
14,Actin-Mediated Cell Contraction (GO:0070252),0.007178349711373001,166.46666666666667,821.7936241053455,GSN,0.05099664404711803,0,0
15,Negative Regulation Of Transforming Growth Factor Beta Production (GO:0071635),0.007178349711373001,166.46666666666667,821.7936241053455,FN1,0.05099664404711803,0,0
16,Epithelial Cell Apoptotic Process (GO:1904019),0.00797295899684864,147.96296296296296,714.9125872208035,GSN,0.05099664404711803,0,0
17,Actin Filament Depolymerization (GO:0030042),0.00797295899684864,147.96296296296296,714.9125872208035,GSN,0.05099664404711803,0,0
18,Positive Regulation Of Actin Nucleation (GO:0051127),0.00797295899684864,147.96296296296296,714.9125872208035,GSN,0.05099664404711803,0,0
