gene,malignant_reservoir,mixed_sector,recoverable_reference,stable_recoverable,transitional_intermediate,unstable_committed_malignant
SLCO4A1,6.580659496336984,5.0055500177274945,4.066890194102408,0.8333645998845439,6.257772645538223,6.0723391209924165
MARCKSL1,5.68993662742664,3.3295939877372613,2.637473494575099,1.2084687585682978,3.574409246596115,4.640185045491199
LGALS3BP,5.506036017651834,4.009024261425719,2.9278666557777435,0.6062436404151004,4.831274757972594,5.122561786003742
ABR,3.8307083693388013,3.016392469119032,0.5596671018097757,1.1860901183279693,3.163435447022193,5.049028356289211
GALNT10,5.198801284038117,3.4335997703418184,1.9779446324430896,0.8044185519425049,3.924797934705583,4.526391516414539
COL6A1,6.5947197134934274,5.637288013904882,4.516368438054483,1.143033861897063,5.928133129866054,6.551561429730806
GSN,6.651949519757247,4.718698447716257,5.437622446932672,1.45033575288464,6.00514573657248,5.824417889094656
FN1,8.872057038668423,7.503628679860971,6.601314105392262,3.8522910262567156,8.877855133717793,8.739375472777118
ABCC3,2.395255815849394,1.615726899890655,0.0,0.578829320619479,1.0366572087098636,3.4621604733262963
DDX17,4.561780764405475,2.7390493338720137,1.2415822412294886,1.5998527371850624,3.163859491624383,3.816353676161962
TMEM131,4.328330194716909,3.7872545765371277,3.2053881050369073,1.6061278076569299,2.908110396110313,5.202594732913239
MAGI1,4.609166437340445,3.691161937408351,2.826406105410805,0.940581986390234,2.888763789140049,3.7668853740788704
ESYT2,5.163979608674392,3.77928502055346,2.19281203228625,2.056678985502655,3.9150268029702486,5.382117880806361
GALNT5,3.9047698183524604,2.643715236028243,2.668850800770434,0.2506407334104082,1.746569673164088,2.9070939477918287
NET1,4.614742988114956,2.7077065600883525,0.71986272173466,1.6196368204114833,4.635636087246449,4.326401935864176
ARL4C,4.916868764000826,3.359953913970893,1.8911290741274362,1.9280534939473903,3.9421265898392175,4.459634931799679
