gene,malignant_reservoir,mixed_sector,recoverable_reference,stable_recoverable,transitional_intermediate,unstable_committed_malignant
SLCO4A1,0.7981936152602616,-0.40870310533337384,-1.1279327704904993,-3.605558287075093,0.550787903692929,0.40870310533337384
MARCKSL1,1.5074227579493629,-0.08245102985681284,-0.5486478487334214,-1.5111933428601065,0.08245102985681284,0.800333670219769
LGALS3BP,0.8191253295053672,-0.3101273493994187,-1.1256854887517,-2.8769736791092915,0.3101273493994194,0.5298561894478232
ABR,0.37786851458150317,-0.037502248123597724,-1.2906423247214056,-0.9711130043716872,0.037502248123597724,0.9993159185458433
GALNT10,0.8661145192707449,-0.1399819627725302,-0.9696490018866267,-1.6385134074611205,0.13998196277252994,0.48286699968244545
COL6A1,0.6929047010038804,-0.12409216706258057,-1.0805967231763174,-3.959134988459683,0.12409216706257982,0.6560768179493102
GSN,1.0705567492652044,-0.956669698542411,-0.20279878841975638,-4.3839075735461295,0.39231182041077944,0.20279878841975546
FN1,0.6718955370196728,-0.5531192229065817,-1.36086970886116,-3.82179053503706,0.6770859819335177,0.5531192229065809
ABCC3,0.793947490140427,0.2150250267875399,-0.9849055695519192,-0.5550340288127635,-0.21502502678753976,1.586291506923365
DDX17,0.9800584559516046,-0.12927155630623172,-1.040642897365873,-0.8225963947312538,0.12927155630623172,0.5263851242219365
TMEM131,0.7902752578565804,0.2763400134691856,-0.27634001346918513,-1.7953813528997522,-0.5587062610966099,1.6206866532336157
MAGI1,1.892206772056397,0.5754620590356861,-0.6649051395138021,-3.3698471507903904,-0.5754620590356855,0.6840763794393884
ESYT2,0.6228977345878095,-0.03210499968772392,-0.7825550657773483,-0.8469501451208133,0.03210499968772392,0.7260837843653809
GALNT5,1.4512282565860193,-0.014608661381315263,0.014608661381315778,-2.7962939290548983,-1.0574414659797429,0.2915400529734475
NET1,0.6681322388013898,-0.4926271564095263,-1.7025717477505942,-1.1549045803817353,0.6808492801518006,0.4926271564095263
ARL4C,0.8231585896139156,-0.1892912168592674,-1.144456764168371,-1.1204450966708657,0.18929121685926767,0.5258229293392748
