left_out_gene,n_genes_used,corr_H,corr_S,corr_M,corr_R
NONE,16,0.6214977453891478,-0.472218189693564,0.7353454479134526,-0.6954097594486558
SLCO4A1,15,0.6336278805730392,-0.46173833705177314,0.7431414126912433,-0.6925739362879657
MARCKSL1,15,0.618201382386362,-0.471239167208412,0.7326477747244762,-0.6881414775425115
LGALS3BP,15,0.618824462775094,-0.4658088382486955,0.7323948987127158,-0.6900835414759401
ABR,15,0.6107051520575822,-0.4721892923852862,0.7240959201201863,-0.6905760618035247
GALNT10,15,0.6191572229797213,-0.4773069352285223,0.7297601585709222,-0.6959117579671596
COL6A1,15,0.6265919330996811,-0.4539363653706249,0.7281411681954703,-0.6974594636606083
GSN,15,0.6271612549548857,-0.4680286907111031,0.7375369442580725,-0.7129677535205194
FN1,15,0.632173949947297,-0.4716144681589303,0.743408977669623,-0.7010500237666609
ABCC3,15,0.6214977453891478,-0.4722181896935635,0.7353454479134531,-0.6954097594486558
DDX17,15,0.6107492618798472,-0.47679922071826886,0.7261166510921224,-0.6880961476893785
TMEM131,15,0.6139857641993487,-0.4671837561146599,0.7322988114965103,-0.6897267181193945
MAGI1,15,0.618473372028889,-0.46611503776506447,0.7302856042569595,-0.6902488141212817
ESYT2,15,0.601598708294669,-0.46768104391386556,0.7264407052448966,-0.6819432292257264
GALNT5,15,0.6278323280948618,-0.4642471497446067,0.7372495539962561,-0.6906252403036249
NET1,15,0.6228041398121867,-0.4886326444374213,0.7392928314498807,-0.6969064543644223
ARL4C,15,0.6098831135497631,-0.4831187796833275,0.7292391709915491,-0.6891401954640073
