population_label,S_refined,knn_same_label_purity,knn_label_entropy,centroid_margin,k
G1,0.8852,0.8708,0.2776,17.8737,8
PKH26_High,-0.2018,0.5815,0.5538,5.1309,8
PKH26_Low,-0.0738,0.6417,0.561,5.7884,8
G1,1.0832,0.8467,0.3328,17.8737,10
PKH26_High,-0.09,0.5652,0.6006,5.1309,10
PKH26_Low,0.0709,0.6467,0.5835,5.7884,10
G1,0.9104,0.825,0.4044,17.8737,12
PKH26_High,-0.1582,0.5453,0.6377,5.1309,12
PKH26_Low,0.0806,0.65,0.5924,5.7884,12
G1,0.9501,0.7822,0.4951,17.8737,15
PKH26_High,-0.1235,0.5435,0.6794,5.1309,15
PKH26_Low,0.1256,0.6326,0.6131,5.7884,15
