gene,log1p_mean_diff_sector_vs_rest
CCN1,3.160758513797236
ADM,3.135710125848745
PTPN14,3.120883638557607
GOLGA5,3.112133773729561
PLAT,3.027628309229778
ARMC9,2.998692982899068
TGFBI,2.9778306363661944
BAIAP3,2.8947826401484074
SUCLG2,2.8938039910793654
RND3,2.881254807380844
TOR1AIP1,2.8491994998073364
CALB2,2.797678475804213
CRADD,2.768085020520695
PPP1R15A,2.7521904590185087
NME7,2.7156006368868826
SUCLG2P2,2.6294759744350733
BBS2,2.5831935703570608
KRT15,2.55428642487242
ACSL4,2.5359688895004435
ENSG00000117289,2.529139591605488
ISG20,2.513090358413005
RSRP1,2.5103824626829527
HIBADH,2.508144562021795
P2RX4,2.5038698796846792
KLHL7,2.500011594998157
SERPINE1,2.4581339747051247
MGLL,2.445202308998821
INTS13,2.399284568773736
GEMIN8,2.3735304113048583
KDELR3,2.3730056236510424
GTPBP1,2.3413399933482584
CEBPG,2.3338082056210165
STC1,2.325663522178803
SBF2,2.297640139211893
TGM2,2.2847494461344
FOS,2.260357724594268
ARRDC3,2.2569088418157666
ELF4,2.2543271911621074
ALDH3B1,2.2523255494044685
PIM1,2.2383935884352146
TUT4,2.237631985814587
TSPAN4,2.203538384617443
PDXDC1,2.200689969710895
LOXL2,2.1965500042130994
COL4A1,2.1674430413372052
COG1,2.147424165324626
ABCE1,2.1401394121898023
LCLAT1,2.1314318431362707
FKBP7,2.1226553454319177
BRAT1,2.118787589921811
DUSP1,2.11557323248954
KLC4,2.0885470526587655
EXOC6B,2.0851843184664274
BPHL,2.0735600410114667
LCP1,2.0691262092669604
ADAM9,2.063650907331928
SAT1,2.062931859843866
CLK1,2.0604827494965625
SPAG9,2.058601966958825
WDR12,2.0516196292911455
SFXN3,2.050661603633706
VAV1,2.0503141408848577
ZNF880,2.050218678952215
GSTZ1,2.0459183672464825
EIF1B,2.0436038026475942
CDKL3,2.040463648127941
C3ORF33,2.0398055670689113
LIMS2,2.0225112975540336
PRCP,2.0152539370419427
TMEM134,2.013300976867274
SNW1,1.9946014982750828
YIPF4,1.993223247264694
UGCG,1.9873413837688183
CDC37L1,1.9801085151232831
PLAU,1.9757431265005039
CD82,1.9756556294633758
P4HA2,1.9669498238447587
PYY,1.9600354431828495
BSDC1,1.9572346540782126
DRAM2,1.9550579571415954
RBBP5,1.953784599469722
MOSPD3,1.9504591319045081
GMPR2,1.9478370698835792
ARL2BP,1.9432324860033865
SLC35B4,1.9410278051279328
PRXL2C,1.9384293264778023
RSBN1,1.927917938880055
AP2B1,1.9278873913937176
ZDHHC9,1.9268569051228712
PPIL3,1.924902025535354
LEPR,1.9189825633975457
ARID5B,1.9139605029362783
EGFL7,1.9095349517343012
TNFRSF10D,1.9085753311342035
AASS,1.9020596815368545
TMEM254,1.8967811946314406
C6ORF141,1.8961695867974173
NTHL1,1.8855110840397453
MARF1,1.873116321150226
GUSB,1.8688980823598023
PISD,1.8680488392807242
FBXO27,1.866054504196888
MBOAT1,1.8571059727432122
CRYZ,1.8542140668523261
PEPD,1.8518840622380153
KLHL36,1.8449063377732653
APBB2,1.8421930992264297
EPS15,1.836650892170425
STN1,1.8282261218539788
NDRG3,1.8270924797919499
APBB1IP,1.8118971537520832
TBC1D22A-DT,1.8102883575050601
KDM5B,1.8101514444830225
EML6,1.8083087678824379
ADAMTSL5,1.8074915427233584
SRRM1,1.8060719474447957
NME3,1.8031131420221316
SIRT6,1.7921407279483406
RFC1,1.786617494116883
GNPDA1,1.7775898266495676
FSAF1,1.7768601454878707
ADORA2B,1.7708176123292656
TBC1D7,1.7607755217265875
KIF27,1.7553917317224927
HIPK3,1.753301880645596
RBM33,1.7519946441061864
PEX13,1.7493698277351188
CPVL,1.7473876545698181
TIMM9,1.7427278164367999
OIP5-AS1,1.7411652679053042
RGS3,1.7411266191236354
SPG11,1.7389330838334298
DYNC1LI1,1.737264931701663
NCSTN,1.735181789803276
OFD1,1.734196985637235
SMARCAL1,1.7322420479829392
BHLHE40,1.7309880439633214
TMUB1,1.7302562974937628
G0S2,1.730121392573607
STK11IP,1.722353604861901
AHCY,1.7222475036683038
NAV1,1.718464550219347
ENSG00000266469,1.7153415835613357
RBMS2P1,1.7134048795150436
KRT7,1.7117299580504355
ELL2,1.7028781230396925
RIPK2,1.7015770524967728
LINC01588,1.6965467896523354
GNB5,1.6951744086236364
ECM1,1.6887097767508514
NPC1,1.684802989910097
P3H1,1.6832376768173618
SPTLC1,1.6828702662414279
RASSF4,1.6821116363972133
CUL7,1.6778158798342098
REEP6,1.671535901752291
FCHO1,1.6699944681235843
ECT2,1.669179517179812
GEM,1.6686325824011643
CAV2,1.6667419028857138
KRT81,1.6587153446581548
ENSG00000231043,1.6556477404791305
SDHA,1.649011497819827
ENSG00000248596,1.6458919720985423
PNMA8A,1.645689471588625
IFRD1,1.6448509819910653
MYADM,1.6425454241715167
PDHX,1.642239698500437
PAEP,1.6419892071051474
LRBA,1.6363538923704983
PPT1,1.6355199160685663
DERA,1.6329225019664046
CMTM7,1.6292775496698004
KYAT1,1.6290060393271426
PLD2,1.6217977156183876
COG8,1.6129260104049243
RUSF1,1.5989269124424355
CHEK2,1.5969253684681775
ZEB1,1.5946855673103633
PDGFA,1.5946151555289325
FOSB,1.5871223465305888
PDLIM1,1.5870049692174404
LYST,1.5867850568483364
FAM171B,1.5814897698116195
KLHL42,1.5811928322426165
NDUFV3,1.5801122874889697
WBP2,1.5762519961272599
ZBTB38,1.5756207957781494
HOOK2,1.5744144547589478
LCOR,1.5719701875346397
C12ORF76,1.5696922587554893
PTEN,1.5681012990560306
MXRA8,1.566530423286193
ANAPC13,1.5658113136933212
CDKAL1,1.5647707350898747
CLN8,1.5568586659673542
HSD17B11,1.5489033096174158
CSNK1A1,1.5480549846164342
LAMB1,1.5454111574250016
PDCD10,1.5451087627916573
SNX27,1.5438538332632024
GADD45B,1.5359770235543766
RAB3A,1.53257883572606
MKNK1,1.531272468054914
PPFIBP1,1.5296726628703796
