gene,log1p_mean_diff_sector_vs_rest
TFRC,3.827357162610123
MYC,3.8010519753533423
MGLL,3.4897559155484954
ANKRD1,3.400507562649593
FBP1,3.3757224544096687
DKK1,3.3020447788465903
GADD45B,3.1918267052804254
ASNS,3.1591062290713445
GPRC5A,3.1518027638941652
AMOTL2,3.1360767941768586
ADAMTS6,3.0840227113336773
DUSP1,3.0632145825316006
RND3,3.043678715689534
SFTA1P,3.0148984708984004
CPSF3,2.95727904557355
SNAPC1,2.955132120507925
CCN2,2.9418032718639697
AOX1,2.941235449228003
DLC1,2.934648495940864
MPP4,2.8919584325084653
ZNF143,2.866136275262962
PHLDB2,2.8420704562068826
CCN1,2.8356699477336083
AKAP12,2.8301086176129693
ZNF330,2.8287080388506234
SNHG1,2.8232673747834847
DLGAP5,2.7864979779173447
PLK2,2.774230214762249
SERPINE1,2.754634102876836
PRMT5,2.7529809640871648
RAB9A,2.749321058765425
PDP1,2.7364154624431425
TFB1M,2.72862201779032
LIMA1,2.7010817945005368
GART,2.6953986569335036
SORD,2.6925079637376976
CLIP4,2.6872218062013964
CDC20,2.6579143770726805
CRADD,2.654104192011572
AHCY,2.6204327981235522
TYMS,2.616306832092638
USP36,2.6025636984732445
NOLC1,2.5992549332922468
ANXA3,2.5940223227684602
GMPS,2.57627440656674
TGFBI,2.554253060585671
THAP9-AS1,2.542844172840588
NUDCD1,2.5289641039409516
CASC8,2.5231971919805236
TGM2,2.5147916284875755
PTTG1,2.5006754069628667
RRM1,2.491665722248608
ENSG00000267279,2.4831848461625463
DDIT3,2.4696497727780713
FKBP9,2.469625195944087
BUB1,2.4632762585990458
GNL2,2.4611269760786643
TRIP4,2.4592380833895087
PVR,2.449880656735231
PCID2,2.4375250354105726
SDHAF3,2.435342583783755
KIF22,2.4345666509899777
CTNNAL1,2.431438028906447
YES1,2.3989024854161727
SCO1,2.393937019614806
CASP4,2.3873842943139376
EXOSC5,2.381036289282835
PVT1,2.3784567639177756
TMED3,2.376663995824698
SNHG15,2.3703811310842133
PSAT1,2.3546940084262133
PGM2,2.32951261760834
CCNG1,2.3218071093185726
PTPRF,2.3216800657647307
NCAPD2,2.316842053110313
ACO1,2.310391051191674
HSPA4,2.2823954452392092
NMT2,2.276233909998747
SMARCAL1,2.273746125307471
WDR12,2.2693567863107673
METTL21A,2.264497434584025
TRAP1,2.262912516588413
ABCE1,2.261327207978225
MRPS2,2.259197470861314
NANP,2.2550670984162213
TOM1L1,2.2502350427894178
PPP2R2A,2.2369573442091872
ACOT9,2.2321187357306136
HMGB2,2.2260582101363546
NPC1,2.2260377248407917
POLR1C,2.220447139803523
HBEGF,2.2204207745536517
KRT81,2.2122355286965343
ENSG00000266088,2.2101826737058174
RIMS2,2.2070557691321
MAFF,2.2017963779282965
SNX2,2.1981465762415606
ADAMTS1,2.1959479822944425
CLDN12,2.195380625662787
NEDD4L,2.195319946045079
DDAH1,2.185455301080935
TUT7,2.17732029142652
SINHCAF,2.176329928460788
PIGL,2.1761153053968645
RPL39L,2.1694139585048244
PRC1,2.167965482154589
SLC39A10,2.1647328949974334
KLHL24,2.1591792692534946
CCDC28A,2.151221548505432
WDR47,2.1375178881407537
MRPL3,2.127678633685479
FBXO22,2.124831419851303
PELO,2.122151512316705
FRMD6,2.119181957934024
TRMT11,2.118023451220001
TOR1AIP1,2.117009217303991
LRPPRC,2.1064837131418437
TRIB3,2.1054196043468427
LARS1,2.1019556050636634
DDX55,2.1013475014951966
PNO1,2.08473787295641
DNAJB6P1,2.082577145200639
DHCR7-DT,2.0756857904328534
RGMB,2.075303217593634
PMPCA,2.0709223673163137
ARG2,2.060333081750983
NUSAP1,2.0547110853755406
UAP1,2.0501047143600974
CRY1,2.0401477988894863
ATP6V1C1,2.0393342212730463
PRKCH,2.039261127626357
TBRG4,2.0358524315237796
MAD2L1,2.026464355458725
FAM24B,2.0251209528397265
NOP2,2.0244338674487885
PYCR1,2.0236643424700627
AAMP,2.0113225481239407
PLD6,2.0080414824254698
CCNH,2.006843928306563
GSDME,2.001202663232515
IMPDH2,2.0011234753032827
CCNB1,2.0002794818411083
GAS5,1.9991772076368708
CHORDC1,1.9903079979266227
GNL3,1.9898207613909893
CCNB2,1.9855529896279642
FIP1L1,1.9827423692267576
CYSTM1,1.9796926113926485
TMEM38B,1.9769435534027617
RNF138,1.9741939686175856
NME7,1.9683478227645135
FHL2,1.9667209607753962
CDKN3,1.9625527639923956
SUPV3L1,1.9615373934827944
DFFA,1.9615348003994462
TBC1D2,1.9556871009231849
ENSG00000213080,1.9555814820816506
SGK1,1.946795525214735
TBC1D31,1.9407373792734188
EPRS1,1.9360021773680391
INTS10,1.9339576929309281
EMC1,1.9333044189828117
DTWD1,1.9320216518021238
AMN1,1.9260013526619488
ZNF146,1.9233496802217764
MAP7D3,1.9142827908991173
IKZF5,1.9133924363072903
SNHG16,1.912915955411422
RLIG1,1.9117759462078938
CDC5L,1.9113499881190066
COX15,1.9034808680847646
LYRM4,1.9017492845228423
C17ORF75,1.898018291772201
TIMM44,1.8967037466224648
CDCA7L,1.8800751705846488
AEN,1.8779904332563917
CD40,1.874377119916752
PMS1,1.8715711252726868
WIPI1,1.8689964263462362
UPP1,1.8687069891595836
DDX31,1.866313273214951
AP3M2,1.8637331976113305
FOS,1.8621953119602956
HBP1,1.8614638785338429
METTL2A,1.8609434249573387
ABITRAM,1.8605282262083338
SMS,1.8564672213508882
PPID,1.8556681453894082
PRKAG2,1.8464298832106678
RSRP1,1.8462006588503173
ESAM,1.8453073090914467
POLR1B,1.8417057879753447
MTO1,1.8351204803330199
MPLKIP,1.8337366136982487
FASTKD2,1.8335731207907653
CTH,1.8329387831856754
SEC23B,1.8285476122310786
TTI2,1.8236027994887174
USP39,1.8229308974962626
TM4SF19,1.8213127868588184
FKBP4,1.8209120321953502
EXOSC9,1.8194961855441787
NTMT1,1.8191594780857367
MTX2,1.8114017883475135
POLR1E,1.810959869048166
LYAR,1.8075651784708437
BIRC5,1.8069133397865262
AMPD2,1.805343238472505
EIF4HP1,1.8034379966415373
ZC3H15,1.8031245008567711
ALCAM,1.8028252725671012
FBXL5,1.7892018290211746
HTATIP2,1.7891383403042225
NR1D1,1.7888195110562768
YOD1,1.7873545683755205
LRRC59,1.7864516388810796
RECQL,1.7856886830751946
ABCB7,1.7812341173646928
PCLAF,1.780253985898212
FXR1,1.7800585700063847
MRPL39,1.7795433509283565
ZNF433-AS1,1.776305887052379
MED30,1.7718544809797687
WHAMM,1.768054916137253
TFDP2,1.7677270240129033
UBE2F,1.7653847684240929
AJUBA,1.7624110563450313
SNHG17,1.7578531056876143
RBM19,1.75734943714368
PPAT,1.7552475902698148
CSNK2A3,1.7548026686702052
POC1B,1.753923126663769
TNFRSF10D,1.7505744401759769
ELMO2,1.7489037733516615
STAG3L4,1.7484735436798975
NUP93,1.7477081024603196
GFM2,1.7441260021087537
SSR3,1.7439663264379615
CLPX,1.743154408082521
FOXK1,1.7399375720728003
LRRC40,1.7396315902050081
SLC39A14,1.7382154312617968
EIF4EBP1,1.7365022660393876
ALDH9A1,1.7314691787778322
DDX56,1.7286368401822543
IARS1,1.7271208193233027
ZNF277,1.7268853049816861
TPR,1.7256350294228846
POLM,1.7255707564555167
GAN,1.7231443392673327
SNW1,1.721832344243547
