gene,log1p_mean_diff_sector_vs_rest
L3MBTL2,2.944190263265237
PREB,2.5566119944179766
COQ3,2.444634041966289
ACOX2,2.269149746057809
UQCC3,2.142194554622395
CCDC86,2.1372613026035383
NIFK,2.0890776237912894
LTV1,1.9519798117947258
EPS15L1,1.9418576020356184
C11ORF24,1.931065769022752
IMP3,1.8827583554288108
MAP4K4,1.8787612991180196
TMEM19,1.8436013449620563
ARL4A,1.8279374473570824
CHAC2,1.8216973620243428
CGGBP1,1.8187159767572219
DYNC2I2,1.8136552227992815
S100A4,1.8070309115540484
FAM136A,1.798866330817079
GPATCH8,1.7983925420110594
MORC4,1.7964860707414854
BTBD10,1.7958182784341898
EEF1AKMT2,1.780509874161494
SMG7,1.7647165720528006
SRP68,1.7606543348271062
THBS1,1.7532348688469193
DPYSL2,1.744407183827052
TRAPPC10,1.7146039881556296
KYNU,1.69999781782241
CREB3,1.691615294003602
BRD7,1.6908111267706674
TIGAR,1.68576656042174
PITPNB,1.683214942619442
DDX39A,1.6734747142642608
DTX3L,1.6729442069928306
BYSL,1.655798151321986
HNRNPM,1.651785724646456
SYS1,1.651245056384412
ACAT2,1.643309501760002
ABCD4,1.6369688640732036
SUPT6H,1.6349574741218653
LGMN,1.6245540641476328
RTCB,1.613223126575586
GET3,1.6016994855510722
ARMC8,1.5964585158573135
FAM120B,1.5938966994625545
NME6,1.5918781762835457
MERTK,1.5706620348578284
FN1,1.5704297606196693
RWDD3,1.5696336202278083
LSG1,1.5616919767864959
NET1,1.5465865502404208
MRTO4,1.5437208857451983
AP1M2,1.5426013118218462
CENPW,1.5347354329487168
SLCO4A1,1.5331601417982288
ZUP1,1.5312650146494733
GLOD4,1.5270171961764643
STRN3,1.526883542559775
MAT2B,1.4951378440212961
PSME3,1.4930592574113186
CCNB1,1.4906750914500813
GEMIN7,1.4867768569977242
NOP58,1.483270779815654
RBM45,1.4809709459922609
MAGOHB,1.4805989164964353
F2RL1,1.4798264715870202
NSD2,1.4667103429294808
AMOTL1,1.463681050534389
GTPBP4,1.462352012262094
NOP2,1.4501915538477845
PNMA1,1.4486979591667781
NDUFV3,1.4471054836352946
FARSA,1.4470018908026256
PCNX1,1.442152627175434
GORASP2,1.4391368616675129
TBXAS1,1.437442425418547
NHERF1,1.4355773012250879
DMAC2L,1.428810613766487
POLR1B,1.4276772464552039
RPAP3,1.4251572443103306
BIRC5,1.4242655404884492
GGH,1.4167303527716903
TMEM18,1.4147520950843355
UGDH,1.4134063515548645
EREG,1.4108841037519255
STUB1,1.4040503392958912
CCDC112,1.4005676184800997
GOLGB1,1.3982072931278484
MRPS12,1.388524892020862
HNRNPR,1.3879942133727923
FYTTD1,1.387146682803758
INPP5K,1.3805974901887574
CEP250,1.3702433835026662
CCND3,1.3678378924149937
PDLIM7,1.3620204274271046
SUCLG1,1.3563695760843233
PRKCA,1.356177580290526
ZNG1B,1.351429495358048
CCNC,1.3466915779757556
BLOC1S2,1.345491172900294
MIR4458HG,1.3413842369674163
PHYHD1,1.33993868534464
HEXB,1.3390897938407376
PYGB,1.332614333610885
TMEM170A,1.3316497498704902
LYN,1.3286419502789695
SENP5,1.3249669828968518
CFAP20,1.324595092973309
IREB2,1.3203490408364362
PHIP,1.3197383574996673
TDP1,1.3180699015946222
CYRIB,1.3163589271905405
ZNF134,1.3156912346735417
CDK9,1.3155339793933667
TNFRSF12A,1.3145932761730856
SMC2,1.312121500895314
MRM3,1.311767475065135
ATP6V1B2,1.3104144994640574
DUSP5,1.31013234816428
CCAR1,1.3079163309274047
MTA2,1.3050776316727064
DDX20,1.3047426146353174
RNF149,1.3040542626375817
KIF20A,1.297750224956796
RBBP6,1.296762963779066
FADS1,1.2967222910325322
ILRUN,1.294456920437902
LAMC2,1.2934099940774146
YARS2,1.2927898445623942
ARID4A,1.2925431871166868
GCLM,1.2925072921748755
IDE,1.2922480621465275
KYAT3,1.2896233348670574
ENSG00000188971,1.2866424207154652
PAK1IP1,1.2858103902119762
UTP20,1.2852473917632552
GRB10,1.2825852322688949
BCCIP,1.2808452126422987
HINT2,1.2805035004220309
ERCC-00130,1.2786664885391872
CAVIN3,1.2742258487012137
MMAB,1.260689341754571
GFUS,1.2562348278752618
SEC61A1,1.2562019499802268
VANGL1,1.2552093384596281
VPS4A,1.255081065512841
CDKN3,1.2548933501075918
VRK1,1.2538119369196
BLVRA,1.253273551090075
EBNA1BP2,1.2501812354266821
APTX,1.2495363962216337
ARMT1,1.249285972918372
BRD3,1.2481250918951514
NAA50,1.2474124206233332
RBM12,1.2449126199115486
LIN52,1.243757703636637
TRMT10C,1.2435071991810474
AAR2,1.2421332010689632
RGS19,1.2416351638531287
MRPL1,1.2416306675392619
FBXO7,1.2408965463789774
DUSP12,1.2400211959888643
FERMT2,1.2382020109034482
ANAPC7,1.2381830913836411
MACROH2A1,1.2373033945610423
CENPF,1.235139711112378
MOB4,1.2344425246336947
SACS,1.2308935015595401
NR3C1,1.2283896677290582
DDX10,1.2263853333469945
EWSR1,1.2246518166746698
ELOF1,1.2225273540451775
RAD52,1.2224980195343602
AMFR,1.2205657769517806
SUGT1,1.2171649786024679
SENP6,1.2169573623868999
EEIG2,1.2143512221205721
TRIAP1,1.211100396350774
NUTM2A-AS1,1.2096532642370368
ARPC1B,1.2078245244623025
ADRB2,1.20752646356219
SFSWAP,1.2059830149266237
PTRHD1,1.2058038794708534
KNL1,1.2045921213021777
CCNB2,1.2039663621266299
AVL9,1.2023537864833131
UBA3,1.2012673945955328
SYNCRIP,1.1996040970526423
PTDSS2,1.1988354991766303
AP1S2,1.1948777027414619
RRBP1,1.1939659739621367
SHQ1,1.1909642439398818
GSN,1.1880659015827488
GNB1,1.1874080500003603
MRFAP1L1,1.1832801593861157
HMG20A,1.179895965526496
DNTTIP1,1.1791284048829818
DNAJC1,1.1787767417311463
SPART,1.177996165421733
NOP53,1.1779501806268884
SAFB,1.1764364496969275
EIF3A,1.1756006203074758
NSF,1.1732026587488096
PRKAG1,1.1725626863719611
PPP5C,1.1693728824054146
YJU2B,1.168486181129934
CHUK,1.1684843779043281
DNAJA2,1.1673918329444253
EFTUD2,1.1659048273873687
SPEN,1.1639577212484773
ZNF776,1.1635600732097187
PTP4A2,1.1612538641700372
BMPR2,1.1608125561111797
EIF2B4,1.1590229788570712
MIDEAS,1.1589386295515545
SLC35C2,1.158912723211607
TRAM1,1.1539155871971172
UQCC4,1.1537590256108727
NDUFAF4,1.1524583154254961
SERGEF,1.1496636258333819
C1ORF174,1.1485886639544471
CLPTM1L,1.1478364487088628
G3BP1,1.1476702388885966
RNF26,1.1474750414082298
GOT1,1.1450959478189757
XPO6,1.143970696808081
GPC1,1.1438518167808982
IKBIP,1.1419078428030782
TRIM16,1.1413183113284142
SLC35B2,1.1407641324377416
CKAP2,1.1399310912806602
YWHAG,1.1390218636398828
PYURF,1.138889541852075
METAP1,1.138018052409714
NUDCD1,1.1371796296981045
DHX9,1.1362311865735144
CCT2,1.1353542203879652
LEMD3,1.1350817037039231
NMD3,1.134359131151129
LSM5,1.134333361695302
GCLC,1.1342616643518337
CEBPZ,1.1340454146611818
VPS13C,1.1305217924615467
RAI1,1.129785405357159
EIF4A3,1.1290898345119125
AGFG1,1.1277144102026682
EEA1,1.123768666494807
ZNG1E,1.1237226284456772
CHEK1,1.1213112027697032
TCERG1,1.120212247386879
NBDY,1.1193480953150488
RXYLT1,1.1185236132834164
DNMBP,1.1179950488580142
MAF1,1.1155030257344487
SLC12A2,1.1128339120462192
SLC25A11,1.1105307674835632
LONP2,1.1105000377105765
LAMTOR3,1.1104697080654335
ERLEC1,1.1103633428968855
ZFP64,1.1102255188793655
APOL2,1.1092936858013034
EP300,1.1079429583582134
ALG8,1.1074462717419635
KMT5A,1.1054965141381028
CPSF2,1.1050360074193701
GABARAPL1,1.104713854710517
ZWINT,1.1028607019968337
MYNN,1.102752339603911
TXNDC15,1.1022487218070005
MIR3681HG,1.1022072795036362
CASP6,1.0994350239392618
TRABD2A,1.0992368965968746
ETV1,1.0990862025170856
FSTL1,1.0971171310224244
NSRP1,1.0958079410017758
SOCS4,1.0956730762393763
CTNNBL1,1.0955925181876678
LTO1,1.0951856518153
IL13RA1,1.092052850248957
ILF3,1.0918480412050338
HMGCS1,1.0905323777109053
PTBP2,1.0879276214049245
CDK12,1.0866902408206927
NKAPD1,1.0864291084128146
CIAO1,1.086326582737886
TOMM70,1.0847766741177058
MSL1,1.0830956234700309
THRAP3,1.0827745535695206
PPP2CA,1.0824852634337123
DCBLD1,1.0816940544875888
EIF2B5,1.0805849509446963
MUL1,1.0803334060088723
ABCC1,1.080179321405801
HPS3,1.080029089390729
G6PD,1.0794129964937293
ZBED5-AS1,1.0779942429357088
TSEN2,1.0778485678284744
SLC7A11,1.0743220370624256
TMBIM1,1.0736214941469049
KCNN4,1.0728063993954042
ALKBH3,1.07280164652075
FHOD1,1.0722878857675227
STX2,1.0721607915013742
ELP6,1.0717585504994
H1-0,1.0708131417065871
TMX2,1.070787760604924
RBM18,1.069951690193069
IK,1.0697230146591483
MPC2,1.0683312158403027
ACTR3,1.066210600396043
PITPNA-AS1,1.0653559854051506
PPP4C,1.065111364527513
KNSTRN,1.0644509764590713
ADSL,1.0644227378993856
PLK1,1.0640489188462385
PPP1R12A,1.061459198081966
MCM9,1.0613168848062986
TWF1,1.0600298632146359
TOMM40,1.0581072264657503
SF3A3,1.0573103879476848
CHMP4A,1.056932641068036
STRADB,1.0563583760238229
DCLRE1C,1.0561358645448278
CHMP6,1.0546829193694178
ATG7,1.0544074620745674
DAAM1,1.0525018218947975
PIGV,1.0501575271408636
TNFRSF21,1.0500325093509826
MYEOV,1.04864538070992
TRIM16L,1.0475312440449898
MYO10,1.04639772377209
ADPGK,1.046314792989063
ZNHIT6,1.0457107675136048
AGO4,1.0451259279361598
TFAM,1.044920793498207
ENDOV,1.0441537406832326
OGFR,1.0437506231482865
ZNF184,1.04026918023475
PKIA,1.0399874589112086
ZZEF1,1.039868362055533
YTHDC2,1.039753600537205
ZNF544,1.039740618123445
CEP20,1.0389422669284345
CCDC43,1.0369122941914917
RNF167,1.0359047212702133
FOSL1,1.0351907908338287
ADORA2B,1.0351250710988658
NQO2,1.0332732874727375
SMN2,1.03313053529556
FASTKD2,1.0325159236699535
DRG2,1.0322204981868617
STARD7,1.0315503009989397
WDR59,1.0315135703225273
HIF1AN,1.0310276469730386
SFXN1,1.0300895760625015
LTBP1,1.0297499140480797
IDH1,1.0297097892644471
CEP43,1.0292983571197336
GNPTAB,1.0287359465179593
NR1D2,1.0282504740591971
TRIM2,1.0280374834601305
MRPL22,1.027989669899287
MRPL24,1.027186225814579
SRSF3,1.0264196079804293
DIP2B,1.0251745000142458
USP11,1.0242574643262121
MED20,1.0240846221768436
CCDC117,1.0218686427192958
PCBD2,1.0194930720292745
CHPT1,1.0181097660333844
MRPL36,1.0179785466049265
PGLS,1.017768885840844
SNAP47,1.0162529105796108
PDCD11,1.0155198724471455
ALG2,1.0153851464137782
WDR5B,1.0153386247687917
DKK1,1.0151748590093272
SRSF6,1.0135224600409698
VDAC3,1.0127248790958765
TRIM23,1.01031336019072
LIMS2,1.008564782564848
COPS5,1.0081423475628566
PITHD1,1.0072796994850508
ISG20,1.0062331816242271
PTPN11,1.0053769704351119
BAZ2B,1.0052920781920192
ZBTB1,1.0050513753307053
CCN2,1.004785713924682
MFSD14B,1.0038744026922362
TRMT6,1.0034646555201783
DESI1,1.0012686925286969
SMARCA2,1.0007189617689318
PRPF40A,1.000646564372266
MYSM1,0.997540672334686
SEPHS1,0.9971510570049735
MLH1,0.9954451422514468
ETFB,0.9951584233803876
MFSD14A,0.9941859848322925
TSPAN1,0.9932465638509063
DDX21,0.9921667602586908
EIF4E,0.9911755306721863
DNTTIP2,0.9898431102767749
YARS1,0.9893075529030804
ATG12,0.9885633489693073
ARID1B,0.9882137184257975
NCBP2,0.9877216402619511
CSNK1A1,0.9875830570802382
HSPH1,0.9875046988659948
FIBP,0.9861951461562573
EBPL,0.9828577892543058
TIMM50,0.9819935967976869
LGALS3BP,0.9818665711586485
FDX1,0.9807731284090524
ECH1,0.9802233001365845
BET1,0.9765661863894479
SNRPA1,0.9763812912882797
PBX3,0.9763051862732124
LINC00261,0.9758078806807161
THOC5,0.9744053499358916
TDG,0.9738213951523722
DCAF4,0.9738209296206702
EXOC6,0.9700129416547667
SRP19,0.9693797743662249
ENSG00000237493,0.9691114431135706
PRRC2C,0.9687920288774698
MCAT,0.9681749509959087
KRT19,0.967982768398957
ERCC-00046,0.9679599078044236
TALDO1,0.9677647228265851
WARS1,0.9674898163359869
EI24,0.9674756543142724
LMAN2L,0.9673755505250177
CNPY2,0.9668213677255402
COQ6,0.9667035416444707
FKTN,0.9661380422754482
EIF3K,0.9660974408987109
RAE1,0.9657961415578988
TOE1,0.96471655462061
ARFGEF2,0.9641008304153558
TKT,0.9638665930313985
MTHFD2,0.9632362557642273
FAIM,0.9627721525154596
RSRC1,0.962688140210977
SPR,0.9608727207199599
NOC4L,0.9606613070386382
SPIN2B,0.960484720991718
ELK4,0.9594758354587458
FDFT1,0.9589038794823876
KIF9,0.9578003577103558
SAT2,0.9577577642128849
UTP4,0.9573468932598932
CDC42BPA,0.9561818833260438
PIN1,0.955999669506848
RAP2B,0.9559208510821797
MAT2A,0.9558179472446096
OTUB2,0.9555185913947666
IFIT3,0.9536643051552671
SDF2,0.9533529456766976
DLGAP5,0.9527588225976733
SHOX2,0.9518496545280578
ERCC-00004,0.951304268741445
COA3,0.9508669989238765
ZNF561,0.9502789014292042
MRPS23,0.9495701582893683
SMAD3,0.9492031288365088
MAN2A1,0.9485942178589966
PWP1,0.9483596467737607
MTDH,0.9467921393828549
MMACHC,0.9464093157990028
UBQLN4,0.946200825391198
AIFM2,0.946006194379974
TRAPPC6B,0.9457119625614823
HIP1R,0.9456131136274804
PAPOLG,0.9446856689689263
C22ORF39,0.9439658627020415
WBP4,0.9431747327769824
UXT,0.9427467834057861
ABI1,0.942467008511219
GPRASP2,0.9417891804844387
ZMYM3,0.9414931486872571
NAGK,0.9413058069502505
PRDX4,0.9394954062744212
LRCH3,0.9387914896611744
CLPTM1,0.9385460869303585
ENSG00000231043,0.9377669071843773
DANCR,0.9357737414319915
CIAPIN1,0.9353948369879053
GTF2F1,0.9336651160175018
C15ORF61,0.9331283181244205
LPIN2,0.9326966125566791
SDR16C5,0.9320934717541006
ACTL6A,0.9312101640839772
NEK9,0.9303024003658784
MED8,0.9300753166889679
UXS1,0.9270800580517014
PPP3CB,0.9260227791157138
CUEDC2,0.9256819934822307
DYNC1LI1,0.9232391556721398
FAM76A,0.9232141299621327
INO80C,0.9226524662074382
NANS,0.9223007583847709
ENSG00000215835,0.9220341755884318
OSR1,0.9195177371659354
NCAPD2,0.919429878805746
DBNL,0.9185552850533889
ADGRG1,0.9183321234769481
NQO1,0.9182738491136071
USP47,0.9177228734875662
AHSA1,0.9173084225817485
POLH,0.9163075016392191
TBC1D4,0.9162808192185992
NOL7,0.916188811637972
MRPL4,0.9157996044696914
ARMC7,0.9153281758190202
