gene,log1p_mean_diff_sector_vs_rest
ABR,2.361354216616672
BCR,2.218574689348566
CD82,2.2118315661352748
XRCC4,2.1619553731014847
SLC25A11,2.1274326334312286
FBN1,2.0936212631842093
ABCC3,2.0894225723297004
CHST14,2.085141931458079
TRIM16L,2.0680544633075764
SLC25A24,1.9703683529985856
TBC1D9B,1.9214786791859044
GNA12,1.8991969919536396
ACSL5,1.8967913422883336
TMEM131,1.896499089344887
POLR1A,1.8959498306392335
NFYC,1.888852596244917
ATG13,1.8823798124662403
UBE2Z,1.8777758770830109
TTK,1.860651372257879
TRIB2,1.8556655859387408
CSF1,1.855636118583205
DIP2B,1.8461508410172638
PPME1,1.836567865329068
MOB3C,1.8348902163161873
USB1,1.8305145980899482
TULP3,1.8264196106715673
CAT,1.813393136142424
EXO1,1.813108678166107
BMP4,1.7944373765568242
USF3,1.7902489414192235
EGLN2,1.7893466688139017
TCIRG1,1.778205459935437
NINJ1,1.7691946867268533
TANC2,1.7617234490538458
KIAA1586,1.7602127793068547
ALMS1,1.7576618554107495
TP53BP1,1.7539910855301961
PPP3CB,1.7395231707259864
PGM1,1.7300158559841998
ZNF76,1.7262535985964296
ESYT2,1.7143745705918727
EIF4EBP2,1.7091737559408453
SLC25A14,1.7044571746863733
FAM220A,1.701573420337608
TMEM104,1.690838971534805
ASH2L,1.690253668198242
ERAL1,1.6875282673990815
PPIC,1.687232853853601
GAS8,1.6868775955917417
FMNL3,1.6860747004838186
NDUFAF6,1.6860200679860071
TMEM223,1.6792975123347818
DHRS7B,1.6766252587081125
PRPF38A,1.6637742976442542
THAP11,1.6562075437700856
LAMC2,1.6555402380727742
SRF,1.6477891337136994
TEX264,1.6462601100200258
RNF14,1.6405080582764957
TIMMDC1,1.6399380863899151
WDR6,1.6399257482510212
LNPK,1.6351864245144343
ZC3H11A,1.6235099372024369
RPS19BP1,1.6234130390015111
ZNF346,1.6226186104539868
PKNOX1,1.6212318655477507
LTBP1,1.621152987961064
FEN1,1.6203069242745443
FAF2,1.618732921415576
ADAR,1.6045818585656426
UBR7,1.5989730228930272
TMEM183A,1.5835153892273468
EP400,1.5815617359648897
COL6A1,1.5815297468464706
CCDC82,1.5815290310495076
FGFR1,1.579466283461295
SIVA1,1.5771468389111676
BAG3,1.5770751829205425
COPS2,1.5743196827886474
NOSIP,1.5716151559474483
SLF1,1.569780987916263
FASTK,1.567553678461865
CTDSP1,1.567255892301534
PYGB,1.563764075218696
NIPAL2,1.5628120052061105
TXNDC15,1.5623954424614905
SIN3A,1.5568926673505068
RASA1,1.5537163262300058
AP1M1,1.5520371215261775
BCAP29,1.5515808629991765
MTPAP,1.5493475115044166
PITHD1,1.5464785826685015
MRPS26,1.545975233415584
SEPHS2,1.5442778390148149
GPC1,1.5306705255308994
TMEM101,1.5290819444409376
NAGA,1.5268900867760362
RAB8A,1.5196610162650646
IL4R,1.5178727963618912
UBE3C,1.5178171503472488
KAT2B,1.5170130893738756
AP5S1,1.5145335567631122
NFE2L3,1.5132282871935483
DHX36,1.510206184968128
KCTD1,1.5085566485296367
GNA11,1.5025235328857631
MTA3,1.501277773524945
DHX29,1.4985482212706427
HAT1,1.4978524682427148
RAB31,1.4970315410701813
MFAP1,1.495451612746816
AKR7A2,1.4947549231982618
TTC3,1.4918103887655345
DPP8,1.4903671527464573
ESCO2,1.4886033015692173
MAMLD1,1.4830874069569824
LAMC1,1.4824064506141164
DAG1,1.4823523199771511
MYO9B,1.4812261979663113
MAT2A,1.4799299741143574
POMGNT2,1.477164998281514
NDRG1,1.4766754238969586
MIR210HG,1.4758329808025683
HECTD3,1.4756663794055653
IL6ST,1.4749141454987211
H1-2,1.473639536886379
C15ORF39,1.4719309839488643
PAPSS2,1.468898143221768
CMTM3,1.4684492595829564
PHC2,1.4683210118751617
CLSTN1,1.4672550579097434
CDK1,1.4671494744597036
HAS2,1.4649180934898602
RAB22A,1.4628681655506282
COASY,1.4613090166682272
SPRING1,1.458660139305751
UNKL,1.4580175682529586
SLK,1.4565243173033036
BMI1,1.454494921958506
STX16,1.4517239988141615
FN1,1.451174813174494
GRHPR,1.4502964696691794
AK4,1.4498756738637035
RNF34,1.4475711407923826
GFPT1,1.447050306338527
HAPSTR1,1.4434919303341909
PITPNA,1.4430382499468632
MED29,1.4403145568499118
KIAA0232,1.4398904104878039
OPA1,1.4390365659207442
PCYOX1,1.4387616322175965
TOE1,1.4363488347812696
MRM2,1.4340210866180234
KYNU,1.4333334062282197
RUNX1,1.4327715838410897
RBM23,1.4289985488887669
CAMKK2,1.4288738278005522
DGCR6L,1.4276607481038086
ARAP3,1.4243649683730575
TOPORS,1.4242030929617757
HJURP,1.423897265984556
ATRN,1.4215494054164537
TOR1AIP1,1.4191311497685526
ACAT2,1.4187301069925091
TMEM63A,1.4184882374478383
DYNC2I2,1.4175911579920961
UBAC1,1.4162911540484882
LRP12,1.4162259305964349
BRMS1,1.4153575637505171
TTL,1.410629405920523
EXOC2,1.410007326424743
MAPK1,1.409964434077449
CIDECP1,1.4097755108878725
GINM1,1.4074246035678022
C16ORF87,1.404585430586302
NCAPH,1.4024818192669466
TCEAL1,1.4019899873312323
MRPL20,1.401717547359397
ING2,1.4005453762849946
TMEM138,1.3977900287376817
