gene,log1p_mean_diff_PKH26_High_vs_G1
CCN1,-3.656891111344778
GADD45B,-3.586864008559737
MGLL,-3.580915198828482
MYC,-3.19094468688903
FBP1,-3.086181114632691
RND3,-3.0839081500207532
DKK1,-3.0379088968346872
CCN2,-2.98369437334378
SFTA1P,-2.935580399326316
CRADD,-2.91508860863924
SERPINE1,-2.9029214259767713
DUSP1,-2.901859139632669
ANKRD1,-2.8759948179471704
SNAPC1,-2.8701983023255577
ABCE1,-2.866003332532432
LIMA1,-2.864622024118694
GART,-2.84272425171863
AHCY,-2.783635510261035
ADAMTS6,-2.759686312623235
PLK2,-2.7391872957306345
KLHL7,-2.723418895872964
MPP4,-2.6865467355075867
CDC20,-2.6337098387419733
DLGAP5,-2.6058695714372497
PCID2,-2.5385393493515753
ASNS,-2.5354930777060964
HBEGF,-2.534439565318032
AKAP12,-2.5299513254446118
TGFBI,-2.5279992303467305
TGM2,-2.5231340822559862
RSRP1,-2.4904650773424586
WDR12,-2.4904385312255837
BUB1,-2.471288218789744
PTTG1,-2.4540053804727706
NUSAP1,-2.445374903339709
GPRC5A,-2.4263662975652918
CCNG1,-2.4155841258422552
NME7,-2.4138316535572573
CCDC28A,-2.4058427108172844
CEBPG,-2.378080782555335
CCNB1,-2.3663327268160903
CDKN3,-2.363506147770507
TRAP1,-2.360754144998416
ANXA3,-2.336205448348692
PRMT5,-2.335428444886799
CASC8,-2.322637512704447
TFB1M,-2.2998257065967955
ZNF330,-2.285247930536575
TFRC,-2.2838531449179156
SLC39A10,-2.2770736317417777
