gene,log1p_mean_diff_sector_vs_rest
SLC39A14,-1.736643362528905
NFS1,-1.6940796888797482
NUDCD1,-1.6724841681976919
SNHG16,-1.660134158990193
TRMT11,-1.6254640153398037
PRKAG2,-1.5994608066881253
PLK2,-1.536720561521503
PPAT,-1.494412623718671
CCN1,-1.493046147889384
ARMC9,-1.4904411092710494
GEMIN7,-1.4870655273952291
CDH4,-1.468770072179433
PTPN2,-1.4673946151670096
MYC,-1.4605723082492612
ARPC1B,-1.450647571606861
PRMT5,-1.4352704229875854
KRT81,-1.424684298585319
ZNF330,-1.4244423365898078
HPRT1,-1.4046633759186733
HTATIP2,-1.4036741374709285
NAMPT,-1.397255750024787
NAMPTP1,-1.3894330081864088
MRPS30,-1.3799323030490789
LYRM1,-1.3586201084636162
FAM120B,-1.341433914555335
DNAH14,-1.3366585128816033
BHLHE40,-1.335645231280644
MRPS2,-1.3344997044579023
TSSC4,-1.3273114911146455
GMPS,-1.3149743631796968
LUC7L2,-1.312124416984541
SMS,-1.3069444847613148
STC1,-1.3056869080909905
IFT22,-1.3050902456306448
AEN,-1.2944950796634525
UPP1,-1.292186329609715
GADD45B,-1.2883096904127553
WDR12,-1.2843599076665113
FOSL1,-1.2796828217374108
SSR3,-1.2778374544341702
RNF14,-1.2773359605914558
HBEGF,-1.2755306417414944
NUP93,-1.2654027849276885
TWF1,-1.2649374921367151
AKAP12,-1.2639070394659127
ZNF271P,-1.2553568786656708
GSPT1,-1.2485987238755447
OSER1,-1.242563299069614
CLDN12,-1.2424688064775862
ENSG00000213080,-1.2368165315428818
