gene,log1p_mean_diff_sector_vs_rest
MRPL16,-3.9877891071451437
TIMM8B,-3.926129037998983
HAT1,-3.7569016907723745
POLR1C,-3.727041144337501
HNRNPM,-3.46525863483247
RRM1,-3.362004175081246
VDAC3,-3.354897599761438
ITGB1BP1,-3.286941708287966
DHX30,-3.0880477561798707
PSME3,-3.0792403328328657
QRICH1,-3.0627310676586723
CYCS,-3.054001326813892
DYNC2I2,-3.0275633979912238
POP5,-2.9996264725453354
CGGBP1,-2.987921744531895
POLE3,-2.9768562425414054
TPRKB,-2.959877765913776
SASH1,-2.957972780474691
TK1,-2.9496705936412213
PSMC4,-2.9074508433477617
IMP3,-2.9004410131339964
C19ORF48P,-2.898796980416643
ICMT,-2.895029339780391
SLC30A7,-2.8892105313024454
RTCA,-2.8857048126757734
TBCC,-2.868813158546102
NCBP1,-2.8570110770790618
RFC5,-2.8467049230236436
AK4,-2.833232887947197
YTHDF1,-2.826861645426589
MRM2,-2.8213497916913277
DTYMK,-2.799018597577757
POLR2H,-2.7937141894980537
RWDD2B,-2.786990543658032
MFSD1,-2.7802953278374014
PLXNA1,-2.77442969853098
NET1,-2.7695891681586082
MAPK14,-2.764019015775148
SLC35B1,-2.759225343444153
SNRPB,-2.7507171686900245
SELENOT,-2.7468404635932995
CIAO1,-2.7376333862572295
DHX36,-2.7374980247698093
TMEM109,-2.7169841870288565
GFUS,-2.6995349448449693
ABR,-2.696601202776352
ANKRD17,-2.6875548579927164
ILF3,-2.6798067178693867
DHX9,-2.675010032977711
SIN3A,-2.666646847890812
